"GAMEPLAY_Pve_Travel_Reverse"	"Reise"
"Dye_Pink01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Pink01_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Pink01_glossy_Name"	"Gammastrahlen Metallic"
"Dye_Pink01_Name"	"Gammastrahlen"
"Dye_Pink02_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Pink02_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Pink02_glossy_Name"	"Koralle Metallic"
"Dye_Pink02_Name"	"Koralle"
"Dye_Red01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Red01_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Red01_glossy_Name"	"Roter Riese Metallic"
"Dye_Red01_Name"	"Roter Gigant"
"Dye_Red02_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Red02_Name"	"Rot 2"
"Dye_Red03_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Red03_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Red03_glossy_Name"	"Sieg Metallic"
"Dye_Red03_Name"	"Sieg"
"Dye_Red4_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Red4_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Red4_glossy_Name"	"Dunkelrot Metallic"
"Dye_Red4_Name"	"Dunkelrot"
"Dye_Rusted_Desc"	"Farbe und Material,|Kann zur Behandlung der meisten Teile verwendet werden."
"Dye_Rusted_Name"	"Material: Rost"
"Dye_Sand01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Sand01_Name"	"Sand 1"
"Dye_Sand02_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Sand02_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Sand02_glossy_Name"	"Illusion Metallic"
"Dye_Sand02_Name"	"Illusion"
"Dye_SandCamuflage_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_SandCamuflage_Name"	"Muster: Düne"
"Dye_Sand_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Sand_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Sand_glossy_Name"	"Sandsturm Metallic"
"Dye_Sand_Name"	"Sandsturm"
"Dye_SeaCamuflage_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_SeaCamuflage_Name"	"Muster: See"
"Dye_SkyBlue_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_SkyBlue_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_SkyBlue_glossy_Name"	"Klarer Himmel Metallic"
"Dye_SkyBlue_Name"	"Klarer Himmel"
"Dye_UrbanCamouflage_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_UrbanCamouflage_Name"	"Muster: Städtisch"
"Dye_Valentine2016_Desc"	"Ein besonders festliches Farbmuster."
"Dye_Valentine2016_Name"	"Valentin"
"Dye_Violet01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Violet01_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Violet01_glossy_Name"	"Elektron Metallic"
"Dye_Violet01_Name"	"Elektron"
"Dye_Violet02_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Violet02_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Violet02_glossy_Name"	"Ozean Metallic"
"Dye_Violet02_Name"	"Ozean"
"Dye_WarmRed_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_WarmRed_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_WarmRed_glossy_Name"	"Glut Metallic"
"Dye_WarmRed_Name"	"Glut"
"Dye_White01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_White01_Name"	"Weiß 1"
"Dye_White_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_White_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_White_glossy_Name"	"Weiß Metallic"
"Dye_White_Name"	"Weiß"
"Dye_Yellow01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Yellow01_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Yellow01_glossy_Name"	"Funken Metallic"
"Dye_Yellow01_Name"	"Funke"
"Dye_Yellow02_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Yellow02_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Yellow02_glossy_Name"	"Brennende Sonne Metallic"
"Dye_Yellow02_Name"	"Brennende Sonne"
"Dye_Yellow03_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Yellow03_glossy_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"Dye_Yellow03_glossy_Name"	"Hummel Metallic"
"Dye_Yellow03_Name"	"Hummel"
"mat_KhakiDark01_Desc"	"Farbe und Material,|Kann zur Behandlung der meisten Teile verwendet werden."
"mat_KhakiDark01_Name"	"Muster: Kiefer"
"metal_AlienColor_Desc"	"Farbe und Material,|Kann zur Behandlung der meisten Teile verwendet werden."
"metal_AlienColor_Name"	"Material: Quartz"
"metal_BlackIron_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"metal_BlackIron_Name"	"Quecksilber"
"metal_KnightIron_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"metal_KnightIron_Name"	"Material: Plattenpanzer"
"metal_PoliceBlack_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"metal_PoliceBlack_Name"	"Böser Bulle"
"metal_PoliceWhite_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"metal_PoliceWhite_Name"	"Guter Bulle"
"PARTTYPE_60_10_Decorum"	"Erscheinung"
"PARTTYPE_60_59_Eraser"	"Farbe: Löser"
"PARTTYPE_60_60_Dye"	"Farbe"
"PARTTYPE_70_0_Eraser"	"Farbe: Löser"
"PARTTYPE_70_10_Pattern"	"Farbe: Muster"
"PARTTYPE_70_20_Material"	"Farbe: Material"
"PARTTYPE_70_30_Dye"	"Farbe"
"PARTTYPE_70_Dye"	"Farbe"
"PARTTYPE_90_Consumable"	"Verbrauch"
"PARTTYPE_95_ResourcePack"	"Ressource"
"pic_alfa_reward_Name"	"Farbe «Alpha»"
"pic_AlienSkin_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_AlienSkin_Name"	"Muster: Irrlicht"
"pic_CamouflageDesert_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_CamouflageDesert_Name"	"Muster: Wüste Digital"
"pic_CheckerTaxi_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_CheckerTaxi_Name"	"Damespiel"
"pic_CrashTest01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_CrashTest01_Name"	"Material: Test-Dummy"
"pic_CrashTest02_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_CrashTest02_Name"	"Material: Crash Tester"
"pic_Electric01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_Electric01_Name"	"Muster: Blitz"
"pic_EtnoPattern_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_EtnoPattern_Name"	"Muster: Häuptling"
"pic_Flames01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_Flames01_Name"	"Muster: Flamme"
"pic_JailScratches01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_JailScratches01_Name"	"Muster: Kalender"
"pic_KhakiSharp_Desc"	"Farbe und Material,|Kann zur Behandlung der meisten Teile verwendet werden."
"pic_KhakiSharp_Name"	"Muster: Lärche"
"pic_LavaSkin01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_LavaSkin01_Name"	"Muster: Lava"
"pic_ScaleFish01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_ScaleFish01_Name"	"Material: Alligator"
"pic_ScaleFish02_Desc"	"Farbe und Material,|Kann zur Behandlung der meisten Teile verwendet werden."
"pic_ScaleFish02_Name"	"Material: Schlange"
"pic_SchoolDesk01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_SchoolDesk01_Name"	"Muster: Schultafel"
"pic_StressTest01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_StressTest01_Name"	"Muster: Grafitti (Morgenröte)"
"pic_StressTest02_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_StressTest02_Name"	"Muster: Grafitti (Dämmerung)"
"pic_TaxiScratch_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_TaxiScratch_Name"	"Altes Salz"
"pic_Teutonique_cross01_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_Teutonique_cross01_Name"	"Teutonisches Kreuz"
"pic_Teutonique_eagle_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_Teutonique_eagle_Name"	"Teutonischer Adler"
"pic_Teutonique_stripes_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_Teutonique_stripes_Name"	"Teutonische Streifen"
"pic_TurtleShell01_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_TurtleShell01_Name"	"Muster: Schildkröte"
"pic_TurtleShell0_Desc"	"Sprühdose.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_TurtleShell0_Name"	"Muster: Schildkröte"
"pic_USline_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_USline_Name"	"«Lone Ranger» Streifen"
"pic_USstars_Desc"	"Farbe und Muster.|Kann zum Einfärben der meisten Teile verwendet werden."
"pic_USstars_Name"	"«Lone Ranger» Sterne"
"SeaTerra_Dye"	"Farbpalette: Land & See"
"SeaTerra_Dye_Desc"	"Farben von Erde und Wasser."
"Sunset_Dye"	"Farbpalette: Dämmerung"
"Sunset_Dye_Desc"	"Farben des Abendhimmels."
"Оbscurity_Dye"	"Farbpalette: Mild"
"Оbscurity_Dye_Desc"	"Ruhige und natürliche Farben."
"BAD_CREDENTIALS"	"Benutzername oder Passwort ungültig. Bitte erneut versuchen."
"BLUEPRINT_NO_FREE_USER_SLOTS"	"Keine freien Plätze für benutzerdefinierte Blaupausen."
"BLUEPRINT_PATS_LEVEL_RESTRICTION"	"Dein Fahrzeug verfügt über Bauteile, die du nicht verwenden kannst, da deine Reputation mit den «Engineers» zu niedrig ist. Du kannst die Blaupause laden und in einer Testfahrt ausprobieren, das Fahrzeug allerdings nicht ins Gefecht führen.|Möchtest du die Blaupause mit nicht verwendbaren Bauteilen laden?"
"CANT_EDIT_LOCKED_LEVIATHAN"	"Ein aktiver Leviathan kann nicht bearbeitet werden."
"CHAT_EVENT_BANNED"	"Spieler '$bannedUser$' wurde von '$bannedBy$' bis '$banUntil$' ausgeschlossen. Grund: '$banReason$'"
"CHAT_EVENT_MUTED"	"Spieler '$mutedUser$' wurde von '$mutedBy$' bis '$mutedUntil$' stummgeschaltet."
"CHAT_EVENT_SPAM_NOTICE"	"Du sendest zu viele Nachrichten in zu kurzer Zeit an den Chat."
"CHAT_EVENT_UNBANNED"	"Der Spielausschluss von Spieler '$bannedUser$' wurde von '$bannedBy$' aufgehoben."
"CHAT_EVENT_UNMUTED"	"Die Stummschaltung von Spieler '$mutedUser$' wurde von '$mutedBy$' aufgehoben."
"CHAT_MUTED"	"Du wurdest aus dem Chat ausgeschlossen. Die Sperrung wird in  $timeLeft$ aufgehoben."
"DISCONNECT_BAD_AUTH_TOKEN"	"Verbindung zu den Spiel-Servern fehlgeschlagen. Bitte probiere es später erneut."
"DISCONNECT_BAD_GAMEDATA_VERSION"	"Die Spieldateien sind inkompatibel."
"DISCONNECT_BAD_GAME_VERSION"	"Die Version des Spiel-Clients ist inkompatibel."
"DISCONNECT_BAD_LEVEL"	"Fehler beim Laden des Schauplatzes."
"DISCONNECT_BAD_PROTO_VERSION"	"Inkompatible Clientprotokoll-Version."
"DISCONNECT_CLIENT_COULD_NOT_CONNECT"	"Fehler bei der Verbindung mit der Spielsitzung."
"DISCONNECT_FAIL_LOAD_USER"	"Der Master-Server konnte das Client-Objekt nicht laden."
"DISCONNECT_GAMEPLAY_DOES_NOT_ACCEPT"	"Dieses Gefecht hat keinen Platz für weitere Spieler."
"DISCONNECT_GAME_FINISHED"	"Das Gefecht ist bereits abgeschlossen."
"DISCONNECT_HEADER"	"Die Verbindung zur Spielsitzung wurde unterbrochen."
"DISCONNECT_KICK"	"Du wurdest hinausgeworfen."
"DISCONNECT_KICK_AFK"	"Du wurdest wegen Untätigkeit hinausgeworfen."
"DISCONNECT_KICK_CAR_PART_EXPIRED"	"Einige deiner zeitbeschränkten Bauteile sind abgelaufen."
"DISCONNECT_KICK_INVALID_CAR"	"Dein Fahrzeug ist nicht gefechtsbereit. Du wurdest zur Garage zurückgeschickt."
"DISCONNECT_KICK_INVENTORY_FULL"	"Das Lager ist voll."
"DISCONNECT_MASTER_SERVER_CONNECTION_FAILED"	"Verbindung zum Master-Server verloren."
"DISCONNECT_NETWORK_FAIL"	"Unbekannter Netzwerkfehler."
"DISCONNECT_QUIT"	"Der Server hat die Sitzung verlassen."
"DISCONNECT_TOO_MANY_PLAYERS"	"Alle Plätze belegt."
"DISCONNECT_XBOX_SESSION_ERROR"	"Beitritt zur Spielsitzung fehlgeschlagen."
"EMAIL_VERIFICATION_WARNING"	"$url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"@ffff9900Bestätige deine e-Mailadresse\"$, ansonsten sind Käufe auf dem Markt beschränkt."
"ERROR"	"Fehler"
"ERROR_ACCESS_CONFIRMATION_REQUIRED"	"Zugriffsrechte erforderlich. Der Zugang ist  $url href=\"https://store.gaijin.net/storefront.php?category=Crossout&skin_lang=en\" text=\"käuflich erwerbbar\"$.|"
"ERROR_ACCESS_DENIED"	"Zugriff verweigert."
"ERROR_ADMIN_NOT_READY"	"Administrator-Dienst ist noch nicht bereit."
"ERROR_AFK_KICKED"	"Deine Verbindung wurde getrennt, da du zu lange inaktiv warst."
"ERROR_AH_DONT_OWN_ENOUGH"	"Unzureichende Anzahl an Gegenständen für den Verkauf."
"ERROR_AH_HAVE_ACTIVE_OPERATION"	"Bitte warte einen Moment, bevor du die Aktion auf dem Markt wiederholst."
"ERROR_AH_ITEM_NOT_TRADEABLE"	"Dieser Gegenstand kann nicht gehandelt werden."
"ERROR_AH_LOT_IS_OWNED"	"Du kannst deine eigenen Gegenstände nicht kaufen oder verkaufen."
"ERROR_AH_LOW_PRICE"	"Der gewählte Preis ist zu niedrig."
"ERROR_AH_NOT_AVAILABLE"	"Der Markt ist vorübergehend nicht erreichbar."
"ERROR_AH_NOT_ENOUGH_FREE_SLOTS"	"Obergrenze freier Handelsplätze erreicht. Verbessere den Markt für weitere Plätze."
"ERROR_AH_NO_FREE_BLUEPRINT_SLOT"	"Keine freien Plätze für Blaupausen verfügbar."
"ERROR_AH_OPERATION_CONDITION_BROKEN"	"Markt-Transaktionsfehler."
"ERROR_AH_ORDER_LOCKED"	"Dieser Auftrag wird bereits bearbeitet."
"ERROR_AH_ORDER_NOT_FOUND"	"Auftrag nicht gefunden."
"ERROR_AH_REFUND_KICKED"	"Du hast deinen Zugriff zum spielinternen Marktplatz verloren, da du einen gekauften Artikel zurückerstatten lassen hast. Bitte setze dich mit dem Kundendienst in Verbindung."
"ERROR_AH_SERVICE_UNAVAILABLE"	"Der Markt ist gegenwärtig nicht verfügbar."
"ERROR_AH_WRONG_RESOURCE_PACK"	"Ingültiges Ressourcenpaket."
"ERROR_ALPHA_TEST_WINDOW_CLOSED"	"Die Spielserver sind in der Testphase täglich nur zu bestimmten Stunden geöffnet. Bitte versuche es später noch einmal."
"ERROR_ARC_API"	"Arc-Server-Fehler."
"ERROR_ARC_NOT_LOGGED_IN"	"Du musst dich mit Arc verbinden."
"ERROR_AUTH_METHOD_DISABLED"	"Die ausgewählte Authentifizierungsmethode ist nicht verfügbar."
"ERROR_AUTH_REGION_LOCK"	"Das Spiel ist in deiner Region nicht verfügbar"
"ERROR_AVATAR_ISNT_OWNED"	"Portrait nicht verfügbar."
"ERROR_BAD_CREDENTIALS"	"Login oder Passwort ungültig. Bitte erneut versuchen."
"ERROR_BANNED"	"Dein Account wurde ausgeschlossen."
"ERROR_BANNED_FOR_CHEATING"	"Lieber Spieler,||Hiermit möchten wir dich darüber in Kenntnis setzen, dass dein Konto aufgrund eines Verstoßes gegen Paragraph 1.4 und/oder 1.6m der Endnutzer-Lizenzvereinbarung (EULA) permanent von der Teilnahme am Spiel ausgeschlossen wurde.||Endnutzer-Lizenzvereinbarung (Auszug):|1.4. Verbot von Modifikationen. Sie verpflichten sich, dass Sie das Produkt auf keine Art modifizieren oder ändern werden. Sie dürfen keine Informationen über die Urheberrechte oder andere Informationen über das Eigentum von irgendwelchen Kopien der Produkte beseitigen oder ändern.||1.6 m). [Sie verpflichten sich, dass Sie] unberechtigte Verbindungen zum Produkt nicht benutzen, unterstützen, schaffen oder erhalten werden, einschließlich und ohne Einschränkung (1) jeglicher Verbindung zu einem unautorisiertem Server, der jeglichen Teil des Produkts emuliert oder zu emulieren versucht; oder (2) jeglicher Verbindung, die Programme, Instrumente oder Software benutzen, die ausdrücklich nicht von Seiten der Gaijin genehmigt sind.||Beste Grüße,|das Crossout-Team"
"ERROR_BLUEPRINT_ALREADY_LIKED"	"Du kannst einer Blaupause nicht ein zweites Mal einen Daumen hoch geben."
"ERROR_BLUEPRINT_COUNT_LIMIT_REACHED"	"Du kannst nicht mehr als acht Blaupausen in der Gallerie ausstellen."
"ERROR_BLUEPRINT_EXHIBITION_BANNED"	"Du wurdest von der Nutzung der Gallerie ausgeschlossen."
"ERROR_BLUEPRINT_FORBIDEN_NAME"	"Ungültiger Name der Blaupause."
"ERROR_BLUEPRINT_NAME_TOO_LONG"	"Der Name dieser Blaupause ist zu lang."
"ERROR_BLUEPRINT_NAME_TOO_SHORT"	"Der Name der Blaupause ist zu kurz."
"ERROR_BLUEPRINT_NOT_FOUND"	"Blaupause nicht gefunden."
"ERROR_BLUEPRINT_NOT_LIKED"	"Du hast dieser Blaupause nie einen Daumen hoch gegeben."
"ERROR_BLUEPRINT_NOT_OWNED"	"Du bist nicht der Besitzer dieser Blaupause."
"ERROR_BLUEPRINT_SERVICE_UNAVAILABLE"	"Die Gallerie ist vorübergehend nicht verfügbar"
"ERROR_BLUEPRINT_STORAGE_FULL"	"Du hast keine Plätze für Blaupausen übrig."
"ERROR_BUNDLE_ALREADY_OWNED"	"Du besitzt dieses Paket bereits."
"ERROR_CARDESIGN_CRITICAL_MASS"	"Der Grenzwert für das Fahrzeuggewicht wurde überschritten. Verringere das Gewicht oder montiere eine Kabine mit höherem Grenzwert."
"ERROR_CARDESIGN_ENGINE_COUNT_EXCEEDED"	"Diese Blaupause darf nur über einen Motor verfügen, bevor du sie verwenden darfst."
"ERROR_CARDESIGN_EXPIRED_ITEM"	"Achtung! Einige deiner zeitbeschränkten Bauteile sind abgelaufen."
"ERROR_CARDESIGN_GEAR_LEVEL_EXCEEDED"	"Maximale Bauteilanzahl erreicht."
"ERROR_CARDESIGN_GENERATOR_COUNT_EXCEEDED"	"Pro Fahrzeug kann nur ein Generator installiert werden. Entferne die überschüssigen Generatoren, bevor du dich ins Gefecht begibst."
"ERROR_CARDESIGN_HEAVY_COUNT_EXCEEDED"	"Ungültige Anzahl schwerer Bewaffnung."
"ERROR_CARDESIGN_HEAVY_NOT_UNIQUE"	"Ungültige Anzahl schwerer Bewaffnung."
"ERROR_CARDESIGN_INVALID_ITEM"	"Ungültiger oder unbekannter Gegenstand."
"ERROR_CARDESIGN_ITEM_NOT_OWNED"	"Dieser Gegenstand befindet sich nicht im Inventar."
"ERROR_CARDESIGN_ITEM_REQUIRE_LEVEL"	"Dein Fahrzeug verfügt über Bauteile, die du nicht verwenden kannst, da deine Reputation mit den 'Engineers' zu niedrig ist. Entferne sie, bevor du ins Gefecht ziehst."
"ERROR_CARDESIGN_LEVI_NOT_ALLOWED"	"In diesem Modus sind Leviathane nicht verfügbar."
"ERROR_CARDESIGN_NO_CABIN"	"Fahrerkabine fehlt!"
"ERROR_CARDESIGN_POWER_EXCEEDED"	"Der Energieverbrauch ist zu hoch."
"ERROR_CARDESIGN_SKILL_COUNT_EXCEEDED"	"Zu viele Module."
"ERROR_CARDESIGN_SKILL_NOT_UNIQUE"	"Zwei oder mehr Module wurden verwendet."
"ERROR_CARDESIGN_UNWELDED_PART"	"Einige Bauteile sind nicht verbunden."
"ERROR_CAR_EDITOR_CANT_LOAD_DESIGN"	"Blaupause konnte nicht geladen werden."
"ERROR_CAR_EDITOR_NOT_ACTIVE"	"Blaupause kann bei inaktivem Baumodus nicht geladen werden."
"ERROR_CHEATS_DISABLED"	"Cheats sind deaktiviert."
"ERROR_CLAN_ALREADY_IN_CLAN"	"Dieser Spieler ist bereits in einem Clan."
"ERROR_CLAN_ALREADY_MEMBER"	"Dieser Spieler ist bereits in einem Clan."
"ERROR_CLAN_CANT_INVITE_SELF"	"Es ist nicht möglich, dich selbst in den Clan einzuladen."
"ERROR_CLAN_CANT_KICK"	"Dieser Spieler kann nicht ausgeschlossen werden."
"ERROR_CLAN_CANT_KICK_SELF"	"Du kannst dich nicht selbst aus dem Clan ausschließen."
"ERROR_CLAN_CANT_LEAVE"	"Clan kann nicht verlassen werden."
"ERROR_CLAN_DUPLICATE_NAME_TAG"	"Ein Clan mit diesem Namen/Kürzel existiert bereits."
"ERROR_CLAN_INVALID_NAME"	"Nur Buchstaben des lateinischen Alphabets, Zahlen und Leerstellen sind gestattet. Verfügbarer Platz: 3 bis 16 Symbole."
"ERROR_CLAN_INVALID_TAG"	"Nur Buchstaben des lateinischen Alphabets sind gestattet. Verfügbarer Platz: 2 bis 4 Symbole."
"ERROR_CLAN_MAX_SIZE_REACHED"	"Die maximale Clangröße wurde erreicht."
"ERROR_CLAN_MOTD_TOO_LONG"	"Die maximale Länge der Nachricht wurde überschritten."
"ERROR_CLAN_NOT_INVITED"	"Du wurdest nicht eingeladen."
"ERROR_CLAN_NOT_IN_CLAN"	"Du bist kein Mitglied in einem Clan."
"ERROR_CLAN_NOT_LEADER"	"Diese Aktion ist dem Clanleader vorbehalten."
"ERROR_CLAN_NOT_MEMBER"	"Dieser Spieler ist kein Clanmitglied."
"ERROR_CLAN_PLAYER_OFFLINE"	"Dieser Spieler ist offline."
"ERROR_CONNECTION_LOST"	"Verbindung zum Server verloren."
"ERROR_CONTENT_UPDATE_FAILED"	"Aktualisierung der Inhalte fehlgeschlagen."
"ERROR_CONTENT_UPDATE_NOT_AVAILABLE"	"Content-Update verfügbar."
"ERROR_CONTENT_UPDATE_WRITE_FILE_FAILED"	"Dateischreibfehler. Versuche, mehr Speicherplatz freizugeben."
"ERROR_CRAFT_CRAFTSMAN_BUSY"	"Der Craftsman ist beschäftigt."
"ERROR_CRAFT_CRAFTSMAN_BUSY craft"	"Der Craftsman ist bereits mit der Herstellung eines Bauteils beschäftigt."
"ERROR_CRAFT_CRAFTSMAN_HIRED_ALREADY"	"Dieser Craftsman wurde bereits angeworben."
"ERROR_CRAFT_CRAFTSMAN_LOW_GRADE"	"Die Herstellung erfordert ein höheres Craftsman-Level."
"ERROR_CRAFT_CRAFTSMAN_MAX_GRADE"	"Der Craftsman ist bereits auf dem höchsten Level."
"ERROR_CRAFT_CRAFTSMAN_NOT_HIRED"	"Der Craftsman wurde nicht angeworben."
"ERROR_CRAFT_CRAFTSMAN_NOT_WORKING"	"Herstellung nicht verfügbar."
"ERROR_CRAFT_CRAFTSMAN_REQUIRE_FACTION"	"Der Craftsman muss zu einer bestimmten Fraktion gehören."
"ERROR_CRAFT_CRAFTSMAN_REQUIRE_LEVEL"	"Der Craftsman erfordert ein bestimmtes Level."
"ERROR_CRAFT_INSUFFICIENT_COMPONENTS"	"Unzureichende Komponenten."
"ERROR_CRAFT_NOT_DONE"	"Der Konstruktionsauftrag wurde noch nicht abgeschlossen."
"ERROR_CRAFT_NO_STAMINA"	"Dem Craftsman ist die Energie ausgegangen."
"ERROR_CRAFT_VERSION_ERROR"	"Craft Setting Versionsfehler."
"ERROR_DAILY_LOGIN_ALREADY_REWARDED"	"Die tägliche Belohnung wurde bereits erhalten."
"ERROR_DATABASE"	"Unbekannter Datenbankfehler."
"ERROR_DISCONNECT_CLIENT_QUIT"	"Client gentle quit"
"ERROR_DOUBLE_LOGIN_KICKED"	"Ein anderer PC ist gerade mit diesem Konto verbunden."
"ERROR_DSFARM_FAILED_TO_SPAWN"	"DS Farm: Server kann nicht gespawnt werden."
"ERROR_DSFARM_NO_ACTIVE_SERVERS"	"DS Farm: Keine Aktiven Server."
"ERROR_DSFARM_NO_DS_PROCESS_FOUND"	"Interner Serverfehler."
"ERROR_DYE_NOT_FUSIBLE"	"Diese Farbe kann nicht gemischt werden."
"ERROR_FACTION_CHANGE_TIMEOUT"	"Du kannst die Fraktion nicht zu zügig wechseln."
"ERROR_FL_ALREADY_FRIENDS"	"Der Spieler befindet sich bereits auf der Freundesliste."
"ERROR_FL_CANT_FRIEND_SELF"	"Du kannst dich nicht zu deiner eigenen Freundesliste hinzufügen."
"ERROR_FL_NOT_FOUND"	"Spieler nicht gefunden."
"ERROR_FL_NOT_FRIENDS"	"Der Spieler ist nicht auf der Freundesliste."
"ERROR_FL_REQUEST_ALREADY_SENT"	"Freundschaftsanfrage wurde bereits versendet."
"ERROR_FL_WRONG_STATE"	"Kann Freund nicht auf die Blacklist setzen."
"ERROR_FORBIDDEN_IN_MM_QUEUE"	"Diese Aktion kann in der Warteschlange nicht ausgeführt werden."
"ERROR_GAIJIN_2STEP_ERROR"	"Fehler bei der Zwei-Stufen-Autorisierung mit Gaijin.net."
"ERROR_GAIJIN_2STEP_REQUIRED"	"Zwei-Stufen-Autorisierung mit Gaijin.net Online erforderlich."
"ERROR_GAIJIN_ALREADY_STEAM_LINKED"	"Dieses Gaijin.net-Konto wurde bereits mit einem anderen Steam-Profil verknüpft."
"ERROR_GAIJIN_BAD_CREDENTIALS"	"Gaijin.net Login oder Passwort ungültig."
"ERROR_GAIJIN_FROZEN"	"Dieses Gaijin.net Konto wurde gesperrt. Bitte setzen Sie sich mit dem Kundendienst in Verbindung."
