"2STEP_AUTHORIZATION_ENABLED"	"귀하의 계정을 보호하고 있습니다."
"item_chest_paints_craft_desc"	"페인트가 담긴 무작위 컨테이너를 만듭니다."
"item_chest_paints_craft_name"	"무작위 페인트 컨테이너"
"item_chest_Rare_desc"	"컨테이너에는 '스테픈울프'와 'Dawn's Children', '방화범' 부품을 제외한 무작위 부품이 담겨 있습니다:|낮은 확률의 @ff9900ff에픽 부품@ffffffff|높은 확률의 @ff0099ff희귀 부품@ffffffff|보통 확률의 장식|낮은 확률의 페인트"
"item_chest_rare_weapon_desc"	"컨테이너는 바퀴와 '스테픈울프', 'Dawn's Children', '방화범' 부품을 제외한 모든 @ff0099ff희귀 부품@ffffffff이 담겨 있을 수 있습니다."
"item_chest_Relic_desc"	"컨테이너에는 '스테픈울프'와 'Dawn's Children', '방화범'을 제외한 아무 파벌의 희귀 부품이나 유물 부품이 담겨 있을 수 있습니다:|낮은 확률의 @ffff7519유물 부품@ffffffff|높은 확률의 @ff0099ff희귀 부품@ffffffff"
"item_chest_skins_col1_2_name"	"땜장이의 팩"
"item_chest_skins_col1_china_name"	"동방 거장의 팩"
"item_chest_skins_col1_desc"	"무작위 개인화 팩이 담겨 있습니다.|매우 낮은 확률의 @ffffcc66전설 부품@ffffffff|낮은 확률의 @ff9900ff에픽 부품@ffffffff|보통 확률의 @ff0099ff희귀 부품@ffffffff|높은 확률의 일반 부품."
"item_chest_skins_col1_name"	"거장의 팩"
"item_chest_skins_col2_china_name"	"땜장이의 팩 2"
"item_chest_skins_craft_desc"	"개인화 팩이 담긴 무작위 컨테이너가 들어 있습니다."
"item_chest_skins_craft_name"	"무작위 CK 컨테이너"
"item_chest_tutorial_desc"	"'기술자들' 파벌이나 고급 파벌의 거래 불가 @ff0099ff희귀 무기@ffffffff가 담겨 있습니다."
"item_chest_tutorial_name"	"훈련 보상"
"item_chest_White_desc"	"컨테이너에는 '스테픈울프'와 'Dawn's Children', '방화범' 부품을 제외한 희귀 부품이나 장식 아이템, 페인트 깡통이 담겨 있습니다:|낮은 확률의 @ff0099ff희귀 부품@ffffffff|높은 확률의 @ffffffff일반 부품@ffffffff|보통 확률의 장식|낮은 확률의 페인트"
"item_Epic_Caster_Container_desc"	"컨테이너에는 무작위 부품이 담겨 있습니다:|보통 확률의 @ff9900ff에픽 부품@ffffffff|높은 확률의 @ff0099ff희귀 부품@ffffffff"
"item_Epic_Caster_Container_name"	"에픽 캐스터 컨테이너"
"item_Halloween_chest_desc"	"무작위 무시무시한 축제 장식이 담겨 있습니다.|낮은 확률의 @ffffcc66전설 부품@ffffffff|보통 확률의 @ff9900ff에픽 부품@ffffffff|높은 확률의 @ff0099ff희귀 부품@ffffffff."
"item_Knight_new_guns_chest_desc"	"컨테이너에는 특별 이벤트의 희귀 부품이 담겨 있습니다:|매우 낮은 확률의 @ffff7519유물 부품@ffffffff|낮은 확률의 @ffffcc66전설 부품@ffffffff|보통 확률의 @ff9900ff에픽 부품@ffffffff|높은 확률의 @ff0099ff희귀 부품@ffffffff"
"item_Knight_new_guns_chest_name"	"'강철 기갑 부대' 컨테이너"
"item_NewYear_chest_desc"	"새해 장식과 염료, 스티커가 담겨 있습니다.|매우 낮은 확률의 @ffffcc66전설 부품@ffffffff|낮은 확률의 @ff9900ff에픽 부품@ffffffff|보통 확률의 @ff0099ff희귀 부품@ffffffff|높은 확률의 일반 부품."
"item_Rare_Caster_Container_desc"	"컨테이너에는 무작위 @ff0099ff희귀 부품@ffffffff이 담겨 있습니다."
"item_Rare_Caster_Container_name"	"희귀 캐스터 컨테이너"
"ITEM_SUBTYPE_AutoWeapon"	"자동 무기"
"ITEM_SUBTYPE_MechaLegs"	"기계 다리"
"ITEM_TAG_Bundle_1"	"꾸러미"
"ITEM_TAG_Bundle_2"	"팩"
"ITEM_TAG_Bundle_3"	"봉투"
"Keepheist_Bombs_nomads_text"	"강철 날개 소리가 들리나? 네 죽음의 소리다. 조만간 만나게 될 거야."
"Keepheist_Bombs_nomads_text2"	"넌 도둑질을 해서 우리 주인님을 모욕했다! 이제 넌 끝장이다. 도망갈 수는 있지만, 네 운명은 결정됐다."
"Keepheist_Bombs_nomads_text3"	"하찮은 도둑들아! 아무리 노력해 봐야 가치 없는 너희들은 우리 복수를 벗어나지 못한다. 죽을 준비를 해라."
"Keepheist_Bombs_psycho_text"	"화물을 돌려놔! 원래 자리에 두란 말이야! 좋아. 우리 친구들이 너랑 얘기하러 가고 있어!"
"Keepheist_Bombs_psycho_text2"	"어딜 가는 거지? 내가 지원군을 불렀어! 널 아주 납작하게 만들어 주지. 한 번만 봐 달라고 애원하게 만들어 준다고! 아니, 한 번 더 해 달라고 하려나?.. 넌 죽었어!"
"Keepheist_Bombs_psycho_text3"	"이봐, 거기 그 화물 너희 거 아니잖아! 당장 내려놓고 꺼져! 아니, 너무 늦었어... 내가 이미 지원군을 불렀으니까!"
"Keepheist_Bombs_scavengers_text"	"벌써 가려는 건가? 이제 시작이다! 지원군을 왜 불렀겠나?"
"Keepheist_Bombs_scavengers_text2"	"이봐, 우리 물건이니까 조심해라! 정정당당한 화력전을 원한다고 생각했었는데. 아니라고? 그렇다면 지원군을 불러 주지."
"Keepheist_Bombs_scavengers_text3"	"도둑질이 나쁜 거라는 얘기도 못 들었나? 그러다가 혼쭐이 난다는 얘기도? 못 들었다고? 우리가 가르쳐 주지! 가만히 기다려라."
"Keepheist_Cargo_nomads_text"	"적이 침입했다! 무슨 대가를 치르든 주인님의 자산을 지켜라."
"Keepheist_Cargo_nomads_text2"	"네가 어떻게 감히 주인님의 물건을 손상시키는 거지?! 우리가 상대해 주마, 이 야만인아."
"Keepheist_Cargo_nomads_text3"	"저주받을 녀석! 살아서 문을 빠져나갈 거라고는 기대하지 마라."
"Keepheist_Cargo_psycho_text"	"뭐라고, 문이 고장났다고?! 아니, 어려울 거 없어. 재미있는 일이 아직 남아 있으니까!"
"Keepheist_Cargo_psycho_text2"	"우리 친구들을 해치지 마! 그 녀석들이 나무에서 자라는 줄 알아?! 그만하라니까!"
"Keepheist_Cargo_psycho_text3"	"젠장! 노크만 했으면 되는데! 알았어. 지나가도 돼. 여기서 죽여 줄 테니까."
"Keepheist_Cargo_scavengers_text"	"문을 통과했다고? 그래, 잘 왔다. 난 널 맞이할 준비를 하느라 바빴다. 지뢰도 설치하고, 포탑도 설치하고..."
"Keepheist_Cargo_scavengers_text2"	"문은 그저 준비 운동일 뿐이다. 어차피 널 막을 거라고는 기대도 안 했어. 게다가 앞쪽에 더 나은 것이 기다리고 있다."
"Keepheist_Cargo_scavengers_text3"	"아, 내가 좋아하는 문이... 아니야! 이리 와라. 움직이는 목표물이 부족해서 우리 애들이 불안해 하던 참이다."
"Keepheist_Defeat_nomads_text"	"주인님께 전해라, 적이 모두 제거됐다고!"
"Keepheist_Defeat_nomads_text2"	"명예롭게 패배를 인정해라."
"Keepheist_Defeat_nomads_text3"	"마음껏 날뛰어 봐라, 넌 내게 이길 수 없으니까."
"Keepheist_Defeat_psycho_text"	"하하! 네 부품을 벗겨내 주마! 가서 다른 사람들에게도 널리 알려라."
"Keepheist_Defeat_psycho_text2"	"이제 마지막 웃는 사람이 누구지? 하하하!"
"Keepheist_Defeat_psycho_text3"	"그래, 그 잘난 머리가 도움이 되든? 엉?!"
"Keepheist_Defeat_scavengers_text"	"레이드에 성공하려면 모든 걸 때려부수면 되지. 잘 보고 배워라."
"Keepheist_Defeat_scavengers_text2"	"자, 다음엔 장난감을 더 가져와라."
"Keepheist_Defeat_scavengers_text3"	"준비 운동을 도와줘서 고맙다. 그런데 달리 뭘 기대한 거냐?"
"Keepheist_EliteGuard_nomads_text"	"약한 것들을 처치하는 건 즐거울 것도 없지. 이제 이 전투에서 승리해 봐라!"
"Keepheist_EliteGuard_nomads_text2"	"난 총알을 막아내는 오라를 지닌 병사들도 만났다. 하지만 차가운 강철이라면 어떤 악마도 처치할 수 있어!"
"Keepheist_EliteGuard_nomads_text3"	"약한 것들을 처치하고 승리를 자축하는 건가? 그 자리에 조금 더 경험 많은 전사들을 보내 주지."
"Keepheist_EliteGuard_psycho_text"	"폭발적인 지원군을 만나 봐! 이제 넌... 이봐, 이봐, 이봐, 이봐, 이봐! 뭘 하는 거야? 폭탄에서 바퀴 떼!"
"Keepheist_EliteGuard_psycho_text2"	"우, 이제 터질 거야! 잠깐, 난 우리가 널 터뜨리는 줄 알았는데! 잠깐! 폭탄에서 손 떼!"
"Keepheist_EliteGuard_psycho_text3"	"안 돼! 그런 얘기는 없었잖아! 누굴 언제 터뜨릴지는 내가 정하는 거야!"
"Keepheist_EliteGuard_scavengers_text2"	"정말 고집스러운 녀석이군. 오늘은 다른 데 신경을 쓸 정신이 없단 말이다. 조금쯤은 괜찮으려나?.."
"Keepheist_EliteGuard_scavengers_text3"	"너무 일찍 축하하고 있구나! 이건 시작에 불과하다! 판돈을 두 배로 올려 볼까. 난 폭탄이 두 개다!"
"Keepheist_InTime_nomads_text"	"넌 도망치려 했지만, 죽음에 다가갔을 뿐이다. 이제 주인님께서 네게 지하 세계의 심판을 내려 주실 거다."
"Keepheist_InTime_nomads_text2"	"벌레들 같으니. 파괴를 꿈꾸는 자들은 파괴될 것이다. 이 문 뒤에서 죽음이 널 기다리고 있다!"
"Keepheist_InTime_nomads_text3"	"네 행동은 무의미하다. 멀리 가지는 못할 테니까! 지도자가 널 갈갈이 거다."
"Keepheist_InTime_psycho_text"	"난 할 수 있는 건 다 했어. 지도자는 네가 상대해 봐!"
"Keepheist_InTime_psycho_text2"	"그거 헛소리야! 어느 누구에게도 중요한 일을 맡길 수 없어! 나도 안 되겠지. 지도자가 항상 전투 준비가 되어 있어서 참 다행이야."
"Keepheist_InTime_psycho_text3"	"우리 애들 죽이는 일이 질리지도 않아?! 우리 지도자도 죽여 보시지. 어느 누구라도 쓰러뜨릴 수 있을 만큼 강하니까!"
"Keepheist_InTime_scavengers_text"	"시끄러운 걸 좋아하나? 솔직히 나도 그렇다. 하지만 내가 뭔가를 날려버릴 때만 그렇지! 우리 지도자는 어떻겠나!"
"Keepheist_InTime_scavengers_text2"	"네가 이렇게 튼튼하다니 다행이구나. 오랫동안 우리 지도자가 움직이는 걸 못 봤는데 말이야. 기회를 줘서 고맙다. 이제 잘 가라!"
"Keepheist_InTime_scavengers_text3"	"쾅!... 해냈구나! 하지만 우리 지도자도 아주 빠르다."
"Keepheist_nomads_caption"	"샤도"
"Keepheist_psycho_caption"	"조커"
"Keepheist_Start_nomads_text"	"그림자로 보호되는 대지에 누가 발을 들인 건가? 죽음이 두렵지 않은 거냐, 이 바보들아?"
"Keepheist_Start_nomads_text2"	"이 땅과 모든 보물은 내 주인님의 것이다. 감히 그걸 차지하려는 자는 내가 친히 처벌해 주겠다!"
"Keepheist_Start_nomads_text3"	"도전을 받아 주마. 우리 주인님의 보물을 탐내는 용감한 전사를 보는 건 흔한 일이 아니니까 말이야."
"Keepheist_Start_psycho_text"	"요! 우와, 넌 누구지? 널 부른 게 아냐. 꺼져!"
"Keepheist_Start_psycho_text2"	"이봐, 너! 그래, 차에 탄 너 말이야. 여기서 꺼져, 알았지? 빨리 꺼지라고, 나 바쁘니까."
"Keepheist_Start_psycho_text3"	"어이, 광대들, 여긴 오지 말았어야지. 뭐라고?! 아주 혼쭐을 내 줄 줄 알아라!"
"Keepheist_Start_scavengers_text"	"멈춰라! 거기 누구냐? 손님이 올 줄은 몰랐는데. 오늘은 왠지 방아쇠를 당길 손가락이 근지럽구나. "
"Keepheist_Start_scavengers_text2"	"친구들, 나도 재미있게 놀고 싶은데, 오늘은 너무 바빠서 말이야. 일정을 조정해도 될까?"
"Keepheist_Start_scavengers_text3"	"꺼져라! 우리 대장님은 길 잃은 개가 여길 더럽히는 걸 좋아하지 않는다."
"Keepheist_TooLate_nomads_text"	"오만함이 참으로 도가 지나치구나. 이제 네 자리로 보내 주마."
"Keepheist_TooLate_nomads_text2"	"복수의 시간이다."
"Keepheist_TooLate_nomads_text3"	"더러운 겁쟁이 같으니, 달아나지도 못하는구나! 죽을 준비를 해라!"
"Keepheist_TooLate_psycho_text"	"자, 지원군이 왔어! 내가 블러핑을 하는 줄 알았어? 놀랐지!"
"Keepheist_TooLate_psycho_text2"	"화물을 갖고 달아나고 싶었다면, 속도를 더 냈어야지! 넌 이제 끝났다."
"Keepheist_TooLate_psycho_text3"	"네 시간은 이제 끝이다! 지원군이 왔으니까. 마지막 숨을 쉬면서 그 느낌을 잘 기억해 둬라. 쉽지 않겠지만. 하!"
"Keepheist_TooLate_scavengers_text"	"넌 여기서 끝인 것 같구나. 지원군이 오기까지 오... 사... 지금이야!"
"Keepheist_TooLate_scavengers_text2"	"정말 전리품을 갖고 달아날 수 있을 줄 알았나? 나와 내 친구들은 그렇게 생각하지 않는다!"
"Keepheist_TooLate_scavengers_text3"	"잠깐이나마 네가 진짜로 달아날 수 있을 거라고 생각했는데. 가끔은 틀리는 것도 나쁘지 않구나."
"Keepheist_Win_nomads_text"	"이 전투에서는 내가 졌다! 아직 배워야 할 게 많군."
"Keepheist_Win_nomads_text2"	"이럴 수가, 주인님! 이런 수치를 안고 살아가야 합니까?"
"Keepheist_Win_nomads_text3"	"이번엔 네가 더 강했다... 말도 안 되지만 말이야!"
"Keepheist_Win_psycho_text2"	"젠장, 이럴 순 없어..."
"Keepheist_Win_psycho_text3"	"대체 어떻게?! 우리가 더 많았는데!"
"Keepheist_Win_scavengers_text"	"이봐! 이번엔 그 녀석들이 정말로 날 지하 감옥에 던져 넣을 거야."
"Keepheist_Win_scavengers_text2"	"젠장, 왜 전부 날려버리려고만 하는 거야!"
"Keepheist_Win_scavengers_text3"	"희생자를 데리고 너무 오래 놀았군... 널 죽여 버렸어야 했는데!"
"KEYTIP_CURSOR"	"$texture ignoreFontSize name xinput_left_stick$/$texture ignoreFontSize name Key_xinput_dpad$ 커서"
"KEYTIP_CURSOR_PS4"	"$texture ignoreFontSize name psinput_left_stick$/$texture ignoreFontSize name Key_psinput_dpad$ 커서"
"KEYTIP_HELP"	"도움말"
"Language_chinese"	"중국어 간체"
"Language_japanese"	"일본어"
"Language_spanish"	"스페인어"
"Language_tchinese"	"중국어 번체"
"leaderboardwnd_time_left"	"시즌 종료까지 남은 시간: $time_left$"
"LEVELWND_REWARD_QUEST_SEASON"	"$name$ 시즌 접근 권한"
"LEVIATHAN_HINT_TEXT1"	"보관소의 부품을 자유롭게 사용하여 꿈의 차량을 제작하고, 이 차량을 내보내 다른 플레이어와 싸웁니다."
"LEVIATHAN_HINT_TEXT2"	"리바이어던은 전장에 출현한 후 24시간 동안 당신을 위해 싸우며, 승리에 꼭 필요한 자원인 구리를 획득합니다."
"LEVIATHAN_HINT_TITLE1"	"꿈의 전투 차량"
"LEVIATHAN_HINT_TITLE2"	"당신이 쉬는 동안에도 전투"
"LEVIATHAN_HINT_TITLE3"	"제작 및 획득"
"LOBBY_INVITED"	"(초대됨)"
"Machinegun_Overheating_DESC"	"무기의 온도가 높을수록 공격력이 증가합니다. 최고 온도가 되면 공격력이 $damage_overheat_mul$% 증가합니다."
"MAP_DESC_ARENA_FOOTBALL"	"스캐빈저 기지의 경기장입니다."
"MAP_DESC_POWERPLANT_NEWYEAR"	"그론치의 은신처"
"MAP_DESC_RED_ROCKS_BATTLE_ROYALE"	"모래로 뒤덮인 공업 단지"
"MAP_DESC_REFINERY"	"황무지 한가운데에 떨어진 한 방울의 깨끗한 물"
"MAP_DESC_TOWER"	"버려진 도시로, 전에는 생물이 살기에 적합하지 않은 곳으로 여겨졌습니다."
"MAP_HINT_TEXT1"	"귀중한 자원을 놓고 다른 생존자들과 싸우세요."
"MAP_HINT_TEXT2"	"침입자의 공격을 격퇴하고 다른 생존자와 함께 과제를 완료하세요."
"MAP_HINT_TEXT3"	"이 독특한 모드에서는 특별한 규칙과 보상이 생존자들을 기다립니다."
"MAP_HINT_TITLE3"	"침공 및 난투"
"MAP_TITLE_ARENA_FOOTBALL"	"중앙 경기장"
"MAP_TITLE_BUILDING_YARD2"	"EX 구역 야간"
"MAP_TITLE_BUILDING_YARD3"	"EX 구역"
"MAP_TITLE_RED_ROCKS_BATTLE_ROYALE"	"피바다 암반"
"MAP_TITLE_TOWER"	"이름 없는 탑"
"MARKETPLACE_PURCHASE_ORDER_HOLD"	"아이템 처리가 다소 지연되고 있습니다.|구입 요청이 $time$ 내에 활성화됩니다."
"MARKETPLACE_SELL_ORDER_HOLD"	"아이템 처리가 다소 지연되고 있습니다.|아이템이 $time$ 내에 시장에 등록됩니다."
"MARKET_ITEM_HOLD_TOOLTIP"	"아이템 처리가 다소 지연되고 있습니다. 요청 활성화가 최대 $time$까지 지연됩니다."
"Mask_14_Desc"	"백세인은 골짜기에서 꽤나 유명한 인물이지만, 그의 진짜 이름이나 생일을 알고 있는 사람은 아무도 없습니다. 격침시킬 수 없는 이 노인에 대한 소문은 끊임없이 들려오지만, 노인이 깨끗한 물 만큼이나 귀한 황무지에서 그가 어떻게 아직까지 살아 있는 건지 다들 의아해 합니다.|어떤 미치광이 파벌 사람은 백세인이 대재앙 당시 Crossout 바이러스에 감염된 후로 나이를 먹지 않는다고 주장합니다. 백세인이 살아 있는 시체라는 소문이 있어 더욱 무시무시하기도 합니다. 그는 어떤 부상을 입어도 살아남지만, 아주 사소한 상처도 아물지 않습니다. 그래서 전에는 레이드에도 많이 참여했지만, 요즘은 멀리서 명령을 내리는 역할에 주력합니다."
"Mask_14_Name"	"위풍당당"
"mask_ambulance_name"	"모르투스 "
"Mask_Australian_Dendy_Desc"	"재앙 이후에도 그의 삶은 거의 달라지지 않았습니다. 그는 사람들에게서 떨어진 야생에서 살아왔으며, 지금도 그렇습니다. 단지 대형 동물들의 생각이 들리기 시작하자 좀 심란해졌습니다. 그래서 크게 한숨을 쉬고는 아무도 살지 않는 곳으로 옮겨갔습니다. 이제 그는 황무지를 주행하며 자신이 소유한 것에 대해 생각합니다."
"Mask_Australian_Dendy_name"	"크록"
"Mask_Boar_desc"	"사냥꾼은 오랫동안 야생 동물을 먹잇감으로 삼아 살아왔으며, 그런 동물에게서 얻은 전리품으로 오두막과 차를 꾸몄습니다. 이제 그는 인간을 사냥합니다. 그에게 희생된 사람은 쉽게 알아볼 수 있습니다. 대부분 손가락이나 치아, 또는 그보다 더 끔찍한 부위가 사라지니까요. 사냥꾼이 이렇게 끔찍한 전리품을 자신의 소굴에 보관한다는 소문이 있습니다. 하지만 솔직히 소문은 믿을 게 못 됩니다. 어차피 그의 소굴이 어디에 있는지는 아무도 모르거니와, 그곳에서 살아 돌아오는 사람은 전혀 없으니까요."
"Mask_Boar_name"	"사냥꾼"
"Mask_DLC_1_Desc"	"한 주술사가 가장 최근에 얻은 깃털을 자신의 독수리 의복에 붙이던 밤, 영혼들에게서 이 차량의 설계도를 선물로 받았고, 그렇게 위쪽 세계로 처음 진출한 인물이 되었습니다. 그곳에서 그는 수많은 강철의 새와 두 눈이 빛나는 기이한 생물들을 보았습니다. 그리고 그중 하나가 주술사의 상상력을 사로잡은 거품 모양 물체를 발톱으로 가리켰습니다. 그 이후 그는 황무지를 여행하며 자신의 '발톱'에 사용할 부품을 모으고 있습니다."
"Mask_DLC_1_name"	"대기의 주술사"
"Mask_DLC_2_Desc"	"눈을 잃은 직후, 보탄은 세계를 전혀 다른 빛으로 보기 시작했습니다. 모든 기술적 설계가 그에게는 납작한 설계도로 보였습니다. 모든 결점이 빛을 발하듯 분명히 보였고, 보탄은 그걸 보는 즉시 설계도에서 새로운 부품을 추가하여 수정하려 했습니다. 펜리르는 보탄이 다른 이름을 사용하던 시절, 가장 먼저 제작한 창조물 중 하나입니다."
"Mask_DLC_2_name"	"보탄"
"Mask_DLC_3_Desc"	"그는 자신이 어떻게 길 위에서 발견되었는지 기억하지 못했습니다. 폭발이 있었고, 무언가 불타고, 누군가 달리고, 그는 어딘가로 끌려가 붕대를 감았습니다. 그 후 그는 혼자 걷고 있었습니다. 아주 오랫동안. 처음에는 사람들이 그에게 햇빛을 피하게 해 주고 물도 주었지만, 곧 그를 혼자 내버려 두었습니다. 그는 걷고, 또 걷다가, 결국엔 기진맥진하여 잊혀진 차고에서 쓰러졌습니다. 그곳에서 그는 차츰 이성과 기계공으로서의 실력을 되찾았습니다. 그리고 그곳에서 떠돌이를 만들었습니다."
"Mask_DLC_tank_Desc"	"그 날 페도르는 정확히 100살이 되었습니다. 하지만 그는 그 사실을 알지 못했습니다. 몇 달 동안이나 뇌사 상태로, 각종 전선과 튜브에 얽혀 있었기 때문입니다. 그 상태로 그는 자신이 젊고 힘과 증오로 가득차, 아끼던 34 전차의 레버 뒤에 앉아 있는 끝없는 꿈을 꾸었습니다. 한 대의 전차만 더 잡고 끝내자, 그래, 한 대만 더… 그렇게 죽음은 계속해서 그를 스쳐 지나갔습니다.|생명 유지 장치가 망가지고, 전등이 꺼지고, 아무도 오지 않게 되자, 페도르는 눈을 떴습니다. 그는 병원 침상에서 일어나, 천천히 잔해와 사체가 널려 있는 복도를 지나 늘 행진터처럼 보이던 넓은 정원으로 나와 껄걸 웃었습니다.|그의 몸에는 다시 활력이 넘쳤고, 온 세계가 다시 그의 손을 필요로 했습니다. 레버와 방아쇠가 그리웠습니다.|그는 단순한 별명을 얻었습니다. '탱크맨'. 궤도 차량과 대구경 포를 사랑했기 때문입니다. 그는 그 외의 것은 모두 증오했습니다."
"Mask_DLC_tank_name"	"탱크맨"
"Mask_Firestarters_1_Desc"	"방화범 파벌에서 가장 위험한 존재입니다. 온 세계를 증오하며 대재앙 이후 고향이 잿더미에 덮일 때 사람들의 눈을 피해 숨었습니다.|참을성이 강한 것으로 알려져 있습니다. 이성을 잃는 일이 많지는 않지만, 혹시라도 그럴 때면 가까이 하지 않는 게 좋습니다. 무자비한 인물로, 타오르는 불길을 전투 깃발로 사용합니다."
"Mask_Firestarters_1_name"	"베수비우스"
"Mask_Firestarters_2_Desc"	"에트나를 황무지의 다른 여자와 혼동할 일은 없습니다. 그녀의 훤칠한 키와 밝은 빨간색 머리카락은 정말로 눈에 띄니까요. 그녀는 재앙이 일어난 후에 방화범 파벌에서 태어났고, 활화산의 이름을 따서 이름을 받았습니다. 그녀는 늘 의식용 마차의 뒤를 따라다니다가 어느날 그 중 하나의 바퀴 뒤에 서고 말았습니다. 끓어오르는 베수비우스의 분노를 두려워하지 않는 유일한 사람만이, 그를 진정시킬 수 있습니다. '친절한 화산'이라는 애정 어린 별명으로 불리기도 합니다."
"Mask_Firestarters_2_name"	"에트나"
"Mask_Firestarters_3_Desc"	"대재앙이 발발하고 몇 년 후에 남쪽에서 나타났습니다. 방화범 파벌에서는 그 기간 동안 그가 무엇을 했는지 묻지 않았고, 그렇게 상가이의 신뢰를 얻었습니다. 이 침묵의 전사는 가장 어려운 명령들도 충실히 수행하며 빠르게 이 무리의 일원이 되었고, 지도자 오데온의 총애를 받으며 기수이자 암살자라는 명예로운 자리에 올랐습니다.|하지만 오늘날 이런 무조건적인 헌신은 쉽게 믿을 수가 없습니다. 아마 상가이는 대재앙이 발생하는 과정에서 너무나도 공포스러운 일을 경험하여, 이제 다른 누군가의 명령을 따르는 것 말고는 아무 것도 할 수 없는 모양입니다."
"Mask_Firestarters_3_name"	"상가이"
"Mask_firestarters_bundle_1_Desc"	"아주 오래 전, '시뻘건 열기'에게도 이보다는 괜찮은 이름이 있었습니다. 그는 불을 다루는 쇼에서 공연을 했으며, 무리 중 가장 열정적인 예술가였습니다. 하지만 모든 것을 잠식하는 불을 향한 열정과 한 순간의 부주의함 때문에 그는 자신의 인생뿐 아니라 파트너의 목숨까지 희생해야 했습니다. 이 사고 이후, 그는 다시는 불에 손을 대지 않기로 결심했습니다.|하지만 재앙이 벌어진 후, 모든 것이 불의 쇼에서의 쥐불처럼 휘돌기 시작했습니다. 민첩하고 효과적으로 불을 다룰 수 있는 능력 덕분에 '시뻘건 열기'는 미치광이들 파벌에서 인기를 얻기 시작했습니다. 그리고 머지않아 그는 방화범 계급으로 승진하기까지 했습니다. 그는 자신의 이름과 이미지를 '시뻘건 열기'로 바꾸고, 무시무시한 전쟁 물감으로 도색을 하고, 어떤 B급 영화의 촬영 현장에서 찾아낸, 미치광이가 만들어 낸 것만 같은 핸들 뒤에 앉았습니다.|이제 그는 화염숭배자들이 싫어하는 모든 것을 불태우는 걸 즐기며, 깨어진 맹세와 옛 친구를 떠올리지 않으려 노력합니다. 정말 정직한 친구죠!"
"Mask_firestarters_bundle_1_name"	"시뻘건 열기"
"Mask_Frenzied_1_Desc"	"어린 시절부터 날카로운 물체를 좋아했습니다. 여가 시간에는 실톱으로 나무 막대를 잘라 토끼 조각을 만듭니다. 그리고 거기에 못을 박고, 짓밟고, 불태웁니다."
"Mask_Frenzied_1_name"	"먼치"
"Mask_Frenzied_2_Desc"	"사람들의 눈을 똑바로 쳐다보지 못하고 피합니다. 하지만 수줍은 것을 무력한 것으로 착각하지 마십시오. 전투가 한창일 때는 분노에 사로잡혀, 전례 없는 잔혹한 모습을 보이기도 합니다."
"Mask_Frenzied_2_name"	"리나"
"Mask_Frenzied_3_Desc"	"그와 같은 사람들을 '감정이 죽었다'고 표현합니다. 냉소적이고 무자비합니다."
"Mask_Frenzied_3_name"	"조커"
"Mask_Germany_Gasmask_Desc"	"크네히트의 군대인 백십자의 가장 광적인 기사로, 마틴의 감동적인 연설에 영감을 받아, 그를 따르는 길이라면 물불을 가리지 않습니다."
"Mask_Germany_Gasmask_name"	"울리히"
"Mask_Germany_Raider_Desc"	"마틴의 캠페인에 가장 먼저 참여하고, 이후 그의 고문이자 개인 기계공이 되었습니다. 지도자보다 아주 조금 나이가 많을 뿐이지만, 아우구스투스는 종종 그에게 가치 있는 조언을 해 주고, 과도한 폭력을 행하지 않게 달래 주어, 크네히트 군대의 성장에 크게 기여했습니다.|크네히트의 적들에게는 아주 무자비합니다."
"Mask_Germany_Raider_name"	"아우구스투스 도너"
"Mask_Halloween_2017_1_Desc"	"하이드는 늘 사람들을 피하고, 그런 일에 부담을 갖지도 않았습니다. 하지만 재앙이 일어난 직후, 그의 기억이 흐릿해지기 시작했습니다. 마침내 그가 깨어났을 때, 맨손으로 땅을 파기라도 한 듯, 두 손에 새로운 상처들이 나타났습니다. 하이드는 자신이 정신을 잃을 때마다 자기 안에 남은 인간성이 사라져 간다는 사실을 깨달았고, 괴물로 변하는 일을 막기 위해 약품을 찾기 시작하면서 골짜기로 이끌렸습니다."
"Mask_Halloween_2017_1_name"	"하이드 박사"
"Mask_Hunter_Desc"	"세상이 힘겨울 땐, 늑대사냥개를 부르세요. 황무지의 불길 속에서 하얗게 타버린 이 용병이 하지 못할 더러운 일은 없습니다. 보수가 부족한 일만 있을 뿐입니다. 대개 가장 절박한 상황에 처한 이들이 그를 고용합니다. 하지만 그러고 나면 이들은 고난의 이유였던 대상과, 이 골치 아픈 용병 중에서 누구를 두려워해야 할지 알 수 없게 됩니다.|늑대사냥개의 성격은 수수께끼입니다. 마치 안개가 잔뜩 낀 늪지를 보는 것 같습니다. 그는 결코 헬멧을 벗는 일이 없으며, 고객 중 그 누구도 그의 장갑 차량을 본 적이 없습니다. 하지만 밤을 가르는 엔진의 굶주린 포효와 피를 얼어붙게 하는 바퀴의 마찰음을 들어 보지 못한 사람은 없습니다."
"Mask_Hunter_Name"	"늑대사냥개"
