"2STEP_AUTHORIZATION_ENABLED"	"あなたのアカウントは保護されています。"
"Giantsiege_Win_scavengers_text3"	"くそ…ABに…どう伝えれば…"
"GiftCard_Premium"	"スキャナーは $time$ 間有効です。"
"GiveawayWnd_have_chest"	"コンテナが君を待っている！"
"GIVEAWAYWND_PROMO_SATURATION_TEXT"	"次のアイテムがガレージに追加されました："
"GIVEAWAYWND_PROMO_SATURATION_TITLE"	"新しいパーツを獲得した"
"GiveawayWnd_rerolls_left"	"残り：{$val$;' 回';' 回'} "
"GIVEAWAY_ATTACH_AVATAR"	"ポートレット「$name$」"
"GIVEAWAY_MSG_NO_ATTACHMENT"	"重要なお知らせ！"
"Giveaway_saturation_drivers"	"ドライバー："
"Giveaway_saturation_faction"	"ファクション："
"GOLD_PACK_150_GOLD_Name"	"コイン 150 枚パック"
"GOLD_PACK_2500_GOLD_Name"	"コイン 2500 枚パック"
"GOLD_PACK_3500_GOLD_Name"	"コイン 3500 枚パック"
"Greatescape_Boss_nomads_text"	"戦いに終止符を打とう。すべてを終わらせる準備はできている。"
"Greatescape_Boss_nomads_text2"	"死ぬ準備はできているな？お前はほぼ確実に死ぬ。"
"Greatescape_Boss_nomads_text3"	"止まれ、最後の戦いだ！"
"Greatescape_Boss_psycho_text"	"いいわね！どこにも逃げられないわよ！覚悟しなさい！"
"Greatescape_Boss_psycho_text2"	"お遊びはおしまいよ。会えてよかったわ。じゃあね。"
"Greatescape_Boss_psycho_text3"	"あたしらがオモチャなんかで遊んでいるとでも思ったの？じゃあこれは大きいオモチャね！？"
"Greatescape_Boss_scavengers_text"	"貴様と戦うために創られた車両を見るが良い。もう逃げ場はないぞ、覚悟せい！"
"Greatescape_Boss_scavengers_text2"	"積み荷を運ぶのは疲れたじゃろ？止まって休むんじゃ。話そうじゃないか。じーっくりと。"
"Greatescape_Boss_scavengers_text3"	"そんなに急いでどこに行くんじゃ？ちょっと待て！待てと言っじゃろ！リーダーが狙いを定めるからそのままちょっと待つんじゃ。"
"Greatescape_Cargo_nomads_text"	"敵が荷物を積んでいる！奴らを止めろ！"
"Greatescape_Cargo_nomads_text2"	"何故お前がこんな事をしたのか理解した。我々は戦わずに諦めたりなんかしない。"
"Greatescape_Cargo_nomads_text3"	"我々の積み荷を破壊した上に盗もうとしているのか。我々にも同じことをやり返す権利がある。"
"Greatescape_Cargo_psycho_text"	"今すぐ私のものを盗るのをやめなさい！私をこれ以上怒らせないで。"
"Greatescape_Cargo_psycho_text2"	"止まった？面白いわ。もうこっちのものよ！覚悟しなさい！"
"Greatescape_Cargo_psycho_text3"	"盗みは悪いことだって知らないの？あたしが教えてあげるよ！"
"Greatescape_Cargo_scavengers_text"	"この盗人め！少しの良心も残っておらんおか？わしらにもないがのぉ！追いかけるのじゃ！"
"Greatescape_Cargo_scavengers_text2"	"何て奴じゃ！盗人め！じゃがまだ日は明るい。狙い放題じゃ！ヘーヘッヘッヘ！"
"Greatescape_Cargo_scavengers_text3"	"「うそつき、うそつき、キャビンが燃えている？」聞いたことあるか？これはお主のことを言ってるんじゃ！"
"Greatescape_Defeat_nomads_text"	"潔く負けを認めるんだ。"
"Greatescape_Defeat_nomads_text2"	"お前の負けだ。誰にでもあることだ。"
"Greatescape_Defeat_nomads_text3"	"君の奇襲は終わりだ。"
"Greatescape_Defeat_psycho_text"	"してやられたわね、貴方達。リナとリナのバウンサーたちには喧嘩を売るんじゃないわよ！"
"Greatescape_Defeat_psycho_text2"	"思った以上に簡単だったわね！ハッハー！"
"Greatescape_Defeat_psycho_text3"	"誰かが困っている時に喜ぶのは悪いことだって誰かが言ってたわね。アーハッハッハー！"
"Greatescape_Defeat_scavengers_text"	"わしらが組めば最強じゃ。しかし生存者の貴様らは組んでも最弱じゃ。"
"Greatescape_Defeat_scavengers_text2"	"ホホホ、これには弱すぎたかのぉ？ホウレン草でも盗んでくるんじゃな！"
"Greatescape_Defeat_scavengers_text3"	"ほっほ、十分か？積み荷を取り返し、貴様のトラックに残っているものすべて奪ってやるわい。"
"Greatescape_FightOff_nomads_text"	"賽は投げられた。反撃するの準備はできている。愚か者たちよ、負けを認めろ。お前が助かる術はない。"
"Greatescape_FightOff_nomads_text2"	"久々の客だな。こんな歓迎で十分か？"
"Greatescape_FightOff_nomads_text3"	"見たか？我々は戦いで死ぬ準備ができている。君はどうだ？"
"Greatescape_FightOff_psycho_text"	"待ち伏せでも期待してたのかしら？誰もいないわよ！"
"Greatescape_FightOff_psycho_text2"	"ハッハー、あんたの車両を先に見つけたわ！取り戻せるものなら取り戻してみなさい！"
"Greatescape_FightOff_psycho_text3"	"あんたが何でこの車両が欲しいのかは知らないけど、これはあたしのものよ！"
"Greatescape_FightOff_scavengers_text"	"我々の防衛はどうじゃ？トラックを諦めて出ていくのじゃ！"
"Greatescape_FightOff_scavengers_text2"	"お主のトラックはこっちのものじゃ。バカなことをしてみい。自業自得じゃぞ。"
"Greatescape_FightOff_scavengers_text3"	"ほっほっほ、わしらがいるなんて思いもしなかったかのお？残念じゃったな！"
"Greatescape_KeepMoving_nomads_text2"	"輸送の積み込みが十分だと思っているなら、失望するだろう。"
"Greatescape_KeepMoving_nomads_text3"	"後部ミラーをよく見ておけ。我々は君の後ろにいるぞ。"
"Greatescape_KeepMoving_psycho_text"	"覚悟しなさい！私達の積み荷と一緒に逃がしはしないわ！"
"Greatescape_KeepMoving_psycho_text2"	"ちょっと、あたし達のものを盗んだわね！それに爆破はNGよ！"
"Greatescape_KeepMoving_psycho_text3"	"ちょっと、それはあたし達のものよ！こんなゲームうんざり！返しないさいよ！"
"Greatescape_KeepMoving_scavengers_text"	"ほぉ、積み込んだようじゃな。積荷を奪うほどの力があるのかのぉ？そうは思えぬがな！"
"Greatescape_KeepMoving_scavengers_text2"	"捕まえてやる、窃盗のくずめ！生き残ってみせい！"
"Greatescape_KeepMoving_scavengers_text3"	"これ！トラックをどこへ持っていくつもりじゃ？お前のタイヤを撃つぞい！"
"Greatescape_nomads_caption"	"ジーン"
"Greatescape_psycho_caption"	"リナ"
"Greatescape_scavengers_caption"	"マジェスティック"
"Greatescape_StartMoving_nomads_text"	"お前は大切な仲間を手に掛けた。地の果てまでお前を追い詰めてやる。"
"Greatescape_StartMoving_nomads_text2"	"この辺りで輸送車を運転するのは危険らしいぞ。そうだな…我々が護衛してやろう。"
"Greatescape_StartMoving_nomads_text3"	"我々の待ち伏せ部隊を突破したか。しかし、諦めるのはまだ早い、追跡を続行する。"
"Greatescape_StartMoving_psycho_text"	"奴らが私のバウンサーを奪ったの！ふざけんじゃないわよ！まあ、逃げてみなさい。逃げれるもんならね！"
"Greatescape_StartMoving_psycho_text2"	"女を攻撃できないわよね！あたし達はあんた達を攻撃できるけどね。捕まるまで逃げ惑いなさい、アハハ！"
"Greatescape_StartMoving_psycho_text3"	"私の後ろにつきまとわないで！イヤよ！やめなさいよ！捕まえてやる！"
"Greatescape_StartMoving_scavengers_text"	"ふむ…それは良くないのぉ。ほら行くが良い。また後で捕まえてやろう。"
"Greatescape_StartMoving_scavengers_text2"	"最近の若者に脅しはつうじんのかの。ふむ、他の方法を教えてやろう。"
"Greatescape_StartMoving_scavengers_text3"	"仲間がやられてしまったじゃと。こんちくしょうめ！絶対に逃がさんぞい。"
"Greatescape_Start_nomads_text"	"積み荷を盗りに来たのか？できると思うならやってみろ。お前の本性はお見通しだ。"
"Greatescape_Start_nomads_text2"	"素晴らしい日だ。お前が来なければな。何を考えている？話してみろ、どうせわかるがな。"
"Greatescape_Start_nomads_text3"	"聞こえるか？お前が何を考えているのか分かっている。我々が止めてやろう。"
"Greatescape_Start_psycho_text"	"はぁ！？トラックを取り返したいですって？私の仲間があんたの車を破壊する前に失せなさい！"
"Greatescape_Start_psycho_text2"	"ハーイ！あたし達とレイドバトルしたいんだって？バカな奴らね。"
"Greatescape_Start_psycho_text3"	"ちょっとちょっと、何が起こってるのよ？あたしの今夜のお楽しみにあんた達はいらないのよ、わかった？"
"Greatescape_Start_scavengers_text"	"何故ここに来おった？他人の物が欲しいのか？撃たれる覚悟をせい。"
"Greatescape_Start_scavengers_text2"	"何故トラックをここで手に入れたんじゃ？何が欲しい？新しい傷か？くれてやるわい！"
"Greatescape_Start_scavengers_text3"	"やぁ！わしらのものを盗みたいって？やってみんしゃい。"
"Greatescape_Win_nomads_text"	"負けたという事実を受け入れることが大事だ。"
"Greatescape_Win_nomads_text2"	"我々の負けだ。認めよう。"
"Greatescape_Win_nomads_text3"	"我々の負けだ。我々はよくやった。"
"Greatescape_Win_psycho_text"	"リナは負けないんだから！ありえないわ？！"
"Greatescape_Win_psycho_text2"	"戦利品を積んだトラックを盗なんて簡単よ。私だってできるわ。あえてやらないだけよ！わかった？！"
"Greatescape_Win_psycho_text3"	"見なかったことにしてやるわ。ベーっだ！"
"Greatescape_Win_scavengers_text"	"新しいのが必要じゃ。まずは、トラックを手に入れるぞい。"
"Greatescape_Win_scavengers_text2"	"正々堂々と勝ったと思っておるのか？違うのぉ、勝たせてやったのじゃ。"
"Greatescape_Win_scavengers_text3"	"今のは何じゃ？わしらの方が有利じゃ。"
"HANGAR_CARSLOT_CLEAR_TOOLTIP"	"ガレージから削除"
"HANGAR_NO_EXP_REWARD_TOOLTIP"	"@ffff9f00報酬なしモード@ffffffff|ここでは名声は入手できず、ボーナスは適応されません。"
"HANGAR_RANDOM_CAR_GENERATION_WARNING"	"@ffff0000自動組み立てを行うとガレージスペースにある現在の車両が削除され、ストレージ内のパーツでビルドされたランダムな車両と置き換えられます。続けますか？"
"HANGAR_TABS_firestarters_TOOLTIP"	"ファクション「ファイアスターター」を選択する"
"HANGAR_TAB_FUSION_TOOLTIP"	"所持しているアイテムを利用して、レアパーツをアップグレードできる"
"HANGAR_TAB_PROFILE_SELF_STATISTICS_TOOLTIP"	"現在創り上げた車両のステータス情報"
"HANGAR_TAB_QUESTS_CRAFT_TOOLTIP"	"特別な報酬をクラフトする。"
"HANGAR_TAB_QUESTS_TOOLTIP"	"現在アクティブなチャレンジ一覧と進捗状況"
"HANGAR_TAB_SHOP_APPEARANCE"	"カスタマイズ"
"HANGAR_TAB_SHOP_PREMIUM"	"スキャナー"
"HANGAR_TAB_SHOP_PREMIUM_TOOLTIP"	"荒野での生活に役立つ生存者の特別デバイス。"
"HEALTH_TOOLTIP"	"車両の耐久値はキャビンと全ての外装パーツの合計耐久値です。その値が高いほど、バトルで耐えられるダメージも増えます。||武器を含む幾つかのパーツは、車両の耐久値を増加させません。それらのパーツが受けたダメージは車両自体とは別々で計算されます。||情報：この車両の耐久値は$car_max_health$、設計図（車両の耐久値を含む）で使われているパーツの合計耐久値は$parts_health$です。"
"HINT_TEXT_CAR_AUTO_BUILD_INFO"	"ボタンを押すと、ストレージ内の使用可能なパーツを使用してすぐに車両を組み立てることができます。"
"HINT_TEXT_MAP_FROM_COOP_TO_PVP"	"他のプレイヤーとのバトルに参加するにはアイコンを選択してください。"
"HINT_TEXT_QUESTS_OPEN"	"毎日にディリーチャレンジを完了することで、ストレージをいつもスクラップと貴重な資材でいっぱにすることができるでしょう。"
"HINT_TEXT_REPAIR_KIT_CRAFT"	"すべての材料が揃っていれば、1つ以上の修理キットをビルドできる！"
"HINT_TEXT_REPAIR_KIT_SELECT_CRAFTSMAN"	"必要なアイテムをビルドできるクラフターを選択。"
"HINT_TEXT_REPAIR_KIT_SELECT_FACTION"	"ファクション「エンジニア」を選択する。"
"HINT_TEXT_TUTORIAL_TO_HANGAR"	"「ガレージ」を選ぶと、どこにいてもガレージに戻れます。"
"HINT_TITLE_CAR_AUTO_BUILD_INFO"	"オートクラフト"
"HINT_TITLE_REPAIR_KIT_CRAFT"	"修理キッドの製造"
"HINT_TITLE_REPAIR_KIT_SELECT_CRAFTSMAN"	"修理キッドの製造"
"HINT_TITLE_REPAIR_KIT_SELECT_FACTION"	"修理キッドの製造"
"HINT_TITLE_REPAIR_KIT_TO_FACTION"	"修理キッドの製造"
"HINT_TITLE_TUTORIAL_TO_HANGAR"	"ガレージに戻る"
"HUD_ALL_PARTS_PVE"	"武器とタイヤがなくなった？@ffff9900$key$@ffffffffを押し続けて自爆すれば、新しい車で戻ってこられる。|@ffff9900注意：戻ってくるには「修理キット」が必要！@ffffffff"
"HUD_CARGO_MSG"	"積み荷を拾うには、@ffff9900$key$@ffffffffを押し続けてください。"
"HUD_DETACH_HARPOON_MSG"	"@ffff9900$key$@ffffffffキーでハープーンを外す"
"HUD_DETACH_HARPOON_TITLE"	"車両にもりを打ち込まれた。"
"HUD_EVENT_ACT_RAREDROP_SPAWN"	"大事なものが入っています！"
"HUD_EVENT_ACT_SUDDENDEATH_START"	"避けたほうがいいでしょう！"
"HUD_EVENT_ACT_SUDDENDEATH_STOP"	"敵の車を破壊する時が来た！"
"HUD_EVENT_MSG_DEFENSE_STAGE0"	"タワーを占領する"
"HUD_EVENT_MSG_DEFENSE_STAGE5"	"クリスマスツリーを守れ！"
"HUD_EVENT_MSG_FOOTBALL_GO"	"開始！"
"HUD_EVENT_MSG_FOOTBALL_OVERTIME"	"延長戦！"
"HUD_EVENT_MSG_FOOTBALL_READY"	"準備を整えよう！"
"HUD_EVENT_MSG_LEVIATHAN"	"リヴァイアサンを破壊せよ！"
"HUD_EVENT_MSG_RACE_TIME_REDUCTION"	"ラストチャンス！"
"HUD_EVENT_MSG_RAREDROP_SPAWN"	"$param1$秒後に利用可能になります。"
"HUD_EVENT_MSG_SPAWN_TOWER"	"エネルギータワーを破壊せよ！"
"HUD_EVENT_MSG_SPAWN_TURRETS"	"タレットを破壊せよ！"
"HUD_EVENT_MSG_SUDDENDEATH_START"	"嵐がやって来た！"
"HUD_EVENT_MSG_SUDDENDEATH_STOP"	"嵐が過ぎ去った！"
"HUD_EVENT_MSG_TURRET_UPGRADE0_DESC"	"ターレットを修理するには、@ffff9900$key$@ffffffffを長押してください。"
"HUD_EVENT_MSG_TURRET_UPGRADE1_DESC"	"@ffff9900$key$@ffffffffを長押しして、60個のパーツを消費しMk1ターレットを搭載する。"
"HUD_EVENT_MSG_TURRET_UPGRADE2_DESC"	"@ffff9900$key$@ffffffffを長押しして、100個のパーツを消費してMk2ターレットを搭載する。"
"HUD_EVENT_MSG_TURRET_UPGRADE3_DESC"	"@ffff9900$key$@ffffffffを長押しして、160個のパーツを消費してMk3ターレットを搭載する。"
"HUD_GUIDED_MISSILE_EXPLODE_HINT"	"爆発 @ffff9900$key$@ffffffff"
"HUD_LOST_ALL_PARTS_PVP"	"武器とタイヤがなくなった？@ffff9900$key$@ffffffffを押し続けて自爆すれば、周囲にダメージを与えられる！|@ffff9900注意：同じバトルには戻れません！@ffffffff"
"HUD_LOST_HALF_WHEELS_PVE"	"ダメージを受け過ぎて運転しづらくなった？@ffff9900$key$@ffffffffを押し続けて自爆すれば、新しい車でバトルに戻れます。|@ffff9900注意：戻ってくるには「修理キット」が必要！@ffffffff"
"HUD_LOST_HALF_WHEELS_PVP"	"タイヤの大半を失った後もまだ戦い続けるか、@ffff9900$key$@ffffffffを押し続けて自爆すれば、周囲にダメージを与えて終わらせることもできる！|@ffff9900注意：同じバトルには戻れません！@ffffffff"
"HUD_LOST_WEAPONS_PVE"	"武器がなくなりましたか？@ffff9900$key$@ffffffffを押し続けて自爆し、新しい車で戦闘に戻ってきてください！|@ffff9900注意：戻ってくるには「修理キット」が必要！@ffffffff"
"HUD_LOST_WEAPONS_PVP"	"例え武器を失ったとしても、敵の基地を占領することができます。または@ffff9900$key$@ffffffffを押し続けて自爆し、最も近い敵にダメージを与えることもできます！|@ffff9900注意：同じバトルには戻れません！@ffffffff"
"HUD_LOST_WHEELS_PVP"	"タイヤがなくなった？あなたはまだ武器を撃つことができます！または$key$を押し続けて自爆し、最も近い敵にダメージを与えることもできます！|注意：同じバトルには戻れません！"
"HUD_MBP_TIMER_SUDDENDEATH_START"	"嵐が移動中！"
"HUD_MBP_TITLE"	"生き残ったプレイヤー: $param1$"
"HUD_PARTS_HULL"	"ボディ"
"HUD_PVE_CAPTURE"	"占領しろ！"
"HUD_PVE_CAPTURE_CAR"	"トラックを取り戻せ！"
"HUD_PVE_CAPTURE_TOWER"	"タワーを占領しろ！"
"HUD_PVE_COMMTOWERS_DEFEND"	"タワーを防衛しろ！"
"HUD_PVE_COMMTOWERS_TIMER"	"レイダー達がタワーを攻撃するまであと："
"HUD_PVE_ENEMY_KILL"	"すべての敵を破壊"
"HUD_PVE_GIANTSIEGE_LEVIATHAN"	"リヴァイアサンを破壊せよ！"
"HUD_PVE_GIANTSIEGE_TOWER"	"エネルギータワーを破壊：$param1$ / $param2$"
"HUD_PVE_GIANTSIEGE_TURRETS"	"タレットを破壊：$param1$ / $param2$"
"HUD_PVE_KEEPHEIST_KILL_BOMBERS"	"ボンバーを破壊"
"HUD_PVE_KEEPHEIST_KILL_DEFENDERS"	"防衛部隊を排除せよ"
"HUD_PVE_KEEPHEIST_LEAVE_PLACE"	"積荷を運び去る"
"HUD_PVE_MSG_BLOCKPOST_DESTROY"	"レイダー前哨基地を破壊しろ！"
"HUD_PVE_MSG_BOMBRUN_BOMB"	"入り口を見つけよう！"
"HUD_PVE_MSG_BOMBRUN_SUBMIT"	"爆発物を設置しろ！"
"HUD_PVE_MSG_COMMTOWERS_INCOMING"	"レイダーがタワーを攻撃する準備をしている！"
"HUD_PVE_MSG_COMMTOWERS_SUBMIT"	"装備を集めろ！"
"HUD_PVE_MSG_GREATESCAPE_CARGO"	"積み荷をトラックまで運べ！"
"HUD_PVE_MSG_GREATESCAPE_SUBMIT"	"積み荷を届けろ！"
"HUD_PVE_MSG_KEEPHEIST_CARGO"	"リーダーを撃破しろ！"
"HUD_PVE_MSG_OILEVAC_CARGO"	"燃料は運ばれた！"
"HUD_PVE_MSG_OILEVAC_DEFEND_CAR"	"- 使用可能パーツ数を55まで増加"
"HUD_PVE_MSG_OILEVAC_MOVE_TO_CAR"	"トラックに向かえ"
"HUD_PVE_MSG_OILEVAC_SUBMIT"	"エネルギーソースを確保する！"
"HUD_PVE_OILEVAC_CARGO_TAKEN"	"燃料を運べ： $param1$ / $param2$"
"HUD_PVE_OILEVAC_DEFEND_CAR"	"トラックを守れ"
"HUD_PVE_TASK_BOSS"	"強盗のリーダーを撃破しろ！"
"HUD_PVE_TASK_CHASE_COOLDOWN"	"武器のクールダウンが後$param1$秒で完了する。"
"HUD_PVE_TASK_CHASE_HEAT"	"トラックの武器が$param1$秒後にオーバーヒートする。"
"HUD_PVE_TASK_CHASE_KILL"	"トラックは残り$param1$台"
"HUD_PVE_TASK_CONVOY"	"トラックに乗っている生存者：$param2$ / $param1$"
"HUD_PVE_TASK_CONVOY_BOSS"	"トラックの護衛を破壊する"
"HUD_PVE_TASK_ENEMIES"	"残りの敵を破壊せよ！"
"HUD_PVE_TASK_ENERGY"	"収集したエネルギー源：$param1$ / $param2$"
"HUD_PVE_TASK_REINFORCEMENTS"	"増援部隊を倒せ！"
"HUD_PVE_TIMER_GIANTSIEGE"	"残り時間："
"HUD_PVE_TIMER_REINFORCEMENTS"	"増援部隊の到着まであと："
"HUD_PVE_TITLE_BLOCKPOST"	"トラックを護衛する"
"HUD_PVE_TITLE_BOMBRUN"	"トラックを護衛する"
"HUD_PVE_TITLE_COMMTOWERS"	"通信タワーを起動する"
"HUD_PVE_TITLE_GIANTSIEGE"	"リヴァイアサンを破壊せよ"
"HUD_PVE_TITLE_GREATESCAPE"	"トラックをハイジャックする"
"HUD_PVE_TITLE_KEEPHEIST"	"山賊から積み荷を盗む"
"HUD_PVE_TITLE_OILEVAC"	"燃料を奪う"
"HUD_SPECTATOR_KEY_HINT_KILLCAM"	"カメラを切り替えたら、ターゲットを変更することができます。"
"HUD_SUICIDE_DRONE_HINT"	"@ffff9900$key1$@ffffffffを爆発させる"
"HUD_WHEELS_PVE"	"タイヤがなくなった？@ffff9900$key$@ffffffffを押し続けて自爆し、新しい車でバトルに戻れます。|@ffff9900注意：戻ってくるには「修理キット」が必要！@ffffffff"
"hunter_bundle_Vehicle_Desc"	"この装甲車両は、荒野ではどんな複雑な仕事をもこなすことで知られている、ウルフハウンドと呼ばれる雇われ兵によって組み立てられました。|これまで、この凶悪犯を見つけだした者はいないため、谷の住民はウルフハンドの車両がタイヤ痕すらも残すことはないと確信しています。もちろん、そんなはずはありませんが。|実際には、「ビーター」は罠を仕掛け、辛抱強くステルス状態で身を隠し、待ち伏せにひっかかってしまった哀れな獲物を容赦なく攻撃しているようです。"
"Inventory2Wnd_IncCapacity"	"ストレージのスペースを拡大"
"item_Chest_BOX_A_desc"	"24時間に1つレアアイテムを付与します。"
"item_Chest_BOX_A_name"	"ルーキーのコンテナ"
"item_Chest_BOX_B_desc"	"24時間に1つレア度エピックのアイテムを付与します。"
"item_Chest_BOX_B_name"	"新兵のコンテナ"
"item_Chest_BOX_C_desc"	"ファクション「ステッペンウルフ」、「エンジニア」、「ファイアスターター」を除くレアアイテムが1つ含まれています。"
"item_Chest_BOX_C_name"	"オフィサーのコンテナ"
"item_Chest_BOX_D_desc"	"ファクション「ステッペンウルフ」、「エンジニア」、「ファイアスターター」を除くレア度エピックのアイテムが1つ含まれています。"
"item_Chest_BOX_D_name"	"サブオフィサーのコンテナ"
"item_Chest_BOX_E_desc"	"いずれかのファクションのアイテムが含まれています。|比較的低い可能性でレア度エピックのアイテムを獲得できます。|比較的高い可能性でレアなアイテムを獲得できます。"
"item_Chest_BOX_E_name"	"パーツのコンテナ"
"item_chest_Decorum_desc"	"レア度コモン、レア、エピックの装飾の装飾パーツいずれかが 1 個入っている。"
"item_chest_Decorum_name"	"装飾コンテナ"
"item_chest_epic_weapon_desc"	"コンテナには無限軌道走行部、「ステッペンウルフ」、「ドーンチルドレン」と「ファイアスタータ」の部品を除く@ffb900ffエピック部品@ffffffffが入っている可能性がある。"
"item_chest_gift_desc"	"コンテナにはタイヤ、「ステッペンウルフ」、「ドーンチルドレン」と「ファイアスタータ」の部品を除く@ff0099ffレア部品@ffffffffが入っている可能性がある。"
"item_chest_legendary_2h_desc"	"「ステッペンウルフ」、「ドーンチルドレン」と「ファイアスタータ」の部品を除く、24 時間使える@ffffcc66レジェンダリー部品@ffffffffが1個入っている"
"item_chest_legendary_2h_name"	"レジェンダリーコンテナ"
"item_chest_Login_desc"	"他の場所では使用不可な装飾パーツが含まれている。"
"item_chest_Login_name"	"メンターのコンテナ"
"item_chest_online_14h_desc"	"コンテナにはタイヤ、「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスタータ」部品を除くランダムな部品が入っている：|@ff9900ff24時間使えるエピック部品@ffffffff - 低確率。|3時間使えるエンジニアの旗 － 中確率。|@ff0099ff24時間使えるレア部品@ffffffff - 高確率。"
"item_Chest_online_14h_gold_Desc"	"コンテナには「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスターター」の部品を除くランダムな部品が入っている：|@ffffcc66コイン200枚@ffffffff - 低確率。|@ff9900ffトレード不可エピック部品（タイヤ除く）@ffffffff - 低確率。|エンジニアの旗 - 低確率。|@ffffffffコモン部品@ffffffff - 中確率。|@ff0099ffトレード不可レア部品@ffffffff - 高確率。"
"item_Chest_online_14h_gold_Name"	"坑夫のコンテナ"
"item_chest_online_2h_desc"	"コンテナには「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスタータ」の部品を除くランダムな部品が入っている：|3時間使えるエンジニアの旗 - 低確率。|@ff0099ff24時間使えるレア部品（タイヤ除く）@ffffffff - 中確率。|コモン部品 - 高確率。"
"item_Chest_online_2h_gold_Desc"	"コンテナには「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスターター」の部品を除くランダムな部品が入っている：|@ffffcc66コイン20枚@ffffffff - 低確率。|@ff0099ffトレード不可レア部品（タイヤ除く）@ffffffff - 低確率。|エンジニアの旗 - 低確率。|@ffffffffコモン部品@ffffffff - 高確率。"
"item_Chest_online_2h_gold_Name"	"冒険家のコンテナ"
"item_chest_paints_col1_desc"	"ランダムなペイント缶が 1 個入っている"
"item_chest_paints_col1_name"	"塗料コンテナ"
"item_chest_paints_craft_desc"	"塗料が入ったランダムなコンテナを生成する"
"item_chest_paints_craft_name"	"ランダム塗料コンテナ"
"item_chest_Rare_desc"	"コンテナには「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスタータ」の部品を除くランダムな部品が入っている：|@ff9900ffエピック部品@ffffffff - 低確率。|@ff0099ffレア部品@ffffffff - 高確率。|装飾品 - 中確率。|塗料 - 低確率。"
"item_chest_rare_weapon_desc"	"コンテナにはタイヤ、「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスタータ」の部品を除く@ff0099ffレア部品@ffffffffが入っている可能性がある。"
"item_chest_Relic_desc"	"コンテナには「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスタータ」を除くいずれかのファクションのレアパーツ、またはレリックパーツが入っている可能性がある|@ffff7519レリックパーツ@ffffffff - 低確率。|@ff0099ffレアパーツ@ffffffff - 高確率。"
"item_chest_skins_col1_2_name"	"修繕屋パック"
"item_chest_skins_col1_china_name"	"東洋の匠パック"
"item_chest_skins_col1_desc"	"ランダムなカスタマイズパックが 1 個入っている"
"item_chest_skins_col1_name"	"クラフターコンテナ"
"item_chest_skins_col2_china_name"	"鋳掛屋のパック2"
"item_chest_skins_craft_desc"	"ランダムなカスタマイズキットが入っているコンテナ"
"item_chest_skins_craft_name"	"クラフターコンテナ"
"item_chest_tutorial_desc"	"ファクション「エンジニア」、もしくは上級ファクションの取引不可な@ff0099ffRare weapon@ffffffffが含まれている"
"item_chest_tutorial_name"	"訓練の報酬"
"item_chest_White_desc"	"コンテナには「ステッペンウルフ」、「ドーンチルドレン」、「ファイアスタータ」の部品を除くレア部品、装飾アイテム、ペイント缶のいずれかが入っている：|@ff0099ffレア部品@ffffffff - 低確率。|@ffffffffコモン部品@ffffffff - 高確率。|装飾品 - 中確率。|塗料 - 低確率。"
"item_Epic_Caster_Container_desc"	"コンテナからランダムにパーツを獲得可能です。|@ff9900ffエッピクパーツ@ffffffff‐中確率|@ff0099ffレアパーツ@ffffffff‐高確率"
"item_Epic_Caster_Container_name"	"エピックキャスターコンテナ"
"item_Halloween_chest_desc"	"不気味なイベント装飾品が入っている。"
"item_Knight_new_guns_chest_desc"	"コンテナには特別なイベントのレアな部品が入っている：|@ffff7519レリック部品@ffffffff -超低確率|@ffffcc66レジェンダリー部品@ffffffff - 低確率。|@ff9900ffエピック部品@ffffffff - 中確率。|@ff0099ffレア部品@ffffffff - 高確率。"
"item_Knight_new_guns_chest_name"	"「スティールランナー」コンテナ"
"item_NewYear_chest_desc"	"新年の装飾品、ペイント缶とステッカーが入っている。"
"item_Rare_Caster_Container_desc"	"ランダムに獲得可能なパーツの@ff0099ffレアパーツ@ffffffffが入っています。"
"item_Rare_Caster_Container_name"	"レアキャスターコンテナ"
"ITEM_SUBTYPE_AutoWeapon"	"全自動武器"
"ITEM_SUBTYPE_MechaLegs"	"機械脚"
"ITEM_TAG_Bundle_1"	"バンドル"
"ITEM_TAG_Bundle_2"	"パック"
"ITEM_TAG_Bundle_3"	"パケット"
"Keepheist_Bombs_nomads_text"	"己ガ武器ノミデ相手ヲ打破スルトハ。尊敬ニ値スル。"
"Keepheist_Bombs_nomads_text2"	"師ノ財宝ヲ破壊スル等許サヌ。野蛮人メ！"
"Keepheist_Bombs_nomads_text3"	"其ノ傲慢ナ態度ハ我慢ナラナイ、灸ヲ据エル必要ガアル。モウ何ヲシテモ無駄ダ。"
"Keepheist_Bombs_psycho_text"	"積み荷を取り戻せ！どこにあったか聞いてるんだ！わかった、仲間が話してる途中だ！"
"Keepheist_Bombs_psycho_text2"	"ヒャッハー、爆発するぞ！これが落ち着いていられるか？！ちょっと待て、あいつらが爆発するんじゃないのか！おい、やめろ！"
