"2STEP_AUTHORIZATION_ENABLED"	"Dein Konto ist geschützt."
"CHAT_INACTIVE_EDITBOX_HINT_PS4"	"Klicke hier um den Chat zu aktivieren..."
"CHAT_INACTIVE_EDITBOX_HINT_XBONE"	"Klicke hier um den Chat zu aktivieren..."
"CHAT_PUNISHED_player_ban"	"$accusedNickname$ wurde bis $until$ UTC ausgeschlossen. Grund: $reason$."
"CHAT_PUNISHED_player_mute"	"$accusedNickname$ wurde bis $until$ UTC stummgeschaltet. Grund: $reason$."
"CHAT_WHISPERS_IGNORED_FOR_BLOCKED_PLAYERS"	"Du kannst keine Privatnachrichten an einen Spieler senden, der dich seiner Blacklist hinzugefügt hat."
"CHAT_WHISPERS_IGNORED_FOR_NON_FRIENDS"	"Persönliche Nachrichten können nicht an Spieler gesendet werden, die sich nicht in deiner Freundesliste befinden."
"ChestOpen_accept"	"Beanspruchen"
"ChestOpen_reroll"	"Eintauschen für $cost$"
"ChestOpen_reroll_confirmation"	"Möchtest du deine Belohnung wirklich in einen neuen Container eintauschen?"
"ChestOpen_reroll_info"	"Falls dir deine Belohnung nicht gefällt, kannst du ihn für eine geringe Gebühr in einen neuen Container eintauschen und dein Glück erneut versuchen."
"China_NY_Wins_desc"	"Gewinne 5 Gefechte in Raids oder Missionen."
"China_NY_Wins_name"	"Moon Knight"
"ClanCreateWnd_create"	"Erstelle einen Clan"
"ClanCreateWnd_invite_sended"	"Du hast dich um einen Clanbeitritt beworben."
"ClanCreateWnd_join"	"Tritt einem Clan bei"
"ClanCreateWnd_join_restrictions"	"Rekrutierung"
"ClanCreateWnd_restriction"	"von Level $level$"
"ClanCreateWnd_restriction_none"	"An alle"
"ClanWnd_recruiting_level"	"von Level $level$"
"ClanWnd_recruiting_level_all"	"uneingeschränkt"
"ClanWnd_recruiting_none"	"geschlossen"
"ClanWnd_recruiting_state"	"Rekrutierung"
"CLAN_MENU_SEND_INVITE_REQUEST"	"Anfrage senden"
"Coins_discount_offer_Desc"	"Hey! Komm ein wenig näher. Wir haben ein ganz besonderes Angebot für dich. Erhalte einen Rabatt auf jedes einzelne Coin-Paket!||Zöger nicht, das Angebot steht nur für eine begrenzte Zeit zur Verfügung!"
"Coins_discount_offer_Name"	"Coins mit einem Rabatt"
"Commtowers_Boss_nomads_text"	"Die Ablenkung war kein Erfolg. Fein. Es gibt eine radikalere Idee."
"Commtowers_Boss_nomads_text2"	"Der Feind verlässt sich auf rohe Gewalt. Nun, lasst uns ihre Methoden ausprobieren."
"Commtowers_Boss_nomads_text3"	"Trupp, was ist los? Ruft die Spezialeinheiten. Jetzt."
"Commtowers_Boss_psycho_text"	"Schaut, Jungs, sie haben es uns wirklich abgenommen und haben unseren Trumpf nicht bemerkt! Lasst sie versuchen, dies zu bekämpfen!"
"Commtowers_Boss_psycho_text2"	"Verdammt, sie hatten beim zweiten Turm nicht die Probleme, die ich erwartet hatte. Ich muss den Anführer rufen!"
"Commtowers_Boss_psycho_text3"	"Der Angriff auf den ersten Turm hat nicht funktioniert... Aber sie erwarten kein großes Fahrzeug!"
"Commtowers_Boss_scavengers_text"	"Es funktioniert nicht. Zeit für Plan B. Schickt das Auto des Anführers dorthin!"
"Commtowers_Boss_scavengers_text2"	"Ich möchte keine ernsthaften Maschinen für einfache Fälle einsetzen, aber ich habe keine Wahl. Startet das Fahrzeug!"
"Commtowers_Defeat_nomads_text"	"Die Kontrolle über die Türme gehört uns. Die Daten sind sicher."
"Commtowers_Defeat_nomads_text2"	"Ein Sieg. Wie erwartet. Bereitet euch auf eine Reihe von Niederlagen vor."
"Commtowers_Defeat_nomads_text3"	"Fantastisch. Wir müssen eine Lektion aus der Niederlage eines anderen lernen."
"Commtowers_Defeat_psycho_text"	"Hört dem Siegeszug zu! Nichts? Schätze, er spielt nur in meinem Kopf."
"Commtowers_Defeat_psycho_text2"	"Ta-daa! Wer ist der Boss? Ich bin der Boss! Ha-ha-ha!"
"Commtowers_Defeat_psycho_text3"	"So machen die coolen Leute Dinge!"
"Commtowers_Defeat_scavengers_text"	"JA! Man, wir sind so gut!"
"Commtowers_Defeat_scavengers_text2"	"Gute Arbeit! Ich frage mich, was wir aus den Autos der Angreifer bauen können."
"Commtowers_Defeat_scavengers_text3"	"Nett, bringt mir jetzt meinen Schraubenschlüssel."
"Commtowers_LoadTower2_nomads_text"	"Haben wir mehr Geräte zum Hacken gefunden? Beruhigt euch. Verteidigt, sonst verlieren wir den verbleibenden Turm."
"Commtowers_LoadTower2_nomads_text2"	"So viele gepanzerte Autos können kein Zufall sein. Verrat? Trupp, fangt den Feind ab und verhört ihn!"
"Commtowers_LoadTower2_nomads_text3"	"Die Operation war also gut geplant. Interessant. Mal sehen, wer die bessere Strategie hat."
"Commtowers_LoadTower2_psycho_text2"	"Hardware stehlen? Nochmal?! Hört auf, einmal war genug!"
"Commtowers_LoadTower2_scavengers_text"	"Eine weitere Ladung Elektronik wurde abgefangen. Lasst den Feind nicht dazu kommen! Beeilung! "
"Commtowers_LoadTower2_scavengers_text3"	"Wir bauen Autos aus Schrott und sie lassen Hacking-Ausrüstung auf der Straße liegen! Sie haben sich gut vorbereitet."
"Commtowers_nomads_caption"	"Drake"
"Commtowers_psycho_caption"	"Munch"
"Commtowers_scavengers_caption"	"Owl"
"Commtowers_Start_nomads_text"	"Jemand lieferte heimlich Ausrüstung zum Hacken in unser Gebiet. Wahrscheinlich. Organisiert eine Observierung dieser Technik."
"Commtowers_Start_nomads_text2"	"Störung von außen. Aber wir waren bereit dafür. Bleibt wachsam!"
"Commtowers_Start_nomads_text3"	"Datenabfangversuch? Nutzlos und erbärmlich. Bleibt in der Nähe."
"Commtowers_Start_psycho_text"	"HARD! ROCK! ALLE...Ruhe! Was ist das da am Horizont? Sie bewegen etwas zu dem Turm! Steigt in eure Autos!"
"Commtowers_Start_psycho_text2"	"Shh! Hört ihr das? Schaltet es aus! Bringen sie etwas hierher? Ich kann es nicht sagen. Geht und seht es euch an."
"Commtowers_Start_psycho_text3"	"Also, ich habe ein paar Sachen neben unseren Türmen gesehen. Keine Ahnung, wofür die sind, aber lasst es uns herausfinden. Warum gute Sachen verschwenden?"
"Commtowers_Start_scavengers_text3"	"Ich bin völlig verrückt, und da liegt einfach einige Technik auf dem Boden. Überprüft, ob wir sie retten können."
"Commtowers_Tower1Def2_nomads_text"	"Der Feind ist am zweiten Turm. Genau darauf habe ich gewartet. Geht und erobert den ersten Turm zurück!"
"Commtowers_Tower1Def2_nomads_text2"	"Der Feind ist geteilt. Der Rest ist eine bloße Formalität. Erhöht den Druck."
"Commtowers_Tower1Def2_nomads_text3"	"Es ist sehr unwahrscheinlich, dass beide Ziele gehalten werden können. Alles verläuft nach Plan. Konzentriert euch auf die erste Struktur."
"Commtowers_Tower1Def2_psycho_text"	"Haha! Keine Chance, beide Türme gleichzeitig zu verteidigen! Lasst uns sehen, wie sie es versuchen!"
"Commtowers_Tower1Def2_psycho_text2"	"Und jetzt gehen wir zum zweiten Turm, während sie mit dem ersten beschäftigt sind! Bewegung! Bewegung!"
"Commtowers_Tower1Def2_psycho_text3"	"Shh. Leute, lasst uns leise zum ersten Turm kommen. Sie werden nicht wissen, was sie getroffen hat. Was ist das für ein Licht? Ich habe mein Radio angeschaltet?!"
"Commtowers_Tower1Def2_scavengers_text"	"Der erste Turm hat keine Wachen. Das ist unsere Chance!"
"Commtowers_Tower1Def2_scavengers_text2"	"Großartig, wir haben sie vom ersten Turm weggelockt. Lasst uns dahin zurück gehen!"
"Commtowers_Tower1Def2_scavengers_text3"	"Der Plan funktionierte, ihre Verteidigung des ersten Turms wurde geschwächt. Lasst uns gehen!"
"Commtowers_Tower1Def_nomads_text"	"Die Verbindung zu den Türmen ist abgerissen! Beeilung! Die Daten dürfen nicht in falsche Hände gelangen!"
"Commtowers_Tower1Def_nomads_text2"	"Das Glück ist machtlos gegen den Verstand. Es ist sinnlos. Sendet die Truppen aus, lasst unsere Feinde dem Tod ins Auge blicken."
"Commtowers_Tower1Def_nomads_text3"	"Interessant. Sehr. Trupp, stoppt ihre Störung an den Türmen!"
"Commtowers_Tower1Def_psycho_text"	"Die Musik ist weg. Was ist das? Der Turm wird angegriffen! Alle Kräfte zum Turm!"
"Commtowers_Tower1Def_psycho_text2"	"Das wars. Ich werde euch in Stücke reißen. MEHR BLUT!"
"Commtowers_Tower1Def_psycho_text3"	"Oh, ich sehe, wofür all das Zeug war — um unseren Turm einzunehmen! Lasst uns ihnen zeigen, warum wir unsere Waffen brauchen!"
"Commtowers_Tower2Def_nomads_text"	"Zweiter Turm gehackt. Das bringt Schande über uns. Zurückerobern und zwar sofort."
"Commtowers_Tower2Def_nomads_text2"	"Gruppe, das ist unsere einzige Chance. Erobert den Turm zurück. Jetzt."
"Commtowers_Tower2Def_nomads_text3"	"Die Strategie bricht auseinander. Unangenehm. Aber nicht tödlich. Team, findet und zerstört den Feind."
"Commtowers_Tower2Def_psycho_text"	"Zwei Türme für vier Schnauzen? Ist das nicht zu viel? Brüder, lasst uns ihnen zeigen, wie wir mit Schweinen umgehen!"
"Commtowers_Tower2Def_psycho_text2"	"Verdammt, was macht ihr?! Wir haben auch den zweiten Turm verloren! Bringt alle Autos dorthin! Lasst sie es bereuen!"
"Commtowers_Tower2Def_psycho_text3"	"Wir haben euch den ersten Turm gegeben, aber der zweite gehört uns! Holt die Bastarde!"
"Commtowers_Tower2Def_scavengers_text2"	"Was zum Teufel! Wir haben den zweiten Turm verloren. Fahrt jetzt sofort dahin! "
"Commtowers_Tower2Def_scavengers_text3"	"Wir haben den Kontakt zum zweitem Turm verloren. Warum sollten diese Wilden eine so komplexe Technologie brauchen? Sie werden sie kaputt machen. Macht euch zum Abfangen bereit!"
"Commtowers_Win_nomads_text"	"Wir haben verloren. Ich gebe auf."
"Commtowers_Win_nomads_text2"	"Team vernichtet. Ich akzeptiere die Niederlage."
"Commtowers_Win_nomads_text3"	"Eine andere Strategie bröckelt wegen euch Amateuren. Widerlich."
"Commtowers_Win_psycho_text"	"Verdammt, Jungs, dreht um. Wir werden ein anderes Mal zurückkehren!"
"Commtowers_Win_psycho_text2"	"Ha-Ha! Moment, wir haben verloren? Verdammt!"
"Commtowers_Win_psycho_text3"	"Vergesst es! Alte Technik bedeutet nichts als Ärger. Lasst uns gehen, Jungs!"
"Commtowers_Win_scavengers_text"	"Wir können es nicht mit ihnen aufnehmen! Rückzug."
"Commtowers_Win_scavengers_text2"	"Genug! Wir können nicht mehr weitere Autos verlieren. Rückzug!"
"Commtowers_Win_scavengers_text3"	"Ich kann nicht mehr zusehen, wie unsere gepanzerten Autos zu Müll werden. Lasst die Türme, lasst uns gehen!"
"CONFIRMATION_ACCOUNT_COPY"	"Das aktuelle Konto wird mit Daten des Live-Servers überschrieben."
"CONFIRMATION_TO_HANGAR_PARTY_LEADER"	"Wenn du zur Garage zurückkehrst, wird jedes Gruppenmitglied mitgenommen.|Jetzt zur Garage gehen?"
"Craftsman_FirestartersEpic_Name"	"Sicheres Versteck"
"Craftsman_FirestartersLegend_Name"	"Unterirdische Schatzkammer"
"Craftsman_FirestartersRare_Name"	"Alte Vorratskammer"
"Craftsman_FirestartersReleaseCraftsman_Name"	"Firestarter Altar"
"Craftsman_GermanCraftsman_Desc"	"Hier akzeptiert Martin Taler gegen verschiedene Gegenstände, die er von seinen Reisen mitbringt."
"Craftsman_NewYearCraftsman_Desc"	"Hier kannst du altertümliche Knaller gegen funktionierende Feuerwerke und Neujahrs-Dekorationen eintauschen."
"Craftsman_ResourseExchange_Desc"	"Tauscht Währungen zu einem guten Preis um!"
"CUSTOM_GAME_CREATE_BTN"	"Erstelle ein Spiel"
"CUSTOM_GAME_CREATE_Desc"	"Du kannst dein eigenes Spiel starten und Freunde einladen. Du erhältst keine Belohnungen für Kämpfe im \"Eigenes Gefecht\"."
"CUSTOM_GAME_VALIDATION_ERROR"	"Das Spiel kann aus folgendem Grund nicht gestartet werden:"
"D3D9_SUPPORT_WARNING"	"Bitte beachten! Ab Juli 2018 beenden wir die Unterstützung von DirectX 9 und konzentrieren uns vollständig auf die Unterstützung von DirectX 11. Weitere Informationen findest Du unter $url href=\"https://crossout.net/de/news/287/current/#/\" text=\"der Webseite des Projekts\"$."
"DailyRewardHelp21"	"Belohnungen werden am ersten Tag jedes Monats zurückgesetzt. Um alle Belohnungen zu erhalten, musst du dich mindestens 21 Mal pro Monat im Spiel anmelden."
"Daily_4_Wins_Cannon_desc"	"Gewinne {$required_value$;Gefecht;Gefechte} in Missionen oder Raids mit einem Geschütz."
"Daily_5_Market_desc"	"Kaufe oder verkaufe einen Gegenstand auf dem Markt."
"Daily_6_Quests_desc"	"Schließe {$required_value$;'tägliche Aufgabe';'tägliche Aufgaben'} ab."
"DebriefingWnd_to_hangar_tooltip"	"Zur Garage zurückkehren"
"DEBR_ACCUMULATORS_TITLE"	"Batterien"
"DEBR_FINISHREASON_PLACE"	"Du bist auf Platz $place$"
"DEBR_HEADER_GOALS"	"Tore"
"DEBR_LOSEREASON_DOMINATION"	"Der Feind hat zwei Basen erobert"
"DEBR_LOSEREASON_DOMINATION_TIMER"	"Die Zeit ist abgelaufen und der Feind kontrolliert mehr Basen"
"DEBR_NO_WEEKLY_QUESTS"	"Keine aktiven Aufgaben."
"DEBR_PLASTIC_TITLE"	"Plastik"
"DEBR_PREMIUM_EXP_PERCENT"	"Scannerbetrieb:"
"DEBR_WEEKLY_TITLE"	"Wöchentliche Aufgaben"
"DEBR_WINREASON_DOMINATION"	"Zwei Basen eingenommen"
"DEBR_WINREASON_DOMINATION_TIMER"	"Die Zeit ist abgelaufen und wir kontrollieren mehr Basen"
"Decal_1april01_Name"	"Krabbenscheren"
"Decal_1april02_Name"	"Sturzflug"
"Decal_1april03_Name"	"Harley König"
"Decal_1april04_Name"	"Überraschung!"
"Decal_23feb2018_bear_name"	"Mit dem Schild oder auf dem Schild"
"Decal_23feb2018_star_Name"	"Flügel des Sieges"
"Decal_23feb2018_wolf_Name"	"Verteidiger des Vaterlandes"
"Decal_8march01_Name"	"Mutiges Herz"
"Decal_8march02_Name"	"MachineGuns & Roses"
"Decal_8march04_Name"	"Vorahnung"
"Decal_8march05_Name"	"Schnurrende Liebe"
"Decal_alienware03_name"	"Steel-S"
"Decal_ball01_Name"	"Ball im Spiel"
"Decal_bear01_name"	"Bärengebrüll"
"Decal_bull01_Name"	"Verrückter Bulle"
"Decal_china_fu_Name"	"Wünsch mir Glück!"
"Decal_coverme_desc"	"Ein spezieller taiwanesischer Aufkleber mit einer einzigartigen Beschreibung"
"Decal_coverme_name"	"Gebt mir Deckung"
"Decal_Crossout_2018_Firestarters_Name"	"Firestarter"
"Decal_Crossout_2018_Military_Name"	"Steppenwolf"
"Decal_Crossout_2018_Scientists_Name"	"Dawn's Child"
"Decal_eagle_tank_name"	"Adlerflug"
"Decal_eathand_desc"	"Ein spezieller taiwanesischer Aufkleber mit einer einzigartigen Beschreibung"
"Decal_eathand_name"	"Iss Erde"
"Decal_energo_ded_Name"	"Energoded"
"Decal_engineer01_Name"	"Arbeitskraft"
"Decal_entack_Name"	"eNtaK"
"Decal_fire03_Name"	"Spektrale Flamme"
"Decal_fire_14feb2018_Name"	"Schnell und tot"
"Decal_halloweenPromo_Name"	"Halloboom"
"Decal_hand_wrench_Name"	"Ehre sei der Arbeit!"
"Decal_hog01_name"	"Auge der Bestie"
"Decal_hunter01_Name"	"Hunger"
"Decal_japan_contest2018_boar_name"	"Wildschwein"
"Decal_japan_contest2018_rocket_girl_name"	"Lady Ivy"
"Decal_japan_contest2018_samurai_duck_name"	"Krieger Ente"
"Decal_japan_spring_name"	"Flatternder Frühling"
"Decal_jaws01_name"	"Schlund"
"Decal_jaws02_name"	"Grinsen"
"Decal_jaws03_name"	"Gefletschte Zähne"
"Decal_jaws04_name"	"Schmunzeln"
"Decal_jaws05_name"	"Spötter"
"Decal_loner_desc"	"Ein spezieller taiwanesischer Aufkleber mit einer einzigartigen Beschreibung"
"Decal_loner_name"	"Für immer alleine"
"Decal_mmx_nojp_Desc"	"Limitierter Aufkleber für die METAL MAX Xeno Zusammenarbeit. Die Welt ist zu Ende. Nur Panzer sind geblieben. "
"Decal_mmx_nojp_Name"	"METAL Max Xeno Logo"
"Decal_noheart_desc"	"Ein spezieller taiwanesischer Aufkleber mit einer einzigartigen Beschreibung"
"Decal_number00_Name"	"Nummer «0»"
"Decal_number01_Name"	"Nummer «1»"
"Decal_number02_Name"	"Nummer «2»"
"Decal_number03_Name"	"Nummer «3»"
"Decal_number04_Name"	"Nummer «4»"
"Decal_number05_Name"	"Nummer «5»"
"Decal_number09_Name"	"Nummer «9»"
"Decal_number12_Name"	"Nummer «12»"
"Decal_number13_Name"	"Nummer «13»"
"Decal_number33_Name"	"Nummer «33»"
"Decal_number69_Name"	"Nummer «69»"
"Decal_nyear2018_bow_Name"	"Schleife"
"Decal_nyear2018_grenade_fir_Name"	"Weihnachten kein Spielzeug"
"Decal_nyear2018_snowman_scaven_Name"	"Schneemann AB"
"Decal_play_hard_Name"	"PlayHardTV"
"Decal_raider01_Name"	"Stichwaffen"
"Decal_raider02_Name"	"Großer Batzen"
"Decal_raider03_Name"	"Hecke"
"Decal_raider04_Name"	"Knastbruder"
"Decal_raider06_Name"	"Nadelkissen"
"Decal_shield01_Name"	"Schutzschichten"
"Decal_snake01_Name"	"Schlangengift"
"Decal_thailand_bankgarno_Name"	"Bankgarmo Sign"
"Decal_thailand_dj_nomad_name"	"DJ.NOMAD GAMER"
"Decal_thailand_edwin_official_Name"	"Edwin Official Sign"
"Decal_thailand_game_tv_Name"	"GA-ME TV Sign"
"Decal_thailand_hoseki_name"	"Hoseki"
"Decal_thailand_ice_bar_ber_Name"	"IceBarBer Sign"
"Decal_thailand_invisible_gamer_name"	"Invisible Gamer"
"Decal_thailand_jameindy_Name"	"Jameindy Sign"
"Decal_thailand_kamar_kamikaze_name"	"kamar kamikaze"
"Decal_thailand_kfc_Name"	"KFC Sign"
"Decal_thailand_laze_fat_boy_Name"	"LazefatBoy Sign"
"Decal_thailand_maser_gamer_Name"	"Maser Gamer Sign"
"Decal_thailand_min_gamer_tv_name"	"MinGamer.TV"
"Decal_thailand_nakama_channel_name"	"Nakama Channel"
"Decal_thailand_nicky_tv_Name"	"Nicky TV Sign"
"Decal_thailand_nontakan_ns_Name"	"NONTAKAN N.S. Sign"
"Decal_thailand_nu_hand_p_Name"	"Nu Hand.P Sign"
"Decal_thailand_online_station_Name"	"Online Station Sign"
"Decal_thailand_ouixz_Name"	"ouixz Sign"
"Decal_thailand_peak_Name"	"PEAK Sign"
"Decal_thailand_people_m_name"	"people M"
"Decal_thailand_progress_89_Name"	"progress 89 Sign"
"Decal_thailand_ratchayotin_name"	"ratchayotin2540"
"Decal_thailand_rh_ch_name"	"RH CH"
"Decal_thailand_seal_tv_name"	"SealTV Toaster gone Viral"
"Decal_thailand_shabetz_Name"	"Sha Betz Sign"
"Decal_thailand_titiwatgamer_Name"	"titiwatGamer Sign"
"Decal_thailand_tmp_Name"	"TMP Sign"
"Decal_thailand_vag_tv_Name"	"VAG TV Sign"
"Decal_thailand_zezy_tv_name"	"ZeZyTV"
"Decal_thailand_zhuge_liangz_tv01_Name"	"ZhugeLiangz TV Sign"
"Decal_thailand_zhuge_liangz_tv02_Name"	"ZhugeLiangz TV 2 Sign"
"Decal_tribal02_Name"	"Asmodeus"
"Decal_tribal03_Name"	"Belial"
"Decal_tribal04_Name"	"Flauros"
"Decal_tt_esports_Name"	"Tt eSPORTS Drache"
"Decal_tt_premium_Name"	"Thermaltake"
"Decal_tw_dog_name"	"Gott der Straße"
"Decal_tw_handsome_desc"	"Es gibt keine Gerechtigkeit in dieser Welt"
"Decal_tw_handsome_name"	"Jeder mag Schurken"
"Decal_tw_hit_desc"	"Ich habe noch nie jemanden gesehen, der danach gefragt hat."
"Decal_tw_hit_name"	"Komm schon, schieß!"
"Decal_tw_look_desc"	"Hast du deinen Kotflügel gewechselt?"
"Decal_tw_look_name"	"Pass auf die Straße auf, nicht auf mich!"
"Decal_tw_taiwan_name"	"Taiwan"
"Decal_Victory2018_gasmask01_name"	"Sieg um jeden Preis!"
"Decal_Victory2018_star02_name"	"Weißer Stern"
"Decal_Victory2018_star03_name"	"Ewige Erinnerung"
"Decal_Victory2018_star04_name"	"Siegesmedaille"
"Decal_Victory2018_tank01_name"	"Ihr könnt nicht vorbei!"
"Decal_wolf01_name"	"Wolfsaugen"
"Decor_pack_A_name"	"\"Feuerwerks Dekoration\" Paket"
"Decor_pack_B_name"	"\"Raubvogel\" Paket"
"Decor_pack_C_name"	"\"Exquisite Hupe\" Paket"
"Decor_pack_D_name"	"\"Stier Hupe\" Paket"
"Decor_pack_E_name"	"\"Mysteriöses Zeichen\" Paket"
"Decor_pack_F_name"	"\"Mutant\" Paket"
"Decor_pack_G_name"	"\"Iss mich\" Paket"
"Decor_pack_H_name"	"\"Clown\" Paket"
"driverswnd_skills"	"Fähigkeiten:"
"Driver_Firestarters_Desc"	"Bevor sie sich den Firestarters anschloss, verbrachte sie mehrere Jahre bei den Lunatics, wo sie das Kämpfen und Schießen lernte. Aber sie hat den Umgang mit Feuer gemeistert."
"Driver_Firestarters_Name"	"Misty"
"Dye_Valentine2018_Name"	"Lollipop"
"engineers_20lvl_vehicle_Desc"	"Panzerung ist, was diesem Auto fehlt, aber es hat viel Feuerkraft. Eine Salve aus zwei Geschützen kann jemanden ernsthaft verletzen, der unvorsichtig genug ist, um in der Schusslinie zu sein."
"ERROR_ANOTHER_CHEST_OPENED"	"Ein anderer Contaienr wurde bereits geöffnet. Bitte sammle erst den Inhalt ein."
"ERROR_ANTICHEAT_NOT_RUNNING"	"Fehler beim Initialisieren des Anti-Cheats. Bitte versuche, das Spiel über den Launcher zu starten oder das Spiel neu zu installieren. Wenn dies keine Auswirkungen hat, wende dich bitte an den technischen Support."
"ERROR_CARDESIGN_FIREWORK_COUNT_EXCEEDED"	"Überschreitet die Anzahl von Feuerwerken auf einem gepanzerten Fahrzeug."
"ERROR_CARDESIGN_LEVI_REQUIRED"	"Dieser Modus benötigt einen Leviathan."
"ERROR_CLAN_INCORRECT_DATA"	"Falsche Clan-Daten. Kontaktiere den technischen Support."
"ERROR_CLAN_JOIN_LOCKOUT"	"Du kannst Clans nicht zu oft wechseln. Du kannst einem neuen Clan in $time_left$ beitreten."
"ERROR_CLAN_JOIN_REQ_ALREADY_SENT"	"Du hast diesem Clan bereits eine Anfrage geschickt."
"ERROR_CLAN_NOT_RECRUITING"	"Der Clan rekrutiert nicht."
"ERROR_CLAN_RECRUITING_LIST_FULL"	"Anfragenlimit für den ausgewählten Clan überschritten. Bitte versuche es später erneut, wenn der Clan-Leiter die bestehenden Anfragen bearbeitet hat."
"ERROR_CLAN_RECRUITING_LVL_NOT_ENOUGH"	"Der Clan rekrutiert Spieler mit Level $level$ und höher."
"ERROR_CRAFT_CRAFTSMAN_CANT_HIRE_FESTIVAL"	"Unfähig, einen Event-Handwerker zu engagieren."
"ERROR_EAC_BANNED"	"Dein Account wurde vom Anti-Cheat System gebannt"
"ERROR_EAC_KICKED"	"Du wurdest gekickt, weil bösartiges Verhalten vom Anti-Cheat System erkannt wurde"
"ERROR_FESTIVAL_NOT_ACTIVE"	"Event ist nicht aktiv."
"ERROR_FL_TOO_MANY_FRIENDS"	"Du hast zu viele Freunde. Entferne einen Spieler von der Liste und versuche es erneut."
"ERROR_FL_TOO_MANY_FRIENDS_OTHER"	"Die Freundesliste dieses Spielers ist voll."
"ERROR_FL_TOO_MANY_IGNORED"	"Du hast zu viele Spieler auf deiner Black-List. Entferne einen Spieler von der Liste und versuche es erneut."
"ERROR_GIVEAWAY_LEVEL_REQUIRED"	"Unzureichendes Reputationslevel um das Geschenkt zu erhalten."
"ERROR_GIVEAWAY_NO_ACTIVE_GIVEAWAY"	"Kein Giveaway gefunden."
"ERROR_MM_CLAN_WARS_CLAN_REQUIRED"	"Du musst in einem Clan sein, um an Clangefechten teilzunehmen."
"ERROR_MM_CLAN_WARS_LOCKED"	"Die Teilnahme an Clan Wars ist bis zum nächsten Turnier aufgrund eines Clanwechsels gesperrt."
"ERROR_MM_IN_LOBBY"	"Verlasse das Eigene Gefecht, um einem anderen Modus beizutreten"
"ERROR_MM_QUEUE_NOT_FOUND"	"Es konnte keine passende Warteschlange gefunden werden."
"ERROR_NO_CHEST_OPENED"	"Du kannst den Inhalt eines ungeöffneten Containers erneut auswürfeln lassen."
"ERROR_NO_REROLL_COST"	"Keine Versuche mehr übrig."
"ERROR_PARTY_IN_QUEUE"	"Spieler, die sich in der Warteschlange für ein Gefecht befinden, können nicht einladen oder eingeladen werden."
"ERROR_PARTY_TUTORIAL_REQUIRED"	"Der Spieler muss das Tutorial abschließen."
"ERROR_SERVER_CERT_UNTRUSTED"	"Die Server-Authentizität konnte nicht bestätigt werden. Ihre Software (Anti-Virus, Proxy, etc.) oder Provider ersetzt möglicherweise das Zertifikat durch sein eigenes. $url href=\"https://forum.crossout.net/index.php?/topic/290849-possible-solution-to-the-problem-with-inability-to-enter-the-game-antivirus/\" text=\"Erfahre mehr im Forum des Spiels\"$."
"ERROR_WRONG_ROLL_COUNT"	"Keine Versuche mehr übrig."
"EventBanner_name_ANNIVERSARY"	"ERSTES JAHR IM ÖDLAND"
"EventBanner_name_FIRESTARTERS_RELEASE"	"PYROMANIE"
"EventBanner_name_FOOLS_DAY"	"ALTER; WOHER HAST DU DAS AUTO?"
"EventBanner_name_FOOTBALL"	"STAHLMEISTERSCHAFT"
"EventBanner_name_NEW_YEAR"	"SCHNEESTURM"
"EventBanner_name_RESOURSE_EXCHANGE"	"Flohmarkt"
"EventBanner_name_TANKS"	"SIEGREICHE GRENZE"
"EventBanner_name_TWO_STEPS_AUTHORIZATION"	"SCHÜTZE DEINEN ACCOUNT"
"EventNotificationWnd_2Steps_link"	"Aktiviere und erhalte eine Belohnung"
"EventNotificationWnd_quests"	"Zu den Aufgaben"
"EventNotificationWnd_quests_disabled_tooltip"	"Diese Mission benötigt die Reputationsstufe $level$ bei der Fraktion \"Engineers\"."
"event_notification_desc_FIRESTARTERS_RELEASE"	"Mach dich bereit für das Kommen der Firestarters!|Nimm an der Sondermission \"Hot Spot\" teil und tausche Feuerzeuge gegen Teile der neuen Fraktion.|Die genaue Uhrzeit des Events kannst du auf der Webseite des Projekts finden."
"event_notification_desc_FOOLS_DAY"	"Es ist der Tag des Aprilscherzes in Crossout! Brawle mit anderen Überlebenden, die verrückte Autos fahren, schließe Aufgaben ab und erhalte neue Sticker und Dekorgegenstände. Besucht die Crossout-Webseite für weitere Informationen."
"event_notification_desc_FOOTBALL"	"Trete gegen andere Überlebende in Crossouts erstem Fußballturnier an! Lass deinen Motor warm laufen, nimm die Harpune und los! Du benötigst eine Reputationsstufe von 4 bei den \"Engineers\" um Zugang zu dem Modus zu erhalten."
"event_notification_desc_NEW_YEAR"	"\"Snowstorm\" ist nach Crossout gekommen! Nimm an festlichen Missionen teil und tausche Cracker gegen Neujahrsdekorationen. Scavengers haben uns grade Feuerwerk und Aufkleber gebracht. |Überprüfe das genaue Startdatum der Aktion auf der Webseite des Projekts."
"event_notification_desc_RESOURSE_EXCHANGE"	"Ein Flohmarkt wird nun für ein paar Tage im Tal geöffnet sein. Stelle sicher, Drähte gegen neue Batterien und Plastik für einen guten Preis auszutauschen."
"event_notification_desc_TWO_STEPS_AUTHORIZATION"	"Aktiviere die zweistufige Authentifizierung und erhalte einen einzigartigen Aufkleber und einen Scanner für 24 Stunden.|Um sicherzustellen, dass die Änderungen wirksam sind, starte das Spiel bitte neu."
"event_notification_title_ANNIVERSARY"	"Wir feiern unser erstes Jahr im Ödland!"
