"2STEP_AUTHORIZATION_ENABLED"	"Your account is protected."
"Giantsiege_BombTower_nomads_text3"	"Well, well, they're trying to blow up our tower. Are you paralyzed? Get out there!"
"Giantsiege_BombTower_psycho_text"	"Holy, they have detonators everywhere! Guys, cover the energy tower or it's gonna blow!"
"Giantsiege_BombTower_psycho_text2"	"They got some bombs? This sucks! Hustle to the tower if you want that Leviathan to be done."
"Giantsiege_BombTower_scavengers_text3"	"I'm hearing that the enemy has explosives. Keep them far away unless you want them to blow up our tower!"
"Giantsiege_BossTower_nomads_text"	"The enemies are moving to the tower. Hello! Get the last aid vehicle — call the leader!"
"Giantsiege_BossTower_nomads_text2"	"So, everyone's riding to the tower. Well, we've got our boss here, nothing to worry about."
"Giantsiege_BossTower_nomads_text3"	"A-ha! Going to the tower? Let them get closer, and the boss will deal with them."
"Giantsiege_BossTower_psycho_text2"	"Call the boss, they're running to his tower! Construction's toast. No Leviathans if the turrets are dead. Got that?!"
"Giantsiege_BossTower_scavengers_text"	"Attention, the enemy is moving towards the tower. I sent the leader's armored vehicle there, but we're also going to need support from the rest of you."
"Giantsiege_BossTower_scavengers_text2"	"The enemy is driving towards the tower under the leader's protection. If it's out of commission, the Leviathan's construction is going to be under threat. Move!"
"Giantsiege_BossTower_scavengers_text3"	"The enemy is riding to the tower protected by the leader. I suggest all of you follow suit! In case you're a bit slow — that was an order!"
"Giantsiege_Defeat_nomads_text"	"We finish this, and the Leviathan should purge everything. In theory."
"Giantsiege_Defeat_nomads_text2"	"The operation is a success!"
"Giantsiege_Defeat_nomads_text3"	"Not every survivor made it. Still, well done."
"Giantsiege_Defeat_psycho_text"	"DEFEAT?!.. Damn, for real, thought I seen the text. Nah, we won!"
"Giantsiege_Defeat_psycho_text2"	"Fan-tas-tic! Let's not raid like this again."
"Giantsiege_Defeat_psycho_text3"	"All your Leviathans are belong to us!!!"
"Giantsiege_Defeat_scavengers_text"	"Nice job, guys! And now let's drive our Leviathan across the Valley."
"Giantsiege_Defeat_scavengers_text2"	"Worth it! We're gonna need this Leviathan very soon."
"Giantsiege_Defeat_scavengers_text3"	"Great, now Scavengers have their own Leviathan."
"Giantsiege_LeviathanLaunch_nomads_text2"	"Don't let them lick their wounds! Unpack the Leviathan right now, that's enough gathering dust!"
"Giantsiege_LeviathanLaunch_nomads_text3"	"We can no longer delay the construction. Start up the Leviathan!"
"Giantsiege_LeviathanLaunch_psycho_text"	"Nah, forget it, no time. Start the tin can! Let's see what this ole big thing can do."
"Giantsiege_LeviathanLaunch_psycho_text2"	"All posts, all posts! Get the Leviathan ready, gonna kick some dust!"
"Giantsiege_LeviathanLaunch_psycho_text3"	"How's the Leviathan going? Not ready? Whatever, launch it right now!"
"Giantsiege_LeviathanLaunch_scavengers_text"	"Forget the construction, release the Leviathan as is! If it's destroyed, at least we can test it in action."
"Giantsiege_LeviathanLaunch_scavengers_text2"	"The enemy is not retreating, damn it! Finish up the construction! I know the Leviathan's not ready, but we have no choice."
"Giantsiege_LeviathanLaunch_scavengers_text3"	"We can't finish it in time. Start the Leviathan as is! I hope it can help us."
"Giantsiege_nomads_caption"	"Zero"
"Giantsiege_psycho_caption"	"Munch"
"Giantsiege_Start_nomads_text"	"...and then this Leviathan's gonna destroy everyth... Hey, I see red spots on radar, like an inflammation! Get the disinfectant here!"
"Giantsiege_Start_nomads_text2"	"Who's coming? What if they're contagious? Decontaminate them now! Then the autopsy will show what they wanted."
"Giantsiege_Start_nomads_text3"	"Looks like our Leviathan has guests! Let them form a line, there's enough ammo for everyone."
"Giantsiege_Start_psycho_text"	"Lookit, some fellas coming. Who the hell yapped about the Leviathan over here?! He's the first to go fight them!"
"Giantsiege_Start_psycho_text2"	"Invasion? Their Leviathans are not enough, so they're pushing for ours, huh?! Let's waste 'em."
"Giantsiege_Start_scavengers_text"	"Can you hear the engine roar? Someone's coming! Close the hangar with the Leviathan!"
"Giantsiege_Start_scavengers_text2"	"Intruders in the sector, stay alert! Get more ammo crates with you."
"Giantsiege_TurretTower_nomads_text"	"Alright, the enemies are moving towards the turret tower. Continue pursuit. Ha, it's like I'm operating on a shifting spleen!.."
"Giantsiege_TurretTower_nomads_text3"	"Right, now they're going for the turret tower. Move it, nomads! No tower — no energy to finish building the Leviathan!"
"Giantsiege_TurretTower_psycho_text2"	"They're moving to the turret tower! Dunno how they shoot, better get some more of ours there."
"Giantsiege_TurretTower_scavengers_text2"	"The conflict's drifting to another tower. Sure, it's surrounded by turrets, but they won't hold out for long."
"Giantsiege_TurretTower_scavengers_text3"	"The enemy is moving towards the tower. We've got a couple of turrets there, but there weren't enough parts for more. Hurry!"
"Giantsiege_Win_nomads_text"	"Oh no, we lost! My... head... Give me an ice pack!"
"Giantsiege_Win_psycho_text"	"Fellas, let's leave it and go! Feel bad for the tin can though."
"Giantsiege_Win_psycho_text2"	"You mean we lost? Damn!"
"Giantsiege_Win_psycho_text3"	"Oh man, what do you mean it's over?! I've only just upgraded the tower!"
"GiftCard_Premium"	"You have activated a scanner for $time$."
"GiveawayWnd_have_chest"	"Container is waiting for you!"
"GIVEAWAYWND_PROMO_SATURATION_TEXT"	"The following items have been added to your storage: "
"GIVEAWAYWND_PROMO_SATURATION_TITLE"	"New parts obtained"
"GiveawayWnd_rerolls_left"	"{$val$;'attempt';'attempts'} left"
"GIVEAWAY_ATTACH_AVATAR"	"Portrait “$name$”"
"GIVEAWAY_MSG_NO_ATTACHMENT"	"Important notice!"
"Giveaway_saturation_drivers"	"Drivers: "
"Giveaway_saturation_faction"	"Factions: "
"GOLD_PACK_150_GOLD_Name"	"150 coins pack"
"GOLD_PACK_2500_GOLD_Name"	"2500 coins pack"
"GOLD_PACK_3500_GOLD_Name"	"3500 coins pack"
"Greatescape_Boss_nomads_text"	"For a battle decisive get ready. To finish everything here I am ready."
"Greatescape_Boss_nomads_text2"	"I hope you're ready to die. Your chances to meet death are pretty high right now."
"Greatescape_Boss_nomads_text3"	"Stop and prepare for the decisive battle!"
"Greatescape_Boss_psycho_text"	"Alright, listen up! This rust bucket is going nowhere. Meet my friend!"
"Greatescape_Boss_psycho_text2"	"End of the ride. It was nice to meet you. GOODBYE."
"Greatescape_Boss_psycho_text3"	"Thought we're playing toys here? THEN HERE'S THE BIGGEST TOY!"
"Greatescape_Boss_scavengers_text"	"Look at the car built to fight you. There's no way forward now! Settle down."
"Greatescape_Boss_scavengers_text2"	"You're probably tired from lugging this cargo? Stop, have a rest. We need to talk. Long. And hard."
"Greatescape_Boss_scavengers_text3"	"Hey, what's the rush? Wait a sec! I said wait a bit! Just stand still for a moment, let the boss take aim."
"Greatescape_Cargo_nomads_text"	"The enemy is loading the transport. Stop them!"
"Greatescape_Cargo_nomads_text2"	"Now it's clear why this move you've made. We won't give up our belongings without a fight."
"Greatescape_Cargo_nomads_text3"	"You killed our own and trying to steal the cargo. We'd be completely in the right to do the same to you."
"Greatescape_Cargo_psycho_text2"	"Stopped? How interesting. Hey, that's our stuff! Stop!"
"Greatescape_Cargo_psycho_text3"	"Ever heard that stealing is BAD?! Let me catch up and explain!"
"Greatescape_Cargo_scavengers_text"	"Thieves! Thieves! Have you got no conscience at all? Ha! Me neither. Catch some lead!"
"Greatescape_Cargo_scavengers_text2"	"What's happening! Thieves! At least it's broad daylight. Easier to aim this way, he-he."
"Greatescape_Cargo_scavengers_text3"	"Heard a phrase “Liar, liar, cabin on fire”? This one is about you!"
"Greatescape_Defeat_nomads_text"	"Accept defeat with honour."
"Greatescape_Defeat_nomads_text2"	"You lost. Happens to everyone."
"Greatescape_Defeat_nomads_text3"	"Your raiding is over."
"Greatescape_Defeat_psycho_text"	"You blew it, guys. Don't screw with Lina and her bouncers!"
"Greatescape_Defeat_psycho_text3"	"They say it's bad to be happy when someone's in trouble. HA. HA. HA!"
"Greatescape_Defeat_scavengers_text"	"Together we're stronger. And you, survivors, are pretty bad together."
"Greatescape_Defeat_scavengers_text2"	"He-he, too weak for this one? Should've stolen some spinach!"
"Greatescape_Defeat_scavengers_text3"	"He-he, had enough? We're taking our cargo back and whatever's left of your truck too."
"Greatescape_FightOff_nomads_text"	"The dice is cast, the ambushes are ready. Face it, captors, you can not be saved."
"Greatescape_FightOff_nomads_text2"	"We don't have guests often. I hope this welcome is warm enough?"
"Greatescape_FightOff_nomads_text3"	"See? We're here and ready to fight to death. And you?"
"Greatescape_FightOff_psycho_text2"	"Ha-ha, we found your car first. Try to take it back!"
"Greatescape_FightOff_psycho_text3"	"I don't know why you need this car. But it's mine now!"
"Greatescape_FightOff_scavengers_text"	"How do you like our defences? The truck stays, and you get out!"
"Greatescape_FightOff_scavengers_text2"	"So we took your truck. If you try something stupid, it's your own fault now."
"Greatescape_FightOff_scavengers_text3"	"He-he, didn't expect us? And we're right here!"
"Greatescape_KeepMoving_nomads_text2"	"If you thought that loading the transport was enough, now is the time for disappointment."
"Greatescape_KeepMoving_nomads_text3"	"Watch your rear view mirror often. We're right behind you."
"Greatescape_KeepMoving_psycho_text"	"Don't try to escape with the cargo! Everyone's on the chase!"
"Greatescape_KeepMoving_scavengers_text"	"Alright, you loaded it. But have you got enough juice to take it away? Doubt it!"
"Greatescape_KeepMoving_scavengers_text2"	"Get ready for a just trial, thieves! If you survive a direct hit from a turret cannon — you're innocent, he-he."
"Greatescape_KeepMoving_scavengers_text3"	"Hey, where are you taking the truck? Time to shoot your wheels!"
"Greatescape_nomads_caption"	"Jean"
"Greatescape_psycho_caption"	"Lina"
"Greatescape_scavengers_caption"	"Centenarian"
"Greatescape_StartMoving_nomads_text"	"Spill the blood of our brothers you should not have. Pursue you relentlessly we shall."
"Greatescape_StartMoving_nomads_text2"	"I heard it's dangerous to drive convoys around here. Let us... escort you."
"Greatescape_StartMoving_nomads_text3"	"You destroyed our ambush group. But we're keeping our spirits up and pushing on with the chase."
"Greatescape_StartMoving_psycho_text"	"You took out my bouncers! That's crazy! Yeah, you go now. You won't go far!"
"Greatescape_StartMoving_psycho_text3"	"Stop playing tag with me! I HATE this! Stop running, we'll get you!"
"Greatescape_StartMoving_scavengers_text"	"Yeah, that wasn't good. And I even wanted to talk to you. No we'll get you."
"Greatescape_StartMoving_scavengers_text3"	"Our guys are down. What the hell! You won't get away with this."
"Greatescape_Start_nomads_text"	"Came for the cargo? You can try if you think you're good enough. We've seen your kind already."
"Greatescape_Start_nomads_text2"	"Good day. Or it was before you came. What's on your mind? Tell me, we'll find out anyway."
"Greatescape_Start_nomads_text3"	"Can you hear me? We know what you're thinking. And we're going to stop you."
"Greatescape_Start_psycho_text"	"What, you want you truck back? Get lost, before my guys trash your cars! "
"Greatescape_Start_psycho_text2"	"Hello there! Heard you wanna raid us. Bad guys. Bad!"
"Greatescape_Start_psycho_text3"	"Well, well, well, what have we here? probably my entertainment for the night. You don't mind, DO YOU?!"
"Greatescape_Start_scavengers_text"	"Why the hell did you come here? Wanted something that doesn't belong to you? Prepare to get hit."
"Greatescape_Start_scavengers_text2"	"Why the heck did you get a truck here?! Whaddaya want? New stitches? I can do that!"
"Greatescape_Start_scavengers_text3"	"Hello! Wanna steal our stuff? You sure can try."
"Greatescape_Win_nomads_text"	"To accept defeat, great wisdom is required."
"Greatescape_Win_nomads_text2"	"We lost. I admit this."
"Greatescape_Win_nomads_text3"	"This is the end for us. Well, we tried."
"Greatescape_Win_psycho_text"	"LINA NEVER LOSES! What the hell?!"
"Greatescape_Win_psycho_text2"	"Stole a truck with loot, no big deal. I could've done that too, if I wanted to! GOT THAT?"
"Greatescape_Win_scavengers_text"	"We'll, that's new. I've got more trucks than I need, anyways. "
"Greatescape_Win_scavengers_text2"	"You think you won fair and square? Nah, we let you win."
"Greatescape_Win_scavengers_text3"	"What's that now? We had the advantage."
"Halloween_promo_2018_bundle_Name"	"“Halloween” pack"
"HANGAR_CARSLOT_CLEAR_TOOLTIP"	"Remove from garage"
"HANGAR_NO_EXP_REWARD_TOOLTIP"	"@ffff9f00No rewards@ffffffff|You will not earn reputation here, bonuses do not apply either."
"HANGAR_RANDOM_CAR_GENERATION_WARNING"	"@ffff0000Auto-assembly will remove the vehicle from the current car space and replace it with a random vehicle built from the parts in your storage. Continue?"
"HANGAR_TABS_firestarters_TOOLTIP"	"Select the Firestarters faction"
"HANGAR_TAB_EXHIBITION_CAN_BUILD"	"Can build"
"HANGAR_TAB_FUSION_TOOLTIP"	"Some parts can be upgraded with the help of other items"
"HANGAR_TAB_PROFILE_SELF_STATISTICS_TOOLTIP"	"Complete information on your current status assembled in one place"
"HANGAR_TAB_QUESTS_CRAFT_TOOLTIP"	"Craft special rewards"
"HANGAR_TAB_QUESTS_TOOLTIP"	"The full list of active challenges and rewards and your progress through them"
"HANGAR_TAB_SHOP_APPEARANCE_TOOLTIP"	"CK for changing appearance, stickers and paint cans"
"HANGAR_TAB_SHOP_PREMIUM"	"Scanners"
"HANGAR_TAB_SHOP_PREMIUM_TOOLTIP"	"Special devices that can make any survivor's life easier in the Wasteland."
"HANGAR_TAB_SHOP_TOOLTIP"	"Packs of coins and pre-made armored vehicles with unique parts"
"HEALTH_TOOLTIP"	"Vehicle durability is the sum of durability of all structural parts and the cabin. The higher it is, the more damage you can sustain in battle.||Note that many parts, such as weapons, do not increase vehicle durability, and the damage they receive is taken into account independently from the car itself.||For your information: this vehicle's durability is: $car_max_health$, while the total durability of all the parts used in this blueprint (including vehicle durability) is: $parts_health$ pts."
"HINT_TEXT_CAR_AUTO_BUILD_INFO"	"By pressing this button you can instantly assemble a vehicle from the parts available in storage."
"HINT_TEXT_MAP_FROM_COOP_TO_PVP"	"Press the icon to join a battle against other players."
"HINT_TEXT_QUESTS_OPEN"	"Complete daily challenges consistently, and your warehouse will always be full of scrap metal and other valuables."
"HINT_TEXT_REPAIR_KIT_CRAFT"	"If you have all the ingredients, you can build repair kits (more than one!)."
"HINT_TEXT_REPAIR_KIT_SELECT_CRAFTSMAN"	"Select the craftsman who can build the required item."
"HINT_TEXT_REPAIR_KIT_SELECT_FACTION"	"Select the “Engineers” faction."
"HINT_TEXT_TUTORIAL_TO_HANGAR"	"The “Garage” button brings you back to the garage from any location."
"HINT_TITLE_CAR_AUTO_BUILD_INFO"	"Auto-assembly"
"HINT_TITLE_REPAIR_KIT_CRAFT"	"Repair kit production"
"HINT_TITLE_REPAIR_KIT_SELECT_CRAFTSMAN"	"Repair kit production"
"HINT_TITLE_REPAIR_KIT_SELECT_FACTION"	"Repair kit production"
"HINT_TITLE_REPAIR_KIT_TO_FACTION"	"Repair kit production"
"HUD_ALL_PARTS_PVE"	"No weapons and wheels left? Self-destruct by holding down @ffff9900$key$@ffffffff and return to fight on a new car.|@ffff9900Repair kits are required to return to the battle!@ffffffff"
"HUD_CARGO_MSG"	"Press and hold @ffff9900$key$@ffffffff to pick up the cargo"
"HUD_DETACH_HARPOON_MSG"	"Press @ffff9900$key$@ffffffff to detach the harpoon."
"HUD_DETACH_HARPOON_TITLE"	"Your car is harpooned"
"HUD_EVENT_ACT_RAREDROP_SPAWN"	"It contains something precious!"
"HUD_EVENT_ACT_SUDDENDEATH_START"	"You'd better avoid it!"
"HUD_EVENT_ACT_SUDDENDEATH_STOP"	"Time to crush some enemy cars!"
"HUD_EVENT_MSG_DEFENSE_STAGE0"	"Capture the tower"
"HUD_EVENT_MSG_DEFENSE_STAGE5"	"Protect the christmas tree!"
"HUD_EVENT_MSG_FOOTBALL_GO"	"Go!"
"HUD_EVENT_MSG_FOOTBALL_OVERTIME"	"Overtime!"
"HUD_EVENT_MSG_FOOTBALL_READY"	"Get ready!"
"HUD_EVENT_MSG_LEVIATHAN"	"Destroy the Leviathan!"
"HUD_EVENT_MSG_RACE_TIME_REDUCTION"	"Last chance!"
"HUD_EVENT_MSG_SPAWN_TOWER"	"Destroy the energy tower!"
"HUD_EVENT_MSG_SPAWN_TURRETS"	"Destroy the turrets!"
"HUD_EVENT_MSG_SUDDENDEATH_START"	"The storm begins!"
"HUD_EVENT_MSG_SUDDENDEATH_STOP"	"The storm has calmed down!"
"HUD_EVENT_MSG_TURRET_UPGRADE0_DESC"	"Hold @ffff9900$key$@ffffffff to repair the turret"
"HUD_EVENT_MSG_TURRET_UPGRADE1_DESC"	"Hold @ffff9900$key$@ffffffff to install an Mk1 turret for 60 parts"
"HUD_EVENT_MSG_TURRET_UPGRADE2_DESC"	"Hold @ffff9900$key$@ffffffff to install an Mk2 turret for 100 parts"
"HUD_EVENT_MSG_TURRET_UPGRADE3_DESC"	"Hold @ffff9900$key$@ffffffff to install an Mk3 turret for 160 parts"
"HUD_GUIDED_MISSILE_EXPLODE_HINT"	"Detonate @ffff9900$key$@ffffffff"
"HUD_LOST_ALL_PARTS_PVP"	"Lost all weapons and wheels? Self-destruct by holding @ffff9900$key$@ffffffff and damage the enemies nearby!|@ffff9900You won't be able to return to the same battle!@ffffffff"
"HUD_LOST_HALF_WHEELS_PVE"	"Lost half your wheels? Self-destruct by holding @ffff9900$key$@ffffffff and return to the battle on a new car.|@ffff9900Repair kits are required to return to the battle!@ffffffff"
"HUD_LOST_HALF_WHEELS_PVP"	"Lost some wheels? Keep fighting! Or self-destruct by holding @ffff9900$key$@ffffffff and damage the enemies nearby.|@ffff9900You won't be able to return to the same battle!@ffffffff"
"HUD_LOST_WEAPONS_PVE"	"Lost all weapons? Self-destruct by holding @ffff9900$key$@ffffffff and return to the battle on a new car.|@ffff9900Repair kits are required to return to the battle!@ffffffff"
"HUD_LOST_WEAPONS_PVP"	"Lost all weapons? Capture the base. Or self-destruct by holding @ffff9900$key$@ffffffff and damage the enemies nearby.|@ffff9900You won't be able to return to the same battle!@ffffffff"
"HUD_LOST_WHEELS_PVP"	"Can't move? Shoot! Or just self-destruct by holding @ffff9900$key$@ffffffff and damage the enemies nearby.|@ffff9900You won't be able to return to the same battle!@ffffffff"
"HUD_MBP_TIMER_SUDDENDEATH_START"	"The storm is moving!"
"HUD_MBP_TITLE"	"Players left: $param1$"
"HUD_PARTS_HULL"	"Body"
"HUD_PVE_CAPTURE"	"Capture!"
"HUD_PVE_CAPTURE_CAR"	"Take back the truck!"
"HUD_PVE_CAPTURE_TOWER"	"Capture the tower!"
"HUD_PVE_COMMTOWERS_DEFEND"	"Protect the tower!"
"HUD_PVE_COMMTOWERS_TIMER"	"Raiders will attack the tower in:"
"HUD_PVE_ENEMY_KILL"	"Destroy all enemies"
"HUD_PVE_GIANTSIEGE_LEVIATHAN"	"Destroy the Leviathan!"
"HUD_PVE_GIANTSIEGE_TURRETS"	"Turrets destroyed: $param1$ of $param2$"
"HUD_PVE_KEEPHEIST_KILL_BOMBERS"	"Destroy the bombers"
"HUD_PVE_KEEPHEIST_KILL_DEFENDERS"	"Destroy the defenders"
"HUD_PVE_KEEPHEIST_LEAVE_PLACE"	"Haul away the cargo"
"HUD_PVE_MSG_BLOCKPOST_DESTROY"	"Destroy the raider outpost!"
"HUD_PVE_MSG_BOMBRUN_BOMB"	"Mine the gate!"
"HUD_PVE_MSG_BOMBRUN_SUBMIT"	"Place the charge!"
"HUD_PVE_MSG_COMMTOWERS_INCOMING"	"Raiders are preparing to attack the tower!"
"HUD_PVE_MSG_COMMTOWERS_SUBMIT"	"Install the equipment!"
"HUD_PVE_MSG_GREATESCAPE_CARGO"	"Take the cargo to the truck!"
"HUD_PVE_MSG_GREATESCAPE_SUBMIT"	"Deliver the cargo!"
"HUD_PVE_MSG_KEEPHEIST_CARGO"	"Destroy the leader!"
"HUD_PVE_MSG_OILEVAC_CARGO"	"Fuel delivered!"
"HUD_PVE_MSG_OILEVAC_DEFEND_CAR"	"Protect the truck!"
"HUD_PVE_MSG_OILEVAC_MOVE_TO_CAR"	"Head to the truck"
"HUD_PVE_MSG_OILEVAC_SUBMIT"	"Install the energy source!"
"HUD_PVE_OILEVAC_CARGO_TAKEN"	"Fuel moved: $param1$ / $param2$"
"HUD_PVE_OILEVAC_DEFEND_CAR"	"Protect the truck"
"HUD_PVE_TASK_BOSS"	"Destroy the bandit leader!"
"HUD_PVE_TASK_CHASE_COOLDOWN"	"Weapons will cool down in: $param1$"
"HUD_PVE_TASK_CHASE_HEAT"	"Weapons will overheat in: $param1$"
"HUD_PVE_TASK_CHASE_KILL"	"Trucks left: $param1$"
"HUD_PVE_TASK_CONVOY"	"Survivors at the truck: $param1$ of $param2$"
"HUD_PVE_TASK_CONVOY_BOSS"	"Destroy the truck's guard"
"HUD_PVE_TASK_ENEMIES"	"Destroy the remaining enemies!"
"HUD_PVE_TASK_ENERGY"	"Energy sources collected: $param1$ / $param2$"
"HUD_PVE_TASK_REINFORCEMENTS"	"Defeat the reinforcements!"
"HUD_PVE_TIMER_GIANTSIEGE"	"Time runs out in:"
"HUD_PVE_TIMER_REINFORCEMENTS"	"Reinforcements will arrive in:"
"HUD_PVE_TITLE_BLOCKPOST"	"Escort the truck"
"HUD_PVE_TITLE_BOMBRUN"	"Escort the truck"
"HUD_PVE_TITLE_COMMTOWERS"	"Start the comm towers"
"HUD_PVE_TITLE_GIANTSIEGE"	"Destroy the Leviathan"
"HUD_PVE_TITLE_GREATESCAPE"	"Hijack the truck"
"HUD_PVE_TITLE_KEEPHEIST"	"Steal the cargo from bandits"
"HUD_PVE_TITLE_OILEVAC"	"Capture the fuel"
"HUD_SUICIDE_DRONE_HINT"	"Detonate @ffff9900$key1$@ffffffff"
"HUD_WHEELS_PVE"	"Can't move? Shoot! Or self-destruct by holding @ffff9900$key$@ffffffff and return to the battle on a new car.|@ffff9900A repair kit is needed to return to the battle!@ffffffff"
"Inventory2Wnd_IncCapacity"	"Increase the number of storage spaces"
"item_Chest_BOX_A_desc"	"Gives 1 rare item for 24 hours"
"item_Chest_BOX_A_name"	"Rookie container"
"item_Chest_BOX_B_desc"	"Gives 1 epic item for 24 hours"
"item_Chest_BOX_B_name"	"Recruit container"
"item_Chest_BOX_C_desc"	"Contains 1 rare item, except for Steppenwolfs, Engineers, and Firestarters factions."
"item_Chest_BOX_C_name"	"Officer container"
"item_Chest_BOX_D_desc"	"Contains 1 epic item, except for Steppenwolfs, Engineers, and Firestarters factions."
"item_Chest_BOX_D_name"	"Sub-officer container"
"item_Chest_BOX_E_desc"	"Contains items of any faction|Gives an epic item with relatively low chance|Gives a rare item with relatively high chance"
"item_Chest_BOX_E_name"	"Parts container"
"item_chest_Decorum_desc"	"Contains one decor part of common, rare or epic rarity.|@ff9900ffEpic part@ffffffff with very low probability.|@ff0099ffRare part@ffffffff with low probability.|Common part with high probability."
"item_chest_Decorum_name"	"Decor container"
"item_chest_epic_weapon_desc"	"Container may hold any @ffb900ffEpic part@ffffffff except for tracks, Steppenwolfs, Dawn's children and Firestarters parts."
"item_chest_gift_desc"	"Container may hold any untradeable @ff0099ffRare part@ffffffff except for wheels, Steppenwolfs, Dawn's children and Firestarters parts."
"item_chest_legendary_2h_desc"	"Contains one @ffffcc66Legendary part@ffffffff usable for 24 hours except for parts from Steppenwolfs, Dawn's children and Firestarters."
"item_chest_legendary_2h_name"	"“Legend” container"
"item_chest_Login_desc"	"Contains decor parts not available anywhere else."
"item_chest_Login_name"	"Mentor's container"
"item_chest_online_14h_desc"	"Container holds a random part, except for wheels and Steppenwolfs, Dawn's children and Firestarters parts: @ff9900ffEpic part for 24 hours@ffffffff with low probability. Engineer flag for 3 hours with average probability. @ff0099ffRare part for 24 hours@ffffffff with high probability."
"item_Chest_online_14h_gold_Desc"	"Container holds a random part except for parts from Steppenwolfs, Dawn's children and Firestarters: @ffffcc66200 coins@ffffffff with low probability. @ff9900ffEpic untradeable part@ffffffff except for wheels with low probability. Engineer standard with low probability. @ffffffffCommon part@ffffffff with average probability. @ff0099ffRare untradeable part@ffffffff with high probability."
"item_Chest_online_14h_gold_Name"	"Miner's container"
"item_chest_online_2h_desc"	"Container holds a random part except for parts from Steppenwolfs, Dawn's children and Firestarters: Engineer flag for 3 hours with low probability. @ff0099ffRare part for 24 hours@ffffffff, except for wheels, with average probability. Common part with high probability."
"item_Chest_online_2h_gold_Desc"	"Container holds a random part except for parts from Steppenwolfs, “Dawn's children and Firestarters: @ffffcc6620 coins@ffffffff with low probability. @ff0099ffRare untradeable part@ffffffff except for wheels with low probability. Engineer flag with low probability. @ffffffffCommon part@ffffffff with high probability."
"item_Chest_online_2h_gold_Name"	"Adventurer's container"
"item_chest_paints_col1_desc"	"Contains a random paint can.|@ff9900ffEpic part@ffffffff with very low probability.|@ff0099ffRare part@ffffffff with average probability.|Common part with high probability."
"item_chest_paints_col1_name"	"Paint container"
"item_chest_paints_craft_desc"	"Produces a random container with paint"
"item_chest_paints_craft_name"	"Random paint container"
"item_chest_Rare_desc"	"Container holds a random part except for parts from Steppenwolfs, Dawn's children and Firestarters: @ff9900ffEpic part@ffffffff with low probability. @ff0099ffRare part@ffffffff with high probability. Decoration with average probability. Paint with low probability."
"item_chest_rare_weapon_desc"	"Container may hold any @ff0099ffRare part@ffffffff except for wheels, Steppenwolfs, Dawn's children and Firestarters parts."
"item_chest_Relic_desc"	"Container may hold rare parts of any faction (except for Steppenwolfs, Dawn\s Children and Firestarters) or relic parts: @ffff7519Relic part@ffffffff with low probability. @ff0099ffRare part@ffffffff with high probability."
"item_chest_skins_col1_2_name"	"Tinkerer's pack"
"item_chest_skins_col1_china_name"	"Oriental Artisan's pack"
"item_chest_skins_col1_desc"	"Contains a random customization kit.|@ffffcc66Legendary part@ffffffff with very low probability.|@ff9900ffEpic part@ffffffff with low probability.|@ff0099ffRare part@ffffffff with average probability.|Common part with high probability."
"item_chest_skins_col1_name"	"Artisan's pack"
"item_chest_skins_col2_china_name"	"Tinkerer's pack 2"
"item_chest_skins_craft_desc"	"Produces a random container with a customization pack."
"item_chest_skins_craft_name"	"Random CK container"
"item_chest_tutorial_desc"	"Contains an untradeable @ff0099ffRare weapon@ffffffff of the Engineers faction or an advanced faction."
"item_chest_tutorial_name"	"Training reward"
"item_chest_White_desc"	"Container holds a rare part, decoration item or a paint can except for parts from Steppenwolfs, Dawn's children and Firestarters: @ff0099ffRare part@ffffffff with low probability. @ffffffffCommon part@ffffffff with high probability. Decoration with average probability. Paint with low probability."
"item_Epic_Caster_Container_desc"	"Container holds a random part:|@ff9900ffEpic part@ffffffff with average probability.|@ff0099ffRare part@ffffffff with high probability."
"item_Epic_Caster_Container_name"	"Epic Caster Container"
"item_Halloween_chest_desc"	"Contains terrifying festive decorations.|@ffffcc66Legendary part@ffffffff with low probability.|@ff9900ffEpic part@ffffffff with average probability.|@ff0099ffRare part@ffffffff with high probability."
"item_Knight_new_guns_chest_desc"	"Container holds a rare part from special events:|@ffffcc66Legendary part@ffffffff with low probability.|@ff9900ffEpic part@ffffffff with average probability.|@ff0099ffRare part@ffffffff with high probability."
"item_Knight_new_guns_chest_name"	"“Steel cavalry” container"
"item_NewYear_chest_desc"	"Contains New Year's decor, dyes and stickers.|@ffffcc66Legendary part@ffffffff with very low probability.|@ff9900ffEpic part@ffffffff with low probability.|@ff0099ffRare part@ffffffff with average probability.|Common part with high probability."
"item_Rare_Caster_Container_desc"	"Container holds a random @ff0099ffRare part@ffffffff."
"item_Rare_Caster_Container_name"	"Rare Caster Container"
"ITEM_SUBTYPE_AutoWeapon"	"Automatic weapon"
"ITEM_SUBTYPE_MechaLegs"	"Mechanical legs"
"ITEM_TAG_Bundle_1"	"Bundle"
"ITEM_TAG_Bundle_2"	"Pack"
"ITEM_TAG_Bundle_3"	"Packet"
"Keepheist_Bombs_nomads_text"	"Can you hear the knell of steel wings? This is your death. And soon you will meet."
"Keepheist_Bombs_nomads_text2"	"You insulted my master by stealing! Now you're doomed. You may run, but your fate's decided."
"Keepheist_Bombs_nomads_text3"	"Petty thieves! The unworthy can't escape our vengeance however they try. Prepare to die."
