"ADVENTURE_REWARD_BONUS"	"Plus"
"Chassis_Small_name"	"Guerilla"
"Chassis_Spider_Desc"	"Construit à partir de plans d'un vétéran, qui a passé des mois seul dans les terres dévastées et en est revenu entier."
"Chassis_Spider_Name"	"Bird spider"
"Chassis_SportCustom_Desc"	"Cabine de test"
"Chassis_SportCustom_Name"	"Cabine modifiée"
"Chassis_VWT1_Desc"	"Une cabine de van, relativement durable et fiable."
"Chassis_VWT1_name"	"WWT1"
"Chassis_Wyvern_Desc"	"Une cabine tirée d'un avion."
"Chassis_Wyvern_Name"	"Wyvern"
"Chassis_Wyvern_RaiderSkin_Desc"	"\"Cette cabine agressive, rapide et sauvage vous mènera dans le Wasteland sans limites. Aussi loin que le cœur d'un éternel vagabond le désire.||Parfait pour la plupart des situations de combat. Et son profil étroit offre une grande variété d'opportunités tactiques supplémentaires. \""
"Decal_8march03_Name"	"À travers les difficultés"
"Decal_alienware02_desc"	"Ils disent que dans le passé, les gens avaient peur de dormir la nuit, de peur d'être enlevés par des extraterrestres. La vie est tellement plus dangereuse ces jours-ci que vous pourriez être enlevé par de vrais bandits."
"Decal_alienware02_name"	"Alien"
"Decal_alienware03_desc"	"Un hiéroglyphe stylisé copié sur le mur d'un des supermarchés effondrés. De nos jours, personne n'a la moindre idée de l'importance de sa signification pour les gens du passé."
"Decal_ambulance01_Name"	"Appeler le 03"
"Decal_ambulance02_Name"	"Appeler le 911"
"Decal_ambulance03_Name"	"Appeler le 112"
"Decal_ambulance04_Name"	"Appeler le 15"
"Decal_default_Desc"	"Les autocollants peuvent être placés sur n'importe quelle surface, aussi bien tournés que changés.|Vous ne pouvez pas appliquer plus de deux autocollants sur une voiture."
"Decal_fire1_Name"	"Feu 1"
"Decal_fire2_Name"	"Feu 2"
"Decal_halloween01_Name"	"Air Witch Force"
"Decal_halloween02_Name"	"Le conducteur sans tête"
"Decal_halloween03_Name"	"Batte de l'enfer"
"Decal_halloween04_Name"	"Pumpker"
"Decal_halloween05_Name"	"Red widow"
"Decal_hunter02_Name"	"Mâchoires"
"Decal_japan_spring_desc"	"Cet autocollant a une longue et triste histoire, mais ce n'est ni le moment ni l'endroit pour le dire."
"Decal_knecht01_Name"	"Drain knight"
"Decal_knecht02_Name"	"Bouclier de chevalier"
"Decal_knecht03_Name"	"Jouteur"
"Decal_knecht04_Name"	"Knight rider"
"Decal_knecht05_Name"	"Lion rampant"
"Decal_knecht06_Name"	"Fleur-de-lys en fer"
"Decal_mask1_Name"	"Civilian gas mask"
"Decal_mask2_Name"	"Keep the mask on!"
"Decal_noheart_name"	"Cœur Noir"
"Decal_number07_Name"	"Numéro \"7\""
"Decal_number08_Name"	"Numéro \"8\""
"Decal_nyear2018_bomb_Name"	"Bonne année!"
"Decal_nyear2018_bullfinch_Name"	"Bouvreuil"
"Decal_nyear2018_cookie_Name"	"Cookie"
"Decal_nyear2018_croissant_Name"	"Croissant"
"Decal_nyear2018_deer2_Name"	"Mâle"
"Decal_nyear2018_deer_back_Name"	"Croupe"
"Decal_nyear2018_deer_mg_Name"	"Vengeur de fête"
"Decal_nyear2018_deer_Name"	"Faites comme chez vous!"
"Decal_nyear2018_defeat_list_Name"	"Comptoir de cerf"
"Decal_nyear2018_feltboots_Name"	"Stocker avec des cadeaux"
"Decal_nyear2018_grenade_bow_Name"	"Boom de Noël"
"Decal_nyear2018_lollipop_exhaust_Name"	"Cheminée"
"Decal_nyear2018_magicancat_Name"	"Boom, et vous gagnez!"
"Decal_nyear2018_moonsanta_Name"	"Lune Santa"
"Decal_nyear2018_snowflake_asid_Name"	"Flocon de virus"
"Decal_nyear2018_snowflake_fall_Name"	"Bon flocon de neige"
"Decal_nyear2018_snowman_eng_Name"	"Bonhomme de neige XO"
"Decal_nyear2018_snowman_lunatic_Name"	"Bonhomme de neige Pete"
"Decal_nyear2018_snowman_nomad_Name"	"Bonhomme de neige"
"Decal_nyear2018_tachanka_Name"	"Chariot"
"Decal_raider05_Name"	"Scavenger"
"Decal_redstar_Name"	"Étoile"
"Decal_red_swan_Desc"	"Autocollant limité pour la collaboration METAL MAX Xeno. Un requin nageant dans le désert. Attention à son aileron dans le désert!"
"Decal_red_swan_Name"	"Requin du désert"
"Decal_samurai01_Name"	"Kenjutsu"
"Decal_thailand_q_name"	"Q"
"Decal_tribal01_Desc"	"Les autocollants peuvent être placés sur n'importe quelle surface, aussi bien tournés que changés.|Vous ne pouvez pas appliquer plus de deux autocollants sur une voiture."
"Decal_tribal01_Name"	"Capricorne"
"Decal_tw_dog_desc"	"Dérive comme un dieu!"
"Decal_tw_taiwan_desc"	"Île précieuse Ilha Formosa"
"Decal_wwi_dog01_Name"	"Chien de Guerre"
"Decal_Zubilo01_Name"	"Drive safe"
"Decal_Zubilo02_Name"	"Oops, wrong pedal"
"Decal_Zubilo03_Name"	"Wildstyle"
"Decal_Zubilo04_Name"	"Petroglyphs"
"Decal_Zubilo05_Name"	"Driver-96"
"Decal_Zubilo06_Name"	"Stay back!"
"Decal_Zubilo07_Name"	"Jack"
"Decal_Zubilo08_Name"	"Aubergine"
"Dye_23feb2016_Desc"	"Un thème de couleur festif spécial"
"Dye_23feb2016_Name"	"Défenseur de la mère patrie"
"Dye_AcidGreen_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_AcidGreen_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_AcidGreen_glossy_Name"	"Isotope-239 metallique"
"Dye_AcidGreen_Name"	"Isotope-239"
"Dye_Aircraft_Desc"	"Peinture et materiaux|Permet de modifier la plupart des pièces\""
"Dye_Aircraft_Name"	"Matériau : Aluminium"
"Dye_Black01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Black01_Name"	"Noir 1"
"dye_BlackScratch_Desc"	"Peinture et motifs.|Permet de colorer la plupart des pièces."
"dye_BlackScratch_Name"	"Motif : Terre brulée"
"Dye_Black_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Black_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Black_glossy_Name"	"Minuit métallique"
"Dye_Black_Name"	"Minuit"
"Dye_Blue01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Blue01_Name"	"Bleu"
"Dye_Blue02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Blue02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Blue02_glossy_Name"	"Oasis métallique"
"Dye_Blue02_Name"	"Oasis"
"Dye_Blue03_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Blue03_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Blue03_glossy_Name"	"Crépuscule métallique"
"Dye_Blue03_Name"	"Crépuscule"
"Dye_Brown01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Brown01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Brown01_glossy_Name"	"Métal des terres apocalyptiques"
"Dye_Brown01_Name"	"Wasteland"
"Dye_Brown02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Brown02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Brown02_glossy_Name"	"Brome métallique"
"Dye_Brown02_Name"	"Bromine"
"Dye_Carbon_Desc"	"Peinture et matériaux.|Permet de modifier la plupart des pièces."
"Dye_Carbon_Name"	"Matériau : Carbone"
"Dye_checker_Desc"	"Peinture et motifs.|Permet de colorer la plupart des pièces"
"Dye_checker_Name"	"Motif : Damier"
"Dye_CherryNine_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_CherryNine_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_CherryNine_glossy_Name"	"Cerise métallique"
"Dye_CherryNine_Name"	"Cerise"
"Dye_Chrome_Desc"	"Peinture et matériaux.|Permet de modifier la plupart des pièces."
"Dye_Chrome_Name"	"Matériau : Chrome"
"Dye_Crimson01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Crimson01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Crimson01_glossy_Name"	"Tornade métallique"
"Dye_Crimson01_Name"	"Tornade"
"Dye_Crimson02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Crimson02_Name"	"Carmin 2"
"Dye_Cyan01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Cyan01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Cyan01_glossy_Name"	"Lumières polaires métalliques"
"Dye_Cyan01_Name"	"Nuit polaire"
"Dye_Cyan02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Cyan02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Cyan02_glossy_Name"	"Champ magnétique métallique"
"Dye_Cyan02_Name"	"Champ magnétique"
"Dye_DangerStripes_Desc"	"Peinture et motifs.|Permet de colorer la plupart des pièces."
"Dye_DangerStripes_Name"	"Motif : Danger!"
"dye_Eraser_Desc"	"Retire la peinture, et redonne l'apparence d'origine de la pièce"
"dye_Eraser_Name"	"Solvant à peinture"
"Dye_ForestCamuflage_Desc"	"Peinture et motifs.|Permet de colorer la plupart des pièces"
"Dye_ForestCamuflage_Name"	"Motif : Forêt"
"Dye_Gold_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Gold_Name"	"Matériau : Or"
"Dye_Gray_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Gray_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Gray_glossy_Name"	"Cendres métalliques"
"Dye_Gray_Name"	"Cendres"
"Dye_Green01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Green01_Name"	"Brise"
"Dye_Green02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Green02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Green02_glossy_Name"	"Amulette métallique"
"Dye_Green02_Name"	"Amulette"
"Dye_Green03_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Green03_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Green03_glossy_Name"	"Émeraude métallique"
"Dye_Green03_Name"	"Émeraude"
"Dye_Green04_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Green04_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Green04_glossy_Name"	"Iguane métallique"
"Dye_Green04_Name"	"Iguane"
"Dye_GreenKhaki_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_GreenKhaki_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_GreenKhaki_glossy_Name"	"Kaki 2 métallique"
"Dye_GreenKhaki_Name"	"Kaki 2"
"Dye_Grey01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Grey01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Grey01_glossy_Name"	"Brume métallique"
"Dye_Grey01_Name"	"Brume"
"Dye_Grey02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Grey02_Name"	"Métal bleuit"
"Dye_Grey03_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Grey03_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Grey03_glossy_Name"	"Nuages sombres Métallique"
"Dye_Grey03_Name"	"Nuages sombres"
"Dye_Grid_Desc"	"Peinture et matériaux.|Permet de modifier la plupart des pièces."
"Dye_Grid_Name"	"Matériau : Grille"
"Dye_Khaki01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Khaki01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Khaki01_glossy_Name"	"Kaki 1 métallique"
"Dye_Khaki01_Name"	"Kaki 1"
"Dye_Khaki02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Khaki02_Name"	"Kaki 2"
"Dye_Khaki03_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Khaki03_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Khaki03_glossy_Name"	"Kaki 3 métallique"
"Dye_Khaki03_Name"	"Kaki 3"
"Dye_NewYear2016_Desc"	"Bonne année!"
"Dye_NewYear2016_Name"	"Nouvelle année"
"Dye_Orange01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Orange01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Orange01_glossy_Name"	"Narcisse métallique"
"Dye_Orange01_Name"	"Narcisse"
"Dye_Orange02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Orange02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Orange02_glossy_Name"	"Crépuscule métallique"
"Dye_Orange02_Name"	"Aurore"
"Dye_Orange_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Orange_Name"	"Orange"
"Dye_Pink01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Pink01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Pink01_glossy_Name"	"Rayon gamma métallique"
"Dye_Pink01_Name"	"Rayons Gamma"
"Dye_Pink02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Pink02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Pink02_glossy_Name"	"Corail métaillique"
"Dye_Pink02_Name"	"Corail "
"Dye_Red01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Red01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Red01_glossy_Name"	"Géant métallique rouge"
"Dye_Red01_Name"	"Rouge profond"
"Dye_Red02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Red02_Name"	"Rouge 2"
"Dye_Red03_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Red03_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Red03_glossy_Name"	"Victoire métallique"
"Dye_Red03_Name"	"Victoire"
"Dye_Red4_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Red4_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Red4_glossy_Name"	"Lune rouge"
"Dye_Red4_Name"	"Rouge sombre"
"Dye_RedBlue_Desc"	"Peinture et matériaux.|Permet de modifier la plupart des pièces."
"Dye_RedBlue_Name"	"Flamme froide"
"Dye_Rusted_Desc"	"Peinture et matériaux.|Permet de modifier la plupart des pièces."
"Dye_Rusted_Name"	"Matériau : Rouille"
"Dye_Sand01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Sand01_Name"	"Sable 1"
"Dye_Sand02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Sand02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Sand02_glossy_Name"	"Mirage métallique"
"Dye_Sand02_Name"	"Mirage"
"Dye_SandCamuflage_Desc"	"Peinture et motifs.|Permet de colorer la plupart des pièces"
"Dye_SandCamuflage_Name"	"Motif : Dune"
"Dye_Sand_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Sand_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Sand_glossy_Name"	"Tempête de sable métallique"
"Dye_Sand_Name"	"Tempête de sable"
"Dye_SeaCamuflage_Desc"	"Peinture et motifs.|Permet de colorer la plupart des pièces"
"Dye_SeaCamuflage_Name"	"Motif : Océan"
"Dye_SkyBlue_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_SkyBlue_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_SkyBlue_glossy_Name"	"Ciel métallique"
"Dye_SkyBlue_Name"	"Ciel dégagé"
"Dye_UrbanCamouflage_Desc"	"Peinture et motifs.|Permet de colorer la plupart des pièces"
"Dye_UrbanCamouflage_Name"	"Motif : Urbain"
"Dye_Valentine2016_Desc"	"Un thème de couleur festif spécial"
"Dye_Valentine2016_Name"	"Saint Valentin"
"Dye_Violet01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Violet01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Violet01_glossy_Name"	"Électron métallique"
"Dye_Violet01_Name"	"Électron"
"Dye_Violet02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Violet02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Violet02_glossy_Name"	"Océan métallique"
"Dye_Violet02_Name"	"Océan"
"Dye_WarmRed_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_WarmRed_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_WarmRed_glossy_Name"	"Ambre métallique"
"Dye_WarmRed_Name"	"Ambre"
"Dye_White01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_White01_Name"	"Blanc 1"
"Dye_White_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_White_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_White_glossy_Name"	"Soleil blanc"
"Dye_White_Name"	"Blanc"
"Dye_Yellow01_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Yellow01_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Yellow01_glossy_Name"	"Étincelle métallique"
"Dye_Yellow01_Name"	"Étincelle"
"Dye_Yellow02_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Yellow02_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Yellow02_glossy_Name"	"Soleil brûlant métallique"
"Dye_Yellow02_Name"	"Soleil brulant"
"Dye_Yellow03_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Yellow03_glossy_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"Dye_Yellow03_glossy_Name"	"Bourdon métallique"
"Dye_Yellow03_Name"	"Bumblebee"
"GarbageGun_Spread_Decreasing_DESC"	"Plus la vitesse de la voiture est élevée. La précision maximale est atteinte à 60 km/h."
"GazelleBase_desc"	"Une cabine, des roues et rien d'autre"
"GazelleBase_name"	"Châssis de mini-van "
"ItemDesc_ConstructionBonus"	"Augmente la structure du véhicule de @ff00ff00$car_health$@ffffffff"
"ItemDesc_ExpBonus"	"Augmente les gains de réputation après une bataille de @ff00ff00$exp_reward_bonus$@ffffffff%"
"item_test_piece_desc"	"Utilisé pour construire un SUPER canon. Récupérez 10 composants et construisez le chez l'artisan des Ingénieurs."
"item_test_piece_name"	"Composant de SUPER gun"
"KamazBase_desc"	"Une cabine, des roues et rien d'autre"
"KamazBase_name"	"Châssis de camion"
"KamazGrad_desc"	"Design avancé, avec des armes et des modules complexes"
"KamazGrad_name"	"Hail Truck"
"Machinegun_Overheating_DESC"	"Plus la température de l'arme est élevée, plus ses dégâts sont importants. À pleine chaleur, les dégâts augmentent de $damage_overheat_mul$%."
"mat_KhakiDark01_Desc"	"Peinture et matériaux.|Permet de modifier la plupart des pièces."
"mat_KhakiDark01_Name"	"Motif : Pin"
"metal_AlienColor_Desc"	"Peinture et matériaux.|Permet de modifier la plupart des pièces."
"metal_AlienColor_Name"	"Matériau : Quartz"
"metal_BlackIron_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"metal_BlackIron_Name"	"Mercure"
"metal_KnightIron_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"metal_KnightIron_Name"	"Matériau : Plaque en acier"
"metal_LSedan_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"metal_LSedan_Name"	"Aubergine"
"metal_oil_Desc"	"Pétrole simple."
"metal_oil_Name"	"Pétrole"
"metal_PoliceBlack_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"metal_PoliceBlack_Name"	"Mauvais flic"
"metal_PoliceWhite_Desc"	"Spray de peinture.|Colore la plupart des pièces."
"metal_PoliceWhite_Name"	"Bon flic"
"metal_Yellow03_desc"	"Spray de peinture.|Colore la plupart des pièces."
"metal_Yellow03_name"	"El Dorado"
"NewGazelDrone_desc"	"Design avancé, avec des armes et des modules complexes"
"NewGazelDrone_name"	"Minivan Quadrocopter"
"NewGazelle_desc"	"Équipé d'armes basiques et prêt à partir."
"NewGazelle_name"	"Minivan basique"
"NewKamazTank_desc"	"Design avancé, avec des armes et des modules complexes"
"NewKamazTank_name"	"Tank'n'Gun"
"NewKamaz_desc"	"Équipé d'armes basiques et prêt à partir."
"NewKamaz_name"	"Camion basique"
"NewPickupMiner_desc"	"Design avancé, avec des armes et des modules complexes"
"NewPickupMiner_name"	"Pickup poseur de mines"
"NewPickupRocket_desc"	"Design avancé, avec des armes et des modules complexes"
"NewPickupRocket_name"	"Pickup Rocketeer"
"NewPickup_desc"	"Équipé d'armes basiques et prêt à partir."
"NewPickup_name"	"Pickup basique"
"PARTINFO_ACCELERATION_TITLE"	"Accélération"
"PARTINFO_CRIT_MASS_TITLE"	"Limite de masse"
"PARTINFO_POWER_GEN_TITLE"	"Ajoute de l'énergie"
"PARTINFO_TONNAGE_TITLE"	"Tonnage"
"PARTSFILTER_8_Resource"	"Ressources"
"PARTTYPE_10_15_Cabin_Light"	"Cabine légère"
"PARTTYPE_10_16_Cabin_Medium"	"Cabine moyenne"
"PARTTYPE_10_17_Cabin_Medium"	"Cabine moyenne"
"PARTTYPE_10_18_Cabin_Heavy"	"Cabine lourde"
"PARTTYPE_10_19_Cabin_Tank"	"Cabine de char"
"PARTTYPE_10_20_Cabin"	"Cabine"
"PARTTYPE_10_20_Chassis"	"Châssis"
"PARTTYPE_10_frenzied_armor"	"Pièce de buggy"
"PARTTYPE_20_10_Machinegun"	"Mitrailleuse"
"PARTTYPE_20_11_AutoWeapon"	"Arme automatique"
"PARTTYPE_20_12_Revolver"	"Revolver"
"PARTTYPE_20_15_MachinegunFrontal"	"Mitrailleuse frontale"
"PARTTYPE_20_17_Minigun"	"Minigun"
"PARTTYPE_20_20_Shotgun"	"Shotgun"
"PARTTYPE_20_30_ShotgunFrontal"	"Shotgun frontal"
"PARTTYPE_20_40_AutoCannon"	"Auto-canon"
"PARTTYPE_20_44_Harpoon"	"Harpon"
"PARTTYPE_20_45_Crossbow"	"Arbalète"
"PARTTYPE_20_46_Laser"	"Laser de combat"
"PARTTYPE_20_47_Energy"	"Arme énergétique"
"PARTTYPE_20_47_PlazmaGun"	"Plasma Gun"
"PARTTYPE_20_48_Plazma"	"Lance plasma"
"PARTTYPE_20_49_Tesla"	"Émetteur Tesla"
"PARTTYPE_20_50_CannonFrontal"	"Canon"
"PARTTYPE_20_55_Howitzer"	"Howitzer"
"PARTTYPE_20_60_Cannon"	"Canon en tourelle"
"PARTTYPE_20_70_GrenadeLauncher"	"Lance-grenades"
"PARTTYPE_20_75_Flamethrower"	"Lance-flammes"
"PARTTYPE_20_80_CourseMissile"	"Roquette non guidée"
"PARTTYPE_20_85_CourseMissileBurst"	"Salve de roquettes"
"PARTTYPE_20_85_GuidedMissile"	"Missile guidé"
"PARTTYPE_20_90_HomingMissile"	"Missile guidé"
"PARTTYPE_20_90_Minelayer"	"Pose mines"
"PARTTYPE_20_95_HomingMissileBurst"	"Salve de missiles guidés"
"PARTTYPE_20_97_Railgun"	"Accélérateur à particule"
"PARTTYPE_20_mechanics_van"	"Pièce de van"
"PARTTYPE_22_MeleeActive"	"Arme de mélée"
"PARTTYPE_23_MeleeExplosive"	"Explosifs"
"PARTTYPE_30_10_PassiveModule_Engine"	"Moteur"
"PARTTYPE_30_20_PassiveModule_Generator"	"Générateur"
"PARTTYPE_30_30_PassiveModule_Ammo"	"Munitions"
"PARTTYPE_30_40_PassiveModule_Fuel"	"Carburant"
"PARTTYPE_30_50_PassiveModule_Cooler"	"Module de refroidissement"
"PARTTYPE_30_60_PassiveModule_Radar"	"Radar"
"PARTTYPE_30_70_PassiveModule_Radio"	"Radio"
"PARTTYPE_30_PassiveModule"	"Module passif"
"PARTTYPE_30_vagabonds_avia"	"Pièce d'avion"
"PARTTYPE_35_10_ActiveModule_Stealth"	"Furtif"
"PARTTYPE_35_15_ActiveModule_SelfCalc"	"Booster d'arme"
"PARTTYPE_35_20_ActiveModule_Turret"	"Tourelle"
"PARTTYPE_35_30_ActiveModule_Drone"	"Drone"
"PARTTYPE_35_35_ActiveModule_WheelDrone"	"Drone roue"
"PARTTYPE_35_40_ActiveModule_Nitro"	"Booster"
"PARTTYPE_35_50_ActiveModule_Aim"	"Viseur"
"PARTTYPE_35_vagabonds_hotrod"	"Pièce de Hot rod"
"PARTTYPE_38_SpecialModule"	"Module spécial"
"PARTTYPE_39_CouplingModule"	"Module de couplage"
"PARTTYPE_40_10_Wheel"	"Roue"
"PARTTYPE_40_20_WheelSteering"	"Roue directrice"
"PARTTYPE_40_30_Track"	"Chenille"
"PARTTYPE_40_31_Shnek"	"Foreuse"
"PARTTYPE_40_40_Hover"	"Hover"
"PARTTYPE_40_50_MechaLeg"	"Jambe mécanique"
"PARTTYPE_40_scavengers_truck"	"Container de féraille"
"PARTTYPE_45_scavengers_pipes"	"Bidons et pièces inclinées"
"PARTTYPE_48_military_apc"	"Morceau d'APC"
"PARTTYPE_50_10_StructureFrame"	"Pièce du châssis "
"PARTTYPE_50_15_frenzied_armor"	"Pièce de Buggy"
"PARTTYPE_50_20_mechanics_van"	"Pièce de van"
"PARTTYPE_50_20_StructureArmor"	"Blindage"
"PARTTYPE_50_20_StructureSolid"	"Pièce structurelle"
"PARTTYPE_50_23_mechanics_angle"	"Amortisseurs"
"PARTTYPE_50_25_mechanics_muscle"	"Pièce de Torino"
"PARTTYPE_50_30_Finisher"	"Pièce extérieur "
"PARTTYPE_50_30_vagabonds_avia"	"Pièce d'avion"
"PARTTYPE_50_35_vagabonds_hotrod"	"Pièce de hot rod"
"PARTTYPE_50_40_MeleeAttack"	"Pare-chocs défensif"
"PARTTYPE_50_40_MeleeBumper"	"Pare-chocs"
"PARTTYPE_50_40_MeleeDefence"	"Pare-chocs d'assaut"
"PARTTYPE_50_40_scavengers_truck"	"Container de ferraille."
"PARTTYPE_50_45_scavengers_pipes"	"Tubes"
"PARTTYPE_50_48_military_apc"	"Pièce de VTB"
"PARTTYPE_50_50_MeleePassive"	"Armes de mêlées passives"
"PARTTYPE_50_80_MeleeBumper"	"Pare-choc"
"PARTTYPE_50_82_MeleePassive"	"Arme de mêlée passive"
"PARTTYPE_50_MeleePassive"	"Arme de mélée"
"PARTTYPE_60_10_Decorum"	"Apparence"
"PARTTYPE_60_20_RoadSign"	"Décoration signe"
"PARTTYPE_60_30_CarHorn"	"Klaxon"
"PARTTYPE_60_40_CarLights"	"Phares"
"PARTTYPE_60_59_Eraser"	"Peinture. Solvant"
"PARTTYPE_60_60_Dye"	"Teinture"
"PARTTYPE_60_Decorum"	"Apparence"
"PARTTYPE_60_generic_armor"	"Plaques de blindage"
"PARTTYPE_70_0_Eraser"	"Peinture. Solvant"
"PARTTYPE_70_10_Pattern"	"Peinture. Motifs"
"PARTTYPE_70_10_Skins"	"Kit de modification"
"PARTTYPE_70_20_Decals"	"Autocollant"
"PARTTYPE_70_20_Material"	"Peinture. Matériaux"
"PARTTYPE_70_29_Eraser"	"Peinture. Solvant"
"PARTTYPE_70_30_Dye"	"Teinture"
"PARTTYPE_70_Dye"	"Teinture"
"PARTTYPE_70_unavailable"	"non disponible"
"PARTTYPE_85_skins"	"Kit de modification"
"PARTTYPE_88_Piece"	"Composant"
"PARTTYPE_90_Consumable"	"Consommable"
"PARTTYPE_95_ResourcePack"	"Ressource"
"PARTTYPE_ActiveModule"	"Module actif"
