"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"Dye_Red01_Name"	"Красный гигант"
"Dye_Red02_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Red02_Name"	"Красный 2"
"Dye_Red03_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Red03_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Red03_glossy_Name"	"Виктория металлик"
"Dye_Red03_Name"	"Виктория"
"Dye_Red4_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Red4_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Red4_glossy_Name"	"Красная Луна"
"Dye_Red4_Name"	"Темно-красный"
"Dye_Rusted_Desc"	"Краска и материал.|Таким образом можно обработать почти любую деталь."
"Dye_Rusted_Name"	"Материал: Ржавчина"
"Dye_Sand01_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Sand01_Name"	"Песочный 1"
"Dye_Sand02_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Sand02_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Sand02_glossy_Name"	"Мираж металлик"
"Dye_Sand02_Name"	"Мираж"
"Dye_SandCamuflage_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"Dye_SandCamuflage_Name"	"Шаблон: Дюна"
"Dye_Sand_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Sand_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Sand_glossy_Name"	"Песчаная буря металлик"
"Dye_Sand_Name"	"Песчаная буря"
"Dye_SeaCamuflage_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"Dye_SeaCamuflage_Name"	"Шаблон: Море"
"Dye_SkyBlue_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_SkyBlue_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_SkyBlue_glossy_Name"	"Чистое небо металлик"
"Dye_SkyBlue_Name"	"Чистое небо"
"Dye_UrbanCamouflage_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"Dye_UrbanCamouflage_Name"	"Шаблон: Город"
"Dye_Valentine2016_Desc"	"Особая праздничная покраска."
"Dye_Valentine2016_Name"	"Валентинка"
"Dye_Violet01_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Violet01_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Violet01_glossy_Name"	"Электрон металлик"
"Dye_Violet01_Name"	"Электрон"
"Dye_Violet02_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Violet02_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Violet02_glossy_Name"	"Океан металллик"
"Dye_Violet02_Name"	"Океан"
"Dye_WarmRed_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_WarmRed_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_WarmRed_glossy_Name"	"Зола металлик"
"Dye_WarmRed_Name"	"Зола"
"Dye_White01_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_White01_Name"	"Белый 1"
"Dye_White_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_White_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_White_glossy_Name"	"Белое солнце"
"Dye_White_Name"	"Белый"
"Dye_Yellow01_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Yellow01_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Yellow01_glossy_Name"	"Искра металлик"
"Dye_Yellow01_Name"	"Искра"
"Dye_Yellow02_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Yellow02_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Yellow02_glossy_Name"	"Палящее солнце металлик"
"Dye_Yellow02_Name"	"Палящее солнце"
"Dye_Yellow03_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Yellow03_glossy_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"Dye_Yellow03_glossy_Name"	"Шмель металлик"
"Dye_Yellow03_Name"	"Шмель"
"mat_KhakiDark01_Desc"	"Краска и материал.|Таким образом можно обработать почти любую деталь."
"mat_KhakiDark01_Name"	"Шаблон: Сосна"
"metal_AlienColor_Desc"	"Краска и материал.|Таким образом можно обработать почти любую деталь."
"metal_AlienColor_Name"	"Материал: Кварц"
"metal_BlackIron_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"metal_BlackIron_Name"	"Ртуть"
"metal_KnightIron_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"metal_KnightIron_Name"	"Материал: Латная сталь"
"metal_oil_Desc"	"Просто нефть."
"metal_oil_Name"	"Нефть"
"metal_PoliceBlack_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"metal_PoliceBlack_Name"	"Плохой полицейский"
"metal_PoliceWhite_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"metal_PoliceWhite_Name"	"Хороший полицейский"
"PARTTYPE_60_10_Decorum"	"Украшение"
"PARTTYPE_60_59_Eraser"	"Краска. Растворитель"
"PARTTYPE_60_60_Dye"	"Краска"
"PARTTYPE_70_0_Eraser"	"Краска. Растворитель"
"PARTTYPE_70_10_Pattern"	"Краска. Шаблон"
"PARTTYPE_70_20_Material"	"Краска. Материал"
"PARTTYPE_70_30_Dye"	"Краска"
"PARTTYPE_70_Dye"	"Краска"
"PARTTYPE_90_Consumable"	"Расходный материал"
"PARTTYPE_95_ResourcePack"	"Ресурс"
"pic_alfa_reward_Name"	"Краска «Альфа»"
"pic_AlienSkin_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_AlienSkin_Name"	"Шаблон: Блуждающий огонь"
"Pic_australia1_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"Pic_australia1_Name"	"Шаблон: Туземец"
"Pic_australia2_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"Pic_australia2_Name"	"Шаблон: Край света"
"pic_CamouflageDesert_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_CamouflageDesert_Name"	"Шаблон: Цифровая пустыня"
"Pic_CamouflageWolfFlag_Desc"	"Фирменный боевой камуфляж Степных Волков."
"Pic_CamouflageWolfFlag_Name"	"Камуфляж: Степь"
"pic_CheckerTaxi_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_CheckerTaxi_Name"	"Шашечки"
"pic_CrashTest01_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_CrashTest01_Name"	"Шаблон: Подопытный"
"pic_CrashTest02_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_CrashTest02_Name"	"Шаблон: Испытатель"
"pic_Electric01_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_Electric01_Name"	"Шаблон: Молния"
"pic_EtnoPattern_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_EtnoPattern_Name"	"Шаблон: Абориген"
"pic_Flames01_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_Flames01_Name"	"Шаблон: Пламя"
"pic_JailScratches01_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_JailScratches01_Name"	"Шаблон: Календарь"
"pic_KhakiSharp_Desc"	"Краска и материал.|Таким образом можно обработать почти любую деталь."
"pic_KhakiSharp_Name"	"Шаблон: Лиственница"
"pic_LavaSkin01_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"pic_LavaSkin01_Name"	"Шаблон: Лава"
"Pic_Ryuusui01_Desc"	"Одна из тех немногих вещей, на которые можно смотреть бесконечно. Идея этой краски пришла автору, когда он видел сон о далекой горной стране."
"Pic_Ryuusui01_Name"	"Текущая река"
"pic_ScaleFish01_Desc"	"Краска и материал.|Таким образом можно обработать почти любую деталь."
"pic_ScaleFish01_Name"	"Материал: Аллигатор"
"pic_ScaleFish02_Desc"	"Краска и материал.|Таким образом можно обработать почти любую деталь."
"pic_ScaleFish02_Name"	"Материал: Змей"
"pic_SchoolDesk01_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_SchoolDesk01_Name"	"Шаблон: Доска"
"Pic_Shimapan_Desc"	"Жизнерадостная краска, навевающая сладкие сны об эпохе интернета."
"Pic_Shimapan_Name"	"Матрац добра"
"pic_StressTest01_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_StressTest01_Name"	"Шаблон: Граффити закат"
"pic_StressTest02_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_StressTest02_Name"	"Шаблон: Граффити восход"
"pic_TaxiScratch_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_TaxiScratch_Name"	"Тертый калач"
"pic_Teutonique_cross01_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_Teutonique_cross01_Name"	"Тевтонский крест"
"pic_Teutonique_eagle_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_Teutonique_eagle_Name"	"Тевтонский орел"
"pic_Teutonique_stripes_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_Teutonique_stripes_Name"	"Тевтонская лента"
"pic_TurtleShell01_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"pic_TurtleShell01_Name"	"Шаблон: Черепаха"
"pic_TurtleShell0_Desc"	"Баллон с краской.|В этот цвет можно покрасить почти любую деталь."
"pic_TurtleShell0_Name"	"Шаблон: Черепаха"
"pic_USline_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_USline_Name"	"Полосы «Одинокий рейнджер»"
"pic_USstars_Desc"	"Краска и трафареты.|В эти цвета можно покрасить почти любую деталь."
"pic_USstars_Name"	"Звезды «Одинокий рейнджер»"
"pic_YouTube_Desc"	"Редкая краска, которую можно получить, только оказавшись в нужное время в нужном месте."
"pic_YouTube_Name"	"Армия зрителей"
"SeaTerra_Dye"	"Набор: Суша и море"
"SeaTerra_Dye_Desc"	"Цвета воды и земли."
"Sunset_Dye"	"Набор: Закат"
"Sunset_Dye_Desc"	"Цвета вечернего неба."
"Оbscurity_Dye"	"Набор: Умеренность"
"Оbscurity_Dye_Desc"	"Спокойные естественные цвета."
"BAD_CREDENTIALS"	"Вы ввели неправильный логин или пароль. Попробуйте еще раз."
"BLUEPRINT_EXHIBITION_CARPART_COLLISION"	"Невозможно выставить чертеж. Наложение деталей: $item1$ и $item2$"
"BLUEPRINT_EXHIBITION_WEAPON_COLLISION"	"Невозможно выставить чертеж. Заблокирован ствол оружия: $item$"
"BLUEPRINT_NO_FREE_USER_SLOTS"	"Не осталось свободных мест для пользовательских чертежей."
"BLUEPRINT_PATS_LEVEL_RESTRICTION"	"На машину установлены детали, которые нельзя использовать из-за низкой репутации с фракцией «Механики». Вы можете собрать чертеж и выехать в тест-драйв, но в бой эти детали брать нельзя.|Собрать чертеж с запрещенными деталями?"
"CANT_EDIT_LOCKED_LEVIATHAN"	"Нельзя редактировать активный Левиафан."
"CHAT_EVENT_BANNED"	"Игрок $bannedUser$ заблокирован модератором $bannedBy$ по причине «$banReason$» до $banUntil$."
"CHAT_EVENT_MUTED"	"Игрок $mutedUser$ заглушен модератором $mutedBy$ до $mutedUntil$."
"CHAT_EVENT_SPAM_NOTICE"	"Вы слишком часто отправляете сообщения в чат."
"CHAT_EVENT_UNBANNED"	"Игрок $bannedUser$ разблокирован модератором $bannedBy$."
"CHAT_EVENT_UNMUTED"	"С игрока $mutedUser$ снята блокировка чата модератором $mutedBy$."
"CHAT_MUTED"	"Вы были заблокированы в игровом чате. Время до окончания блокировки: $timeLeft$"
"DISCONNECT_BAD_AUTH_TOKEN"	"Не удалось подключиться к игровому серверу. Повторите попытку позже."
"DISCONNECT_BAD_GAMEDATA_VERSION"	"Несовместимые данные клиента."
"DISCONNECT_BAD_GAME_VERSION"	"Несовместимая версия игрового клиента."
"DISCONNECT_BAD_LEVEL"	"Не удалось загрузить карту."
"DISCONNECT_BAD_PROTO_VERSION"	"Несовместимая версия протокола клиента."
"DISCONNECT_CLIENT_COULD_NOT_CONNECT"	"Не удалось подключиться к игровой сессии."
"DISCONNECT_FAIL_LOAD_USER"	"Мастер-серверу не удалось загрузить объект клиента."
"DISCONNECT_GAMEPLAY_DOES_NOT_ACCEPT"	"В бой не принимаются новые игроки."
"DISCONNECT_GAME_FINISHED"	"Бой уже завершился."
"DISCONNECT_HEADER"	"Вы были отключены от игровой сессии."
"DISCONNECT_KICK"	"Вас исключили из боя."
"DISCONNECT_KICK_AFK"	"Вас исключили за бездействие."
"DISCONNECT_KICK_CAR_PART_EXPIRED"	"Срок действия некоторых временных деталей истек."
"DISCONNECT_KICK_INVALID_CAR"	"Машина не готова к бою. Вы возвращены в ангар."
"DISCONNECT_KICK_INVENTORY_FULL"	"Склад переполнен."
"DISCONNECT_MASTER_SERVER_CONNECTION_FAILED"	"Потеряно соединение с мастер-сервером."
"DISCONNECT_NETWORK_FAIL"	"Неизвестная ошибка сети."
"DISCONNECT_QUIT"	"Сервер отключился."
"DISCONNECT_TOO_MANY_PLAYERS"	"Все места заняты."
"DISCONNECT_XBOX_SESSION_ERROR"	"Ошибка подключения к игровой сессии."
"EMAIL_VERIFICATION_WARNING"	"$url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"@ffff9900Подтвердите e-mail\"$, иначе операции на рынке могут быть ограничены."
"ERROR"	"Ошибка"
"ERROR_ACCESS_CONFIRMATION_REQUIRED"	"Необходим доступ. Вы можете $url href=\"https://store.gaijin.net/storefront.php?category=Crossout\" text=\"приобрести доступ\"$."
"ERROR_ACCESS_DENIED"	"Доступ запрещен."
"ERROR_ADMIN_NOT_READY"	"Служба администрирования не готова."
"ERROR_AFK_KICKED"	"Вы были отключены от сервера за бездействие."
"ERROR_AH_DONT_OWN_ENOUGH"	"Недостаточно предметов для продажи."
"ERROR_AH_HAVE_ACTIVE_OPERATION"	"Подождите немного прежде чем совершать повторное действие на рынке."
"ERROR_AH_ITEM_NOT_TRADEABLE"	"Предмет нельзя продать."
"ERROR_AH_LOT_IS_OWNED"	"Нельзя купить или продать принадлежащий вам предмет."
"ERROR_AH_LOW_PRICE"	"Слишком низкая цена."
"ERROR_AH_NOT_AVAILABLE"	"Рынок временно недоступен."
"ERROR_AH_NOT_ENOUGH_FREE_SLOTS"	"Достигнут лимит слотов под торговлю."
"ERROR_AH_NO_FREE_BLUEPRINT_SLOT"	"Нет свободного слота под пользовательские чертежи."
"ERROR_AH_OPERATION_CONDITION_BROKEN"	"Ошибка работы рынка."
"ERROR_AH_ORDER_LOCKED"	"Лот уже обрабатывается."
"ERROR_AH_ORDER_NOT_FOUND"	"Лот не найден."
"ERROR_AH_REFUND_KICKED"	"Вы были лишены доступа к рынку, так как отменили покупку товара. Обратитесь в службу поддержки."
"ERROR_AH_SERVICE_UNAVAILABLE"	"Сервис рынка временно недоступен."
"ERROR_AH_WRONG_RESOURCE_PACK"	"Неверный комплект ресурсов."
"ERROR_ALPHA_TEST_WINDOW_CLOSED"	"На время тестирования игровые сервера работают только несколько часов в сутки. Пожалуйста, попробуйте зайти в игру в другое время."
"ERROR_ARC_API"	"Ошибка сервера Arc."
"ERROR_ARC_NOT_LOGGED_IN"	"Необходимо войти в Arc."
"ERROR_AUTH_METHOD_DISABLED"	"Выбранный способ аутентификации недоступен."
"ERROR_AUTH_REGION_LOCK"	"Игра недоступна в вашем регионе"
"ERROR_AVATAR_ISNT_OWNED"	"Портрет недоступен."
"ERROR_BAD_CREDENTIALS"	"Вы ввели неправильный логин или пароль. Попробуйте еще раз."
"ERROR_BANNED"	"Ваш аккаунт заблокирован."
"ERROR_BANNED_FOR_CHEATING"	"Уважаемый игрок Crossout!|Доводим до вашего сведения, что ваша учётная запись в игре была заблокирована бессрочно за нарушение раздела 1.4 “Пользовательского Соглашения” Crossout: |1.4 Запрещение модификаций. Вы соглашаетесь ни при каких обстоятельствах не изменять и не вносить изменения в Продукт. Вам запрещено удалять или изменять любые уведомления об авторских правах и других правах собственности на все копии продукта.”, а также нарушение подпункта (2) пункта “м” раздела 1.5 “Лицензионного Соглашения” Crossout:“|1.5. Требования к использованию. Вы соглашаетесь, что вы не будете: м) Использовать, содействовать, создавать или поддерживать любые несанкционированные соединения с Продуктом, включая, без ограничений (2) подключение с использованием программ, специализированного инструментария, программного обеспечения, неодобренных Gaijin.”|Команда Crossout"
"ERROR_BLUEPRINT_ALREADY_LIKED"	"Нельзя повторно оценить чертеж."
"ERROR_BLUEPRINT_COUNT_LIMIT_REACHED"	"Вы можете демонстрировать на выставке не более 8 чертежей."
"ERROR_BLUEPRINT_EXHIBITION_BANNED"	"Вам запрещено пользоваться выставкой."
"ERROR_BLUEPRINT_FORBIDEN_NAME"	"Недопустимое название чертежа."
"ERROR_BLUEPRINT_NAME_TOO_LONG"	"Название этого чертежа превышает ограничение по количеству символов."
"ERROR_BLUEPRINT_NAME_TOO_SHORT"	"Название чертежа должно быть длиннее."
"ERROR_BLUEPRINT_NOT_FOUND"	"Чертеж не найден."
"ERROR_BLUEPRINT_NOT_LIKED"	"Вы не ставили оценку этому чертежу."
"ERROR_BLUEPRINT_NOT_OWNED"	"Вы не являетесь владельцем чертежа."
"ERROR_BLUEPRINT_SERVICE_UNAVAILABLE"	"Выставка временно недоступна"
"ERROR_BLUEPRINT_STORAGE_FULL"	"У вас не осталось свободного места для чертежей."
"ERROR_BLUEPRINT_UNAVAILABLE_PARTS"	"Чертеж содержит недоступные детали и не может быть отправлен на выставку."
"ERROR_BLUEPRINT_WRONG_ITEM_ORIENTATION"	"Невозможно выставить чертеж. Недопустимое расположение деталей."
"ERROR_BUNDLE_ALREADY_OWNED"	"У вас уже есть этот набор."
"ERROR_CARDESIGN_CRITICAL_MASS"	"Превышен максимальный допустимый вес. Облегчите конструкцию или установите более грузоподъемную кабину."
"ERROR_CARDESIGN_ENGINE_COUNT_EXCEEDED"	"Для использования данного чертежа необходимо оставить только 1 двигатель на машине."
"ERROR_CARDESIGN_EXPIRED_ITEM"	"Внимание! Срок действия некоторых временных деталей истек!"
"ERROR_CARDESIGN_GEAR_LEVEL_EXCEEDED"	"Превышен лимит деталей."
"ERROR_CARDESIGN_GENERATOR_COUNT_EXCEEDED"	"На машину можно установить только один генератор. Снимите лишние генераторы перед выходом в бой."
"ERROR_CARDESIGN_HEAVY_COUNT_EXCEEDED"	"Недопустимое число тяжелых пушек."
"ERROR_CARDESIGN_HEAVY_NOT_UNIQUE"	"Недопустимое количество типов тяжелых пушек."
"ERROR_CARDESIGN_INVALID_ITEM"	"Неверный или неизвестный предмет."
"ERROR_CARDESIGN_ITEM_NOT_OWNED"	"Этого предмета нет в инвентаре."
"ERROR_CARDESIGN_ITEM_REQUIRE_LEVEL"	"На машине установлены детали, которые нельзя использовать из-за низкой репутации с фракцией «Механики». Снимите их, прежде чем идти в бой."
"ERROR_CARDESIGN_LEVI_NOT_ALLOWED"	"Левиафан недоступен в этом режиме."
"ERROR_CARDESIGN_NO_CABIN"	"У машины нет кабины."
"ERROR_CARDESIGN_POWER_EXCEEDED"	"Слишком высокое энергопотребление."
"ERROR_CARDESIGN_SKILL_COUNT_EXCEEDED"	"Слишком много модулей."
"ERROR_CARDESIGN_SKILL_NOT_UNIQUE"	"Используется два или более модуля."
"ERROR_CARDESIGN_UNWELDED_PART"	"Есть неприваренные детали."
"ERROR_CARDESIGN_WRONG_ITEM_ORIENTATION"	"Невозможно выйти в бой. Недопустимое расположение деталей."
"ERROR_CAR_EDITOR_CANT_LOAD_DESIGN"	"Не удалось собрать чертеж."
"ERROR_CAR_EDITOR_NOT_ACTIVE"	"Нельзя собрать чертеж, если редактор неактивен."
"ERROR_CHEATS_DISABLED"	"Читы отключены."
"ERROR_CLAN_ALREADY_IN_CLAN"	"Игрок уже состоит в клане."
"ERROR_CLAN_ALREADY_MEMBER"	"Игрок уже состоит в клане."
"ERROR_CLAN_CANT_INVITE_SELF"	"Невозможно пригласить себя в клан."
"ERROR_CLAN_CANT_KICK"	"Невозможно исключить этого игрока."
"ERROR_CLAN_CANT_KICK_SELF"	"Невозможно исключить себя из клана."
"ERROR_CLAN_CANT_LEAVE"	"Невозможно выйти из клана."
"ERROR_CLAN_DUPLICATE_NAME_TAG"	"Клан с этим названием/тегом уже существует."
"ERROR_CLAN_INVALID_NAME"	"В названии можно использовать только буквы латинского алфавита, цифры и пробел. Длина от 3 до 16 символов."
"ERROR_CLAN_INVALID_TAG"	"В теге можно использовать только буквы латинского алфавита. Длина от 2 до 4 символов."
"ERROR_CLAN_MAX_SIZE_REACHED"	"Достигнут максимальный размер клана."
"ERROR_CLAN_MOTD_TOO_LONG"	"Превышена максимально допустимая длина сообщения."
"ERROR_CLAN_NOT_INVITED"	"Вы не получали приглашения."
"ERROR_CLAN_NOT_IN_CLAN"	"Вы не состоите в клане."
"ERROR_CLAN_NOT_LEADER"	"Только лидер может совершить это действие."
"ERROR_CLAN_NOT_MEMBER"	"Игрок не состоит в клане."
"ERROR_CLAN_PLAYER_OFFLINE"	"Этот игрок не в сети."
"ERROR_CONNECTION_LOST"	"Потеряно соединение с сервером."
"ERROR_CONTENT_UPDATE_FAILED"	"Не удалось обновить содержимое."
"ERROR_CONTENT_UPDATE_NOT_AVAILABLE"	"Обновление содержимого недоступно."
"ERROR_CONTENT_UPDATE_WRITE_FILE_FAILED"	"Не удалось записать файл. Попробуйте предоставить больше свободного места."
"ERROR_CRAFT_CRAFTSMAN_BUSY"	"Мастер занят."
"ERROR_CRAFT_CRAFTSMAN_BUSY craft"	"Мастер уже производит деталь."
"ERROR_CRAFT_CRAFTSMAN_HIRED_ALREADY"	"Этот мастер уже нанят."
"ERROR_CRAFT_CRAFTSMAN_LOW_GRADE"	"Для производства нужен более высокий уровень мастера."
"ERROR_CRAFT_CRAFTSMAN_MAX_GRADE"	"Мастер уже максимального уровня."
"ERROR_CRAFT_CRAFTSMAN_NOT_HIRED"	"Мастер не нанят."
"ERROR_CRAFT_CRAFTSMAN_NOT_WORKING"	"Производство недоступно."
"ERROR_CRAFT_CRAFTSMAN_REQUIRE_FACTION"	"Мастер должен принадлежать определенной фракции."
"ERROR_CRAFT_CRAFTSMAN_REQUIRE_LEVEL"	"Мастер требует определенного уровня."
"ERROR_CRAFT_INSUFFICIENT_COMPONENTS"	"Недостаточно компонентов."
"ERROR_CRAFT_NOT_DONE"	"Процесс производства еще не завершен."
"ERROR_CRAFT_NO_STAMINA"	"У мастера кончилась энергия."
"ERROR_CRAFT_RECIPE_CRAFT_LIMIT"	"Вы произвели максимальное количество деталей этого типа."
"ERROR_CRAFT_VERSION_ERROR"	"Ошибка версии craft setting."
"ERROR_DAILY_LOGIN_ALREADY_REWARDED"	"Ежедневная награда уже получена."
"ERROR_DATABASE"	"Неизвестная ошибка базы данных."
"ERROR_DISCONNECT_CLIENT_QUIT"	"Клиент вышел из игры"
"ERROR_DOUBLE_LOGIN_KICKED"	"Зарегистрирован вход в ваш профиль с другого компьютера."
"ERROR_DSFARM_FAILED_TO_SPAWN"	"DS farm: не удалось запустить сервер."
"ERROR_DSFARM_NO_ACTIVE_SERVERS"	"DS farm: нет активных серверов."
"ERROR_DSFARM_NO_DS_PROCESS_FOUND"	"Внутренняя ошибка сервера."
"ERROR_DYE_NOT_FUSIBLE"	"Краска недоступна для смешивания."
"ERROR_FACTION_CHANGE_TIMEOUT"	"Нельзя слишком часто менять фракции."
"ERROR_FL_ALREADY_FRIENDS"	"Игрок уже в списке друзей."
"ERROR_FL_CANT_FRIEND_SELF"	"Нельзя добавить самого себя в список друзей."
"ERROR_FL_NOT_FOUND"	"Игрок не найден."
"ERROR_FL_NOT_FRIENDS"	"Игрока нет в списке друзей."
"ERROR_FL_REQUEST_ALREADY_SENT"	"Запрос на дружбу уже отправлен."
"ERROR_FL_WRONG_STATE"	"Невозможно добавить друга в черный список."
"ERROR_FL_YOU_ARE_IN_BLACK_LIST"	"Вы находитесь в черном списке этого выжившего."
"ERROR_FORBIDDEN_IN_MM_QUEUE"	"Невозможно выполнить это действие, находясь в очереди."
"ERROR_GAIJIN_2STEP_ERROR"	"Ошибка 2-ступенчатой авторизации Gaijin.Net."
"ERROR_GAIJIN_2STEP_REQUIRED"	"Требуется 2-ступенчатая авторизация Gaijin.Net."
"ERROR_GAIJIN_ALREADY_STEAM_LINKED"	"Ошибка привязки профиля. Обратитесь в техподдержку."
"ERROR_GAIJIN_BAD_CREDENTIALS"	"Указан неправильный пароль или логин для профиля Gaijin.Net."
"ERROR_GAIJIN_FROZEN"	"Профиль Gaijin.Net заблокирован. Пожалуйста, обратитесь в службу поддержки."
"ERROR_GAIJIN_GENERIC_ERROR"	"Ошибка Gaijin.Net."
"ERROR_GAIJIN_REFUND_KICKED"	"Вы были лишены доступа к игре, так как отменили покупку товара «$bundle_name$». Обратитесь в $url href=\"https://support.gaijin.net/hc/ru/categories/200612042-CROSSOUT\" text=\"службу поддержки\"$"
"ERROR_GAMEDATA_ERROR"	"Ошибка игровых данных."
"ERROR_GARAGE_SLOT_LEVIATHAN_EXPECTED"	"В этот слот можно собрать только чертеж Левиафана."
"ERROR_GARAGE_SLOT_NO_LEVIATHAN_EXPECTED"	"В этот слот нельзя собрать чертеж Левиафана."
"ERROR_GENERIC"	"Неизвестная ошибка."
"ERROR_GENERIC_NOT_FOUND"	"Соединение потеряно, попробуйте еще раз."
"ERROR_HTTP_ERROR_WITH_META"	"Ошибка с дополнительной детализацией."
"ERROR_HTTP_UNKNOWN"	"Неизвестная ошибка HTTP."
"ERROR_INSUFFICIENT_CONSUMABLE"	"Недостаточно расходников."
"ERROR_INSUFFICIENT_MONEY"	"Недостаточно средств. Продавайте добычу и произведенные предметы на рынке, чтобы получить деньги.|Или приобретайте валюту в магазине."
"ERROR_INSUFFICIENT_MONEY_PS4"	"Недостаточно средств. Продавайте добычу и произведенные предметы на рынке, чтобы получить деньги.|Или приобретайте валюту в PlayStation™Store."
"ERROR_INSUFFICIENT_MONEY_XBONE"	"Недостаточно средств. Продавайте добычу и произведенные предметы на рынке, чтобы получить деньги.|Или приобретайте валюту в Магазине Xbox."
"ERROR_INSUFFICIENT_REPAIR_KIT"	"Недостаточно ремкомплектов."
"ERROR_INSUFFICIENT_RESOURCES"	"Недостаточно ресурсов. Покупайте ресурсы на рынке или получайте их за участие в боях."
"ERROR_INSUFFICIENT_STAMINA"	"Недостаточно бензина для допуска в рейды. |Купите канистры на рынке или заработайте в PvP."
"ERROR_INVALID_CAR_DESIGN"	"Неверный чертеж."
"ERROR_INVALID_FINGERPRINT"	"Отказано в доступе из-за изменения конфигурации компьютера. Обратитесь в $url href=\"https://support.gaijin.net/hc/ru/categories/200612042-CROSSOUT\" text=\"службу поддержки\"$"
"ERROR_INVALID_FUNCTION"	"Неправильное имя функции."
