"2STEP_AUTHORIZATION_ENABLED"	"Ваш аккаунт защищен."
"TowerDefense_nomads_caption"	"Дрейк"
"TowerDefense_psycho_caption"	"Пифия"
"TowerDefense_Start_nomads_text"	"Нет, четырех турелей недостаточно для организации защиты добывающей станции. Что? Да у нас гости. Надеюсь, я был неправ..."
"TowerDefense_Start_nomads_text2"	"Конкуренты? Все как я и рассчитывал. Мы были готовы."
"TowerDefense_Start_nomads_text3"	"К нам направляются захватчики. Сохраняйте спокойствие. Их огневой мощи недостаточно для победы."
"TowerDefense_Start_psycho_text"	"Ветра нет, но пламя трепещет... Значит, жертва близко! Я слышу вас, никто не скроется от меня!"
"TowerDefense_Start_psycho_text3"	"Наконец-то прибыли желающие пасть в горнило войны. Я давно жду вас."
"TowerDefense_Start_scavengers_text"	"Вижу желающих умереть, пытаясь отбить нашу добывающую станцию. Давайте, попробуйте!"
"TowerDefense_Start_scavengers_text2"	"Кто-то пошел в лобовую атаку? Наконец-то, а то я уже засиделся без дела."
"TowerDefense_Win_nomads_text"	"Добывающая станция потеряна. Отступаем!"
"TowerDefense_Win_nomads_text2"	"Подготовьте мне списки всех, что участвовал в миссии. Всех. Я приму некоторые меры."
"TowerDefense_Win_nomads_text3"	"Все было рассчитано! Необъяснимо. Где я мог допустить ошибку?"
"TowerDefense_Win_psycho_text"	"Проклятье, все кончено! Если не мы, то несокрушимый пламень покарает вас за то, что вы сделали!"
"TowerDefense_Win_psycho_text2"	"Пламя, почему ты отвернулось от меня? Где я пошла не тем путем?"
"TowerDefense_Win_psycho_text3"	"Но пламя не может проиграть! НЕТ! Это невозможно!"
"TowerDefense_Win_scavengers_text2"	"Вот это да. Я еще никогда так не радовался проигрышу. Обязательно повторим, ладно?"
"traders_5lvl_vehicle_desc"	"Дальнобойная машина, присопособленная для длительного выживания в безводной степи. На такой технике первые Скитальцы когда-то отправились исследовать Пустоши."
"TRANSFER_STATE_LOADING_LEVEL"	"Загрузка уровня"
"TRANSFER_STATE_WAITING_FOR_PLAYERS"	"Ожидание игроков"
"TRANSFER_STATE_WAITING_FOR_SERVER"	"Соединение с сервером"
"TutorialAdvancedFactionLevel_1_Desc"	"Достигни $required_value$ уровня репутации с любой продвинутой фракцией."
"TutorialAdvancedFactionLevel_1_Name"	"Уровень продвинутой фракции"
"TutorialBaseFactionLevel_1_Desc"	"Достигни $required_value$ уровня репутации с фракцией «Механики»."
"TutorialBaseFactionLevel_1_Name"	"Уровень Механиков"
"TutorialBaseFactionLevel_2_Desc"	"Достигни $required_value$ уровня репутации с фракцией «Механики»."
"TutorialBaseFactionLevel_2_Name"	"Уровень Механиков"
"TutorialBaseFactionLevel_3_Desc"	"Достигни $required_value$ уровня репутации с фракцией «Механики»."
"TutorialBaseFactionLevel_3_Name"	"Уровень Механиков"
"TutorialBaseFactionLevel_4_Desc"	"Достигни $required_value$ уровня репутации с фракцией «Механики»."
"TutorialBaseFactionLevel_4_Name"	"Уровень Механиков"
"TutorialBaseFactionLevel_5_Desc"	"Достигни $required_value$ уровня репутации с фракцией «Механики»."
"TutorialBaseFactionLevel_5_Name"	"Уровень Механиков"
"TutorialBaseFactionLevel_6_Desc"	"Достигни $required_value$ уровня репутации с фракцией «Механики»."
"TutorialBaseFactionLevel_6_Name"	"Уровень Механиков"
"TutorialCraftRare_1_Desc"	"Произведи редкую деталь."
"TutorialCraftRare_1_Name"	"Производство детали"
"TutorialGearLevel_1_Desc"	"Собери бронемобиль из $required_value$ деталей."
"TutorialGearLevel_2_Desc"	"Собери бронемобиль из $required_value$ деталей."
"TutorialGearLevel_2_Name"	"Установка деталей "
"TutorialGearLevel_3_Desc"	"Собери бронемобиль из $required_value$ деталей."
"TutorialGearLevel_4_Desc"	"Собери бронемобиль из $required_value$ деталей."
"TutorialPveEasyWin_1_Desc"	"Выиграй в Легком Рейде."
"TutorialPveEasyWin_1_Name"	"Победа в Рейдах"
"TutorialPveHardWin_1_Desc"	"Выиграй {$required_value$;бой;боя;боев} в сложных рейдах."
"TutorialPveHardWin_1_Name"	"Победа в Рейдах"
"TutorialPveLeviathanComplete_1_Desc"	"Проведи бой во Вторжении."
"TutorialPveMediumWin_1_Desc"	"Выиграй {$required_value$;бой;боя;боев} в средних рейдах."
"TutorialPveMediumWin_1_Name"	"Победа в Рейдах"
"TutorialPvpComplete_1_Desc"	"Проведи {$required_value$;бой;боя;боев} в миссиях."
"TutorialPvpComplete_1_Name"	"Бои в Миссиях"
"TutorialPvpWin_1_Name"	"Победа в Миссиях"
"TutorialPvpWin_2_Name"	"Победа в Миссиях"
"TutorialPvpWin_3_Name"	"Победа в Миссиях"
"TutorialPvpWin_4_Name"	"Победа в Миссиях"
"TutorialSellScrap_1_Desc"	"Продай 100 Металлолома на рынке."
"TutorialSellScrap_1_Name"	"Продажа Металлолома"
"TutorialUniversalRating_1_Desc"	"Собери бронемобиль на $required_value$ Очков Мощи."
"TutorialUniversalRating_1_Name"	"Очки Мощи Машины"
"TutorialUniversalRating_2_Desc"	"Собери бронемобиль на $required_value$ Очков Мощи."
"TutorialUniversalRating_2_Name"	"Очки Мощи Машины"
"TW_god_decal_Name"	"Набор «Бог дорог»"
"TW_handsome_decal_Name"	"Набор «Всем нравятся негодяи»"
"TW_hit_decal_Name"	"Набор «Давай, стреляй!»"
"TW_look_decal_Name"	"Набор «На дорогу смотри!»"
"TW_Taiwan_decal_Name"	"Набор «Тайвань»"
"valentine_18_bundle_Vehicle_Desc"	"Именно на этой машине Бонни уже много лет катается по Пустошам в поисках своего возлюбленного, оставляя позади разбитые сердца и дымящиеся гильзы. Пусть вас не вводит в заблуждение ее легкомысленый цвет и прыгучая походка. Пони вполне способен постоять за себя."
"valentine_18_bundle_Vehicle_Name"	"Гарцующий пони"
"Valentine_quest_name"	"Романтика дорог"
"VIDEO_TUTUORIAL_LINK_WARNING"	"Внимание! Видео будет открыто в вашем браузере по умолчанию."
"Weekly_10_Hard_WinsAccumulators_desc"	"Выиграй {$required_value$;бой;боя;боев} в миссии «За аккумуляторами!»."
"Weekly_11_Hard_WinsScrapEpic_desc"	"Выиграй {$required_value$;бой;боя;боев} в тяжелых рейдах, в награду за которые выдается электроника."
"Weekly_13_Hard_WinsClanWars_desc"	"Выиграй {$required_value$;'Клановый бой';'Клановых боя';'Клановых боев'}."
"Weekly_1_Quests_desc"	"Выполни {$required_value$;'ежедневное задание';'ежедневных задания';'ежедневных заданий'}."
"Weekly_4_Easy_PrizePlaceMBP_desc"	"{$required_value$;раз;раза;раз} займи призовое место в потасовке «Королевская битва»."
"ww1_tank_bundle_vehicle_desc"	"Музейный экспонат, так и не дошедший во время первой мировой до линии фронта, но сослуживший добрую службу людям после катастрофы. Постоянный спутник лейтенанта Митчелла — героя Пустошей, который много лет помогает выжившим в самых тяжелых ситуациях. Внутри танка оборудовано несколько посадочных мест для экстренной эвакуации, а также всегда есть запасы чистой воды и продовольствия."
"ww1_tank_bundle_vehicle_name"	"Mark EX"
"xmas_bundle_Vehicle_Desc"	"Последний артефакт Фростов, уцелевший после того, как неизвестные сожгли их деревню вместе со всеми темными тайнами. Ледокол отлично держит удар и способен наносить серьезные повреждения прямо по курсу, но вот повернуть ему бывает не всегда легко."
"xmas_mini_Vehicle_bound_Desc"	"Отличная машина для того, чтобы в предвкушении праздника отправиться в лес за ритуальным деревом."
"xmas_mini_Vehicle_Desc"	"Отличная машина для того, чтобы в предвкушении праздника отправиться в лес за ритуальным деревом."
"#story_dialog_trap2_q04_Complete01"	"Защита уничтожена, но ворота слишком прочные. "
"#story_dialog_trap2_q04_Complete02"	"Думаю, нам снова понадобится помощь специалиста."
"ADVENTURE_CONDITIONS_FAILED"	"Недостаточно высокая репутация с фракцией \"Механики\"."
"ADVENTURE_REQUIRE_TITLE"	"Требования:"
"ADVENTURE_REWARD_TITLE"	"Награда:"
"ADVENTURE_TASK_CANCEL_BTN"	"Отменить задание"
"ADVENTURE_TASK_DETAILS_BTN"	"Подробнее"
"AH_HOLD_RESTRICTION"	"Операции с редкими товарами осуществляются только через окно торговли, а не через быструю покупку или продажу."
"event_notification_desc_CHINA_CRAFT"	"Прямиком из трущоб Гонконга! Контрабандный товар! Только сегодня, только у нас."
"event_notification_desc_LEVEL_RUSH"	"Больше никогда! И меньше никогда!"
"event_notification_title_CHINA_CRAFT"	"Будущее в прошлом. Это Китай!"
"event_notification_title_LEVEL_RUSH"	"Праздник кача уже тут!"
"Exploration_Comm_Respawn_1"	"В следующий раз будь внимательнее..."
"Exploration_Comm_Respawn_2"	"Я, конечно, отличный механик, но однажды не смогу твою тачку по кускам собрать..."
"Exploration_Comm_Respawn_3"	"Некоторым достается все веселье. А мне чинить за вами машины. "
"Exploration_Comm_Respawn_4"	"Вот поэтому я в бой и не иду. В гараже безопаснее как-то."
"Exploration_Comm_Respawn_5"	"Да что вы там делаете с машинами? Сражаетесь на них что ли?"
"Exploration_PublicQuest_Chase_hud_Desc"	"Груз не должен добраться до места назначения. Уничтожь фуру"
"Exploration_PublicQuest_Defense_hud_desc"	"Нужно любой ценой защитить объект от уничтожения"
"frenzied_true_boss_name"	"Одегон"
"HUD_EVENT_PUBLIC_COMPLETE"	"Событие завершено"
"HUD_EVENT_PUBLIC_FAIL"	"Событие провалено"
"HUD_EVENT_STORY_COMPLETE"	"Приключение выполнено"
"HUD_EVENT_STORY_FAIL"	"Приключение провалено"
"HUD_MARKER_TEXT_ADVENTURE_PUBLIC"	"Совместное задание"
"HUD_MARKER_TEXT_ADVENTURE_STORY"	"Основное задание"
"HUD_MARKER_TEXT_PATROL_DROP"	"Зона эвакуации груза"
"Mask_19_name"	"Подруга друга"
"Mask_20_Desc"	"Живая легенда среди разведчиков и исследователей, Верхолаз Боб прославился тем, что может достать что угодно хоть из преисподней. Его прошлое теряется в Пустошах, как следы умелого хищника.|Если верить одной из баек, Боб был первым смельчаком, решившимся в одиночку штурмовать знаменитый отель «Королева Роз», захваченный гигантской колонией ядовитых насекомых. Только ему хватило навыков и храбрости совершить опаснейшее восхождение по внешней стене здания, попасть на верхний этаж и получить драгоценный груз. С тех пор все знают — если нужно достать хоть лом со дна ртутного озера, то обращайся к Бобу."
"Mask_20_Name"	"Боб"
"Mask_4_name"	"Чингачгук"
"story_dialog_Trap1_q03_Complete01"	"Груз у нас! Теперь надо разместить устройство слежения внутри фуры."
"story_dialog_Trap1_q03_Complete02"	"Вот так. Если Опустошитель захватит груз, мы сможем его выследить."
"SETTING_language_chinese"	"$texture name lang_cn ignoreFontSize$"
"SETTING_language_english"	"$texture name lang_en ignoreFontSize$"
"SETTING_language_french"	"$texture name lang_fr ignoreFontSize$"
"SETTING_language_german"	"$texture name lang_de ignoreFontSize$"
"SETTING_language_japanese"	"$texture name lang_jp ignoreFontSize$"
"SETTING_language_korean"	"$texture name lang_kr ignoreFontSize$"
"SETTING_language_russian"	"$texture name lang_ru ignoreFontSize$"
"SETTING_language_spanish"	"$texture name lang_es ignoreFontSize$"
"SETTING_language_thai"	"$texture name lang_tha ignoreFontSize$"
"Autocannon_Fire_Increasing_DESC"	"Чем дольше стреляет орудие, тем выше его скорострельность."
"Black_Dye"	"Набор: Тьма"
"Black_Dye_Desc"	"Черный и трафареты."
"Cabin_ArmoredPickup_Desc"	"Этот пикап пережил столько модификаций, что стал похож на броневик.||Универсальная кабина с пониженной скоростью в угоду прочности."
"Cabin_ArmoredPickup_Name"	"Медведь"
"Cabin_Big_Desc"	"Когда-то такие кабины были ключевым атрибутом в ритуалах секты Фростов. Внутри поддерживалась отрицательная температура и играла громкая пафосная музыка. Но если выкинуть все лишнее, появляется достаточно места для брони и дополнительного оборудования."
"Cabin_Big_Name"	"Холодильник"
"Cabin_Buggy_Small_desc"	"Пример того, как из старого хлама и газонокосилки можно собрать кабину, пригодную для выживания в Пустошах.||Высокая скорость, но минимальная грузоподъемность."
"Cabin_Buggy_Small_name"	"Кастет"
"Cabin_DronSpawn_Desc"	"С такой кабиной поражение может обернуться победой! И ей не страшны серебряные пули."
"Cabin_Moonwalker_Desc"	"Кабина от многофункционального исследовательского аппарата, переоборудованная в основу для боевой машины."
"Cabin_Moonwalker_Name"	"Пилигрим"
"Cabin_Moonwalker_RaiderSkin_Desc"	"Эта кабина напоминает голову огромного динозавра, который скалит свои клыки и щурит глаза в поисках добычи."
"Cabin_Riviera_Desc"	"Классика, пережившая десятки модификаций, идеально подходит для стильного выживания в тяжелых условиях.||Универсальная кабина с хорошей скоростью и небольшими размерами."
"Cabin_Riviera_name"	"Хот-род"
"Cabin_Satellite_Desc"	"Управляющий отсек экспериментального летательного аппарата, приспособленный для перемещения по поверхности."
"Cabin_Satellite_Name"	"Квант"
"Cabin_Tribal_Desc"	"Одна из тех кабин, в которых Огнепоклонники мчатся по Пустошам на крыльях ночи."
"Cabin_Zubilo_Desc"	"Опытный образец, угнанный прямо с завода и несколько раз кустарно переделанный для нелегальных соревнований.||Универсальная кабина с хорошей скоростью."
"Cabin_Zubilo_Name"	"Фаворит"
"CarPart_AlphaSign_Big_Desc"	"Большой и важный знак, вызывающий зависть у каждого встречного выжившего."
"CarPart_AlphaSign_Big_Name"	"Большой знак «Альфа»"
"CarPart_AlphaSign_Small_Desc"	"Небольшой, но уникальный знак. Не в размере дело."
"CarPart_AlphaSign_Small_Name"	"Малый знак «Альфа»"
"CarPart_AmbulanceLights_desc"	"Чудом сохранившаяся после катастрофы мигалка с сиреной, оповещающая всех вокруг, что нужно срочно уступить дорогу."
"CarPart_april_balloon_name"	"Шарокеты"
"CarPart_ArmorPlate1_rare_Desc"	"Импровизированная броня для машины."
"CarPart_ArmorPlate1_rare_Name"	"Кусок забора"
"CarPart_ArmorPlate_Grid1_Desc"	"Решетка."
"CarPart_ArmorPlate_Grid1_Name"	"Решетка"
"CarPart_ArmorPlate_Grid2_rare_Desc"	"Решетка, оторванная от автомобиля. Простреливается насквозь."
"CarPart_ArmorPlate_Grid2_rare_Name"	"Решетка радиатора"
"CarPart_ArmorPlate_Plank_Desc"	"Кусок металла, приспособленный для защиты бронемобиля."
"CarPart_ArmorPlate_Plank_Name"	"Планка"
"CarPart_ArmorPlate_Square_desc"	"Кусок металла, приспособленный для защиты бронемобиля."
"CarPart_ArmorPlate_Square_name"	"Крышка жестяная"
"CarPart_ArmorPlate_Thorns1_Desc"	"Наносит повышенные повреждения при столкновении."
"CarPart_ArmorPlate_Thorns1_Name"	"Шипы круг"
"CarPart_ArmorPlate_Thorns2_Desc"	"Наносит повышенные повреждения при столкновении."
"CarPart_ArmorPlate_Thorns2_Name"	"Шипы квадрат"
"CarPart_ArmorPlate_Trapdoor_epic_desc"	"Кусок металла, приспособленный для защиты бронемобиля."
"CarPart_ArmorPlate_Trapdoor_epic_name"	"Канализационный люк"
"CarPart_Armorplate_VanCover_rare_Desc"	"Кусок металла, приспособленный для защиты бронемобиля."
"CarPart_Armorplate_VanCover_rare_Name"	"Крышка квадратная"
"CarPart_ArmorSkull_Desc"	"Череп, заключенный в броню — показательное для кнехтов украшение."
"CarPart_ArmorSkull_Name"	"Бронечереп"
"CarPart_ArmorSkull_Piece_desc"	"Фрагмент для сборки украшения «Бронечереп»"
"CarPart_ArmorSkull_Piece_name"	"Фрагмент «Бронечереп»"
"CarPart_AutoGuidedCourseGunBurst_epic_desc"	"Залп неуправляемых ракет.|Расположенны на поворотной турели."
"CarPart_AutoGuidedCourseGunBurst_epic_name"	"Дракон"
"CarPart_AutoGuidedCourseGun_epic_Desc"	"Курсовая ракета, сложна в использовании, но при случае может стать отличным инструментом для уничтожения врага. В каждом залпе 5 ракет."
"CarPart_AutoGuidedCourseGun_epic_Name"	"Сверчок 1М"
"CarPart_AutoGuidedCourseGun_rare_desc"	"Курсовая ракета, сложна в использовании, но при случае может стать отличным инструментом для уничтожения врага. В каждом залпе 2 ракеты."
"CarPart_AutoGuidedCourseGun_rare_name"	"РК Оса"
"CarPart_AviaBox2x1x2_Desc"	"Обрезок обшивки самолета."
"CarPart_AviaBox2x1x2_Name"	"Панель авиа малая"
"CarPart_AviaBox2x1x4_Desc"	"Обрезок обшивки самолета."
"CarPart_AviaBox2x1x4_Name"	"Панель авиа большая"
"CarPart_AviaBox4x1x2_Desc"	"Обрезок обшивки самолета."
"CarPart_AviaBox4x1x2_Name"	"Панель авиа"
"CarPart_AviaBox4x1x4_Desc"	"Обрезок обшивки самолета."
"CarPart_AviaBox4x1x4_Name"	"Панель авиа большая"
"CarPart_AviaBoxSlopeCorner4x1x2_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaBoxSlopeCorner4x1x2_Name"	"Уголок авиа"
"CarPart_AviaRadial2x2x1_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadial2x2x1_Name"	"Скос покатый узкий"
"CarPart_AviaRadial2x2x2_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadial2x2x2_Name"	"Скос покатый"
"CarPart_AviaRadial2x2x4_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadial2x2x4_Name"	"Скос покатый широкий"
"CarPart_AviaRadialCorner2x2x2_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaRadialCorner2x2x2_Name"	"Уголок покатый"
"CarPart_AviaRadialFender2x2x2_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadialFender2x2x2_Name"	"Нос самолета"
"CarPart_AviaRadialSlope4x2x4_Desc"	"Обрезок передней части корпуса самолета."
"CarPart_AviaRadialSlope4x2x4_Name"	"Скос авиа двойной"
"CarPart_AviaSlope2x1x1_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaSlope2x1x1_Name"	"Скос авиа узкий"
"CarPart_AviaSlope2x1x2_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaSlope2x1x2_Name"	"Скос авиа"
"CarPart_AviaSlope2x1x4_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaSlope2x1x4_Name"	"Скос авиа широкий"
"CarPart_AviaWing4x1x2_Desc"	"Обрезок передней части крыла самолета."
"CarPart_AviaWing4x1x2_Name"	"Уголок из крыла мини"
"CarPart_AviaWing4x1x3_Desc"	"Обрезок корпуса самолета."
"CarPart_AviaWing4x1x3_Name"	"Уголок из крыла"
"CarPart_AviaWing8x1x3_Desc"	"Передняя часть основания крыла."
"CarPart_AviaWing8x1x3_Name"	"Крыло узкое"
"CarPart_AviaWing8x1x4_Desc"	"Задняя часть основания крыла."
"CarPart_AviaWing8x1x4_Name"	"Основание крыла"
"CarPart_Avia_fender_l_desc"	"Металлический борт летательного аппарата."
"CarPart_Avia_fender_l_name"	"Авиа борт левый"
"CarPart_Avia_fender_r_desc"	"Металлический борт летательного аппарата."
"CarPart_Avia_fender_r_name"	"Авиа борт правый"
"CarPart_Avia_lafet_desc"	"Каркасный лафет для установки орудий. Простреливается насквозь."
"CarPart_Avia_lafet_name"	"Лафет"
"CarPart_Bag03_desc"	"Что скажет больше о чувстве стиля, чем этот прекрасный мешок."
"CarPart_Bag03_name"	"Мешок"
"CarPart_Balloon_Desc"	"Очень ценный и редкий предмет украшения, который хочет заполучить каждый. Иногда становится причиной вооруженных конфликтов."
"CarPart_Balloon_Name"	"Тыквошарики"
"CarPart_Banner_Base_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Механиков более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Base_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Механиков более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Base_minor_Name"	"Флаг Механиков"
"CarPart_Banner_Base_Name"	"Штандарт Механиков"
"CarPart_Banner_Firestarters_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Огнепоклонников более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Firestarters_major_Name"	"Штандарт Огнепоклонников"
"CarPart_Banner_Firestarters_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Огнепоклонников более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Firestarters_minor_Name"	"Флаг Огнепоклонников"
"CarPart_Banner_Frenzied_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Бешеных более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Frenzied_major_Name"	"Штандарт Бешеных"
"CarPart_Banner_Frenzied_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Бешеных более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Frenzied_minor_Name"	"Флаг Бешеных"
"CarPart_Banner_Military_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Степных Волков более значимой. ||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Military_major_Name"	"Штандарт Степных Волков"
"CarPart_Banner_Military_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Степных Волков более значимой. ||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Military_minor_Name"	"Флаг Степных Волков"
"CarPart_Banner_Scavengers_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Мусорщиков более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scavengers_major_Name"	"Штандарт Мусорщиков"
"CarPart_Banner_Scavengers_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Мусорщиков более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scavengers_minor_Name"	"Флаг Мусорщиков"
"CarPart_Banner_Scientists_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Детей рассвета более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scientists_major_Name"	"Штандарт Детей рассвета"
"CarPart_Banner_Scientists_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Детей рассвета более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Scientists_minor_Name"	"Флаг Детей рассвета"
"CarPart_Banner_Spears_Desc"	"Эта конструкция из копий и черепов — вершина творческой мысли одной из радикальных банд."
"CarPart_Banner_Spears_Name"	"Копья"
"CarPart_Banner_Spears_Piece_desc"	"Фрагмент для сборки украшения «Копья»"
"CarPart_Banner_Spears_Piece_name"	"Фрагмент «Копья»"
"CarPart_Banner_Vagabonds_major_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Скитальцев более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Vagabonds_major_Name"	"Штандарт Скитальцев"
"CarPart_Banner_Vagabonds_minor_Desc"	"Гордо поднятое знамя улучшает мораль и делает каждую победу во славу Скитальцев более значимой.||Дополнительная репутация начисляется, если фракция активна. Можно установить только один флаг."
"CarPart_Banner_Vagabonds_minor_Name"	"Флаг Скитальцев"
"CarPart_Barrel_Desc"	"Позволяет получать в миссиях бензин. Дает 5 бензина. Эффект от нескольких бочек не складывается.|При уничтожении взрывается и наносит @ffff0000$death_blast_damage$@ffffffff урона в радиусе @ffff0000$death_blast_radius$@ffffffff м."
"CarPart_Barrel_Name"	"Топливная бочка"
"CarPart_BigBag_Desc"	"Больше мешков богу мешков!"
"CarPart_BigBag_Name"	"Дорожная сумка"
"CarPart_BladeWing_double_Desc"	"Наносит повышенные повреждения при столкновении."
"CarPart_BladeWing_double_Name"	"Двойной лезвиекрыл"
"CarPart_BladeWing_epic_Desc"	"Наносит повышенные повреждения при столкновении."
"CarPart_BladeWing_epic_Name"	"Лезвиекрыл"
"CarPart_Blade_rare_Desc"	"Наносит повышенные повреждения при столкновении."
"CarPart_Blade_rare_Name"	"Тесак"
"CarPart_Booster_desc"	"Пока активен, толкает машину в заданном направлении. Может разогнать машину и даже подбросить вверх. Тратит топливо и требует времени на охлаждение."
"CarPart_Booster_epic_Desc"	"Пока активен, толкает машину в заданном направлении. Может разогнать машину и даже подбросить вверх. Тратит топливо и требует времени на охлаждение."
"CarPart_Booster_epic_Name"	"Гермес"
"CarPart_Booster_name"	"Ускоритель авиа"
"CarPart_Booster_rare_desc"	"Пока активен, толкает машину в заданном направлении. Может разогнать машину и даже подбросить вверх. Тратит топливо и требует времени на охлаждение."
"CarPart_Booster_rare_Name"	"Ускоритель ракетный"
"CarPart_BoxFrame2x1_desc"	"Деталь из металлических труб."
"CarPart_BoxFrame2x1_name"	"Ящик из трубок малый"
"CarPart_BoxFrame2x2_desc"	"Деталь из металлических труб."
"CarPart_BoxFrame2x2_name"	"Ящик из трубок средний"
"CarPart_BoxSolid2x1_desc"	"Металлическая деталь конструкции."
"CarPart_BoxSolid2x1_name"	"Ящик малый"
"CarPart_BoxSolid2x2_desc"	"Металлическая деталь конструкции."
"CarPart_BoxSolid2x2_name"	"Ящик средний"
"CarPart_BoxSolid2x2_practice_Desc"	"Разрушаемая учебная деталь. Нельзя продать, нельзя ремонтировать.|Повышает прочность машины на @ff00ff00$cabin_health$."
"CarPart_BoxSolid2x2_practice_Name"	"Ящик 1 учебный"
"CarPart_BoxSolid4x4_practice_Desc"	"Разрушаемая учебная деталь. Нельзя продать, нельзя ремонтировать.|Повышает прочность машины на @ff00ff00$cabin_health$."
"CarPart_BoxSolid4x4_practice_Name"	"Ящик 2 учебный"
"CarPart_BoxSolid4x4_rare_Desc"	"Металлическая деталь конструкции."
"CarPart_BoxSolid4x4_rare_Name"	"Ящик большой"
"CarPart_Brace_Desc"	"Не бывает слишком мелких деталей, когда речь идет о красоте."
"CarPart_Brace_Name"	"Скоба"
"CarPart_Brakelights1_Desc"	"Кажется, что больше нет правил, и не надо никого предупреждать о торможении. Но невозможно сопротивляться магии мигающих красных огоньков..."
"CarPart_Brakelights1_Name"	"Стоп-сигнал"
"CarPart_Brakelights2_Desc"	"Кажется, что больше нет правил, и не надо никого предупреждать о торможении. Но невозможно сопротивляться магии мигающих красных огоньков..."
"CarPart_Brakelights2_Name"	"Задний фонарь"
"CarPart_Buggy_bumper_desc"	"Деталь быстрой и смертоносной бронемашины."
"CarPart_Buggy_bumper_name"	"Бампер багги"
"CarPart_Buggy_fender_desc"	"Деталь быстрой и смертоносной бронемашины."
"CarPart_Buggy_fender_name"	"Крыло багги левое"
"CarPart_Buggy_fender_r_desc"	"Деталь быстрой и смертоносной бронемашины."
"CarPart_Buggy_fender_r_name"	"Крыло багги правое"
"CarPart_Buggy_Grid10_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid10_Name"	"Черпак"
"CarPart_Buggy_Grid11_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid11_Name"	"Костыль левый"
"CarPart_Buggy_Grid1_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid1_Name"	"Мангал"
"CarPart_Buggy_Grid2_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid2_Name"	"Фритюрница"
"CarPart_Buggy_Grid3_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid3_Name"	"Костыль правый"
"CarPart_Buggy_Grid4_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid4_Name"	"Хвост багги"
"CarPart_Buggy_Grid5_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid5_Name"	"Горбатый"
"CarPart_Buggy_Grid6_Desc"	"Различные самодельные трубчатые конструкции."
"CarPart_Buggy_Grid6_Name"	"Расческа"
