"2STEP_AUTHORIZATION_ENABLED"	"บัญชีของคุณได้รับการรักษาความปลอดภัยแล้ว"
"Mask_military_bundle_1_name"	"Spider"
"Mask_PSN_Exclusive_pack_name"	"Hunter"
"mask_racer_desc"	"Jose เป็นคนมีชื่อเสียงเนื่องจากเขาเป็นคนรักความยุติธรรมและบุคลิกที่โดดเด่น แต่ชีวิตเขาไม่ง่ายอย่างที่คิด เขาเรียนรู้ทุกสิ่งจากการต่อสู้ที่แข็งแกร่งและวิ่งให้ไวขึ้นไปอีก โดยเขาเติบโตมาในสถานเลี้ยงเด็กกำพร้าและต้องสู้กับพวกที่ชอบรังแกเขาเพื่อปกป้องรูปภาพนักแข่งคนโปรดของเขาและเขาเองก็ชอบฝันถึงรถซุปเปอร์คาร์อยู่บ่อยๆ การเกิดภัยพิบัติเป็นส่วนช่วยให้เขาสามารถหลบหนีออกมาจากสถานที่ที่ประดุจคุกเก่าๆแห่งนี้ได้ ท่ามกลางฝันร้ายของภัยพิบัติ CROSSOUT เขาได้พบกับรถแทรคเตอร์เก่าๆที่โดนทิ้งไว้และเขาไม่ลังเลแม้แต่น้อยที่จะไปเอามันมา นั่นคือรถคันแรกของ Jose จากนั้นเขาได้ปรับแต่งมันอีกหลายต่อหลายครั้งและมันก็กลายเป็นซุปเปอร์คาร์ในที่สุดนอกจากนี้มันยังถูกปรับให้เข้ากับสภาพแวดล้อมอันแสนเลวร้ายนี้ด้วยซึ่งสามารถเข้าปะทะกับศัตรูที่แข็งแกร่งได้มากมายและมันยังเร็วมากๆเสียด้วย"
"mask_racer_name"	"Jose Ortega"
"Mask_ratking_desc"	"'Rat King' ของ Kenneth เป็นหนึ่งในผู้รอดชีวิตที่อันตรายที่สุดที่มีพรสวรรค์ในการใช้ความคิดที่มีความซับซ้อนและสัญชาตญาณที่แข็งแกร่งเขาไม่ได้พยายามที่จะเป็นศูนย์กลางของเหตุการณ์ความสุขที่ยิ่งใหญ่ที่สุดสำหรับพระมหากษัตริย์คือการสร้างความอลวนและเฝ้ามองขณะที่มันพัฒนาขึ้น , การวาดภาพให้มากที่สุดเท่าที่เป็นไปได้ในระเบียบเลือด 'Battle Royale' กลายเป็นศูนย์รวมของปรัชญาชีวิต Kenneth จุดโฟกัสของทุกความลับของเขา: ร่วมกับผู้ช่วยของเขาเขาสร้างสนามเด็กเล่นพบคนแรกที่มีส่วนร่วมในความบันเทิงบ้าของเขาและจากนั้นก็เข้ารับบทบาทของ สังเกตการณ์และแฟนตื่นเต้น ความหลงใหลในการสร้างและการสังเกตความสับสนวุ่นวายเป็นสิ่งที่คล้ายคลึงกับ pyromania จุดมุ่งหมายคือการไม่เผาผลาญคนให้มากที่สุดเท่าที่จะทำได้ แต่เพื่อดูว่าเกิดอะไรขึ้น"
"Mask_ratking_name"	"The Rat King"
"Mask_Scavengers_1_Desc"	"ความกล้าหาญและเด็ดเดี่ยวของกล้ามเนื้อทุกมัดที่บึกบึนนั้น เป็นเพียงรูปลักษณ์ภายนอก เขาฉลาดกว่าที่คิด ต้องการใช้สถานที่ของ Scar AB หรืออาจถึงที่สูงขึ้น"
"Mask_Scavengers_1_name"	"Dozer"
"Mask_Scavengers_2_Desc"	"มีสายตาที่สมบูรณ์แบบในความมืดสนิท มีสัมผัสกลิ่นมหัศจรรย์เมื่อได้กลิ่นกระสุน"
"Mask_Scavengers_2_name"	"Owl"
"Mask_Scavengers_3_Desc"	"เกือบตายตอนที่รถถูกไฟไหม้อย่างรุนแรง อุณหภูมิร่างกายของเขาไม่เคยลดต่ำกว่า 40 องศา ซึ่งมันเป็นเรื่องดีที่สามารถมองไปที่ดวงอาทิตย์ไดเโดยไม่ต้องกระพริบตา"
"Mask_Scavengers_3_name"	"Thermite"
"Mask_Scientists_1_Desc"	"หนึ่งในผู้ประดิษฐ์และนักทดสอบชุดสูทป้องกันที่คุณจะไม่ได้พบกับ Dawn's Child without ต้นแบบเป็นเรื่องยุ่งยากและอึดอัด แต่มันช่วยชีวิตและจิตใจของจรวดดังนั้นเธอจึงตัดสินใจที่จะไม่ล่อลวงชะตากรรมและปฏิเสธที่จะเปลี่ยนเป็นโมเดลที่ทันสมัยมากขึ้น"
"Mask_Scientists_1_name"	"Rocket"
"Mask_Scientists_2_Desc"	"บ้าคลั่งเกี่ยวกับนิยายวิทยาศาสตร์และการ์ตูนตั้งแต่วัยเด็ก แน่นอนว่าเขาอยากเป็นนักบินอวกาศ แต่การบาดเจ็บในวัยรุ่นของเขานั้นปิดถนนสายนี้ หลังจากที่ภาวะซึมเศร้าและความพยายามที่ไม่ประสบความสำเร็จหลายครั้งที่จะได้งานเขาได้เป็นเป็นยามรักษาความปลอดภัยในห้องปฏิบัติการ และเมื่อเกิดความแปลกประหลาดกับอวกาศและเวลาเขาก็กลายเป็นหนึ่งในผู้ที่เตรียมพร้อมสำหรับการเปลี่ยนแปลงและเข้าสู่หัวใจของ Dawn's Children"
"Mask_Scientists_2_name"	"Spike"
"Mask_Scientists_3_Desc"	"อัจฉริยะสติเฟื่อง เขาเป็นคนที่ประสบความสำเร็จในการทำงานที่มั่นคงและเข้าใจกลศาสตร์ของสิ่งประดิษฐ์ต่างๆที่เหลืออยู่โดย gadgeteers ซึ่งทำให้เด็กสามารถเข้าถึงระดับเทคโนโลยีที่มองไม่เห็นได้ก่อนหน้านี้"
"Mask_Scientists_3_name"	"Daedalus"
"Mask_scientists_bundle_1_Desc"	"หนึ่งในไม่กี่ gadgeteers ที่มีการจัดการเพื่อความอยู่รอดการทดสอบของสิ่งประดิษฐ์ของตัวเอง แต่จุดประกายความอัจฉริยะยังคงย่างสมองของเขาได้ดีและทำให้บุคลิกภาพแล้วไม่สามารถทนทานของเขาแย่ลง|และเขาก็มีเพื่อนที่ตรงกับ: ได้รับความเคารพไม่เพียง แต่จากกลุ่มของ Nomads รุนแรงและ Lunatic Warlord แต่ยังมีผู้บุกรุกที่อันตรายเป็นพิเศษหลายคน พวกเขาสร้างรถพร้อมกับหนึ่งในนั้น - Crow ได้รื้อรถสปอร์ตคันหนึ่งของเขาสำหรับเครื่องนี้และ Lloyd สอนให้มันบิน|แต่ Lloyd ล้มเหลวกับ Dawn's Children พวกเขากล่าวว่าพวกเขายืมสิ่งประดิษฐ์หลายอย่างของเขาและไม่ได้แบ่งปัน ดังนั้นตอนนี้ลอยด์กำลังพยายามสร้างเครื่องเวลาเพื่อลงโทษพวกเขาก่อนที่พวกเขาจะทำร้ายเขา ผู้ชายตลก"
"Mask_scientists_bundle_1_name"	"Lloyd"
"Mask_Soldier_1_Desc"	"ในรถหุ้มเกราะที่น่าประทับใจของเขาพลโทมิทเชลล์ได้ช่วยชีวิตพลเรือนจากสถานที่ที่เป็นอันตรายหลายทศวรรษเขาไม่เคยโจมตีก่อน แต่อย่างรวดเร็วยับยั้งความพยายามที่จะหยุดเขา|เช่นเดียวกับคุณปู่ของเขาผู้ดูแลพิพิธภัณฑ์ผู้ซึ่งย้ายครอบครัวของเขาไปยังรถถังเก่าๆ จากมหานครที่กำลังจะตายมิตเชลล์ชำนาญการทำงานด้วยเทคโนโลยีและให้ความสำคัญกับชีวิตมนุษย์"
"Mask_Soldier_1_Name"	"Lieutenant Mitchell"
"Mask_Starter_pack_Desc"	"ลูกสาวของโจรที่มีชื่อเสียงคนหนึ่งเธอเกิดมาหลังจากเกิดภัยพิบัติและแสดงความสนใจอย่างมากในอาวุธปืนและอาวุธระยะประชิดมาตั้งแต่เด็ก|หลังจากที่พ่อของหล่อนฆ่าพ่อของหล่อนหนีเข้าไปในดินแดนที่เธอใช้เวลาหลายปีเพื่อฝึกทักษะการต่อสู้ของเธอ และเมื่อเธอพร้อมแล้วเธอก็กลับมาและประหารชีวิตศัตรูทั้งหมดของพ่อของเธอ|และเมื่อไม่มีใครที่จะได้รับแม้กระทั่งกับเธอกลายเป็นทหารรับจ้างโดยไม่ต้องกลัวและมโนธรรม|สิ่งเดียวที่ช่วยให้สติของเธอคือผู้เล่นที่มีเพลงเก่าๆ และการซ่อมและชาร์จไฟใหม่ก็กินได้เป็นส่วนใหญ่ในรายได้ของเธอ"
"Mask_Starter_pack_name"	"Vicky"
"Mask_Steam_Desc"	"Aleph|เขาได้ยินเสียงเรียกครั้งแรกเมื่อมีแสงสีฟ้าสว่างวาบขึ้นที่ข้อมือ จากนั้นเขาก็เริ่มสร้างเครื่องจักรต่างๆโดยการเก็บไอเทมจากในสนามรบมาประกอบเข้าด้วยกันและเรียกว่ามัน Bloodhound และเมื่อดวงตาของเขาเริ่มเรืองแสงเป็นสีฟ้าในที่มืด เขาก็มุ่งหน้าไปยัง Wasteland ทันที"
"Mask_Steam_name"	"Aleph"
"Mask_Traders_1_Desc"	"บางคนเชื่อว่าเขาซ่อนใบหน้าของเขาภายใต้หน้ากากมหึมาเพราะมีชื่อเสียงมาก"
"Mask_Traders_1_name"	"Jeff"
"Mask_Traders_2_Desc"	"หนึ่งในคนที่อยู่ในโรงพยาบาลในช่วงเริ่มต้นของภัยพิบัติ เขาคิดว่าตัวเองเป็นคนแรกที่ต้องทนทุกข์ทรมานจากเชื้อไวรัส"
"Mask_Traders_2_name"	"Zero"
"Mask_Traders_3_Desc"	"เป็นแม่มดมาหลายปี เธอยังคงใช้เวทมนตร์ของเธอ แต่มีความถูกต้องมากกว่าในชีวิตที่ผ่านมา"
"Mask_Traders_3_name"	"Hag"
"Mask_Uncle_Sam_Desc"	"พนักงานขายที่กล้าได้กล้าเสียจากฝั่งคาบสมุทร ในช่วงภัยพิบัติเขาถูกตัดออกจากบ้านเกิดของเขา แต่เขาไม่ได้สูญเสียจิตวิญญาณของเขา เขาเดินทางมากและได้ทำการค้ากับกลุ่มทั้งหมดในครั้งเดียว"
"Mask_Uncle_Sam_name"	"Goodman"
"Mask_Valentine2018_Desc"	"กำหนกชะตาเองใส่อาวุธในมือที่อ่อนแอของ Bonnie และใส่พลังไว้ที่วงล้อใครสนใจเกี่ยวกับผู้คนนับล้านที่ตายแล้วเมื่อลมโชยขึ้นมาบนใบหน้าของคุณปอดเต็มไปด้วยดินปืนและหัวใจเต็มไปด้วยความรักและใคร สามารถประณามพวกเขาสำหรับการรับของคนอื่นข้าวของและสำหรับ raids คลังสินค้าอาหารและสำหรับการเสียชีวิตของโหลคู่ถึงวาระ?|แต่คนชั่วร้ายพยายามดักจับคนรักเริ่มติดตามพวกเขาและล่าสัตว์เหล่านั้น Bonnie รู้ว่าพวกเขาไม่อาจมีส่วนร่วมได้, เพียง แต่กับพระองค์เท่านั้นที่เธอมีชีวิตอยู่. แต่เขาต้องการที่จะช่วยชีวิตเธอให้มากและเธอก็ไม่สามารถปฏิเสธเขาได้"
"Mask_Valentine2018_name"	"Bonnie"
"Mask_XBOX_Exclusive_pack_name"	"Caliban"
"Mask_Xmas2017_1_Desc"	"Nick เป็นสมาชิกของเผ่า Frost ที่รอดชีวิตมาได้หลังจากเกิดไฟไหม้ลึกลับในหมู่บ้านพื้นเมืองของเขาแล้วเขาก็เดินเข้าไปในป่าเพื่อรับพิธีกรรมและถูกนำออกไปในการค้นหาของเขาและเมื่อเขากลับถึงบ้านเขาพบถ่านหินเท่านั้น และอีกสองสามเส้นทางที่นำไปสู่ความสูญเปล่า|นิคสาบานไม่ให้ปิดพวงมาลัยและไม่ต้องถอดพิธีกรรมออกจากหลังคาจนกว่าจะพบผู้ลอบวางเพลิง "
"Mask_Xmas2017_1_name"	"Nick Frost"
"Mask_Xmas2017_bundle_Desc"	"Jack เป็นหนึ่งในตัวแทนสุดท้ายของเผ่า Frost ซึ่งเป็นประชาคมขนาดเล็กที่ปิดฉากพิธีกรรมอันหนาวเย็นก่อนที่ภัยพิบัติเมื่อไม่กี่ปีที่ผ่านมาทั้งเผ่าก็หยุดดำนินการไปแล้วหนึ่งในนั้นเองไม่สามารถทนความเครียดและถูกเผา ลงหมู่บ้านพื้นเมืองของเขาไม่มีใครรู้ว่าเป็นใครดังนั้นผู้รอดชีวิตที่เหลืออยู่ของ Frost กำลังล่าสัตว์กันอยู่|Jack พยายามอย่างหนักเพื่อเป็นคนใจกว้างกับคนธรรมดาและให้ของขวัญแก่พวกเขาเขาอาจจะนำหัวไรเดอร์ที่ถูกตัดขาดหรือทำสร้อยคอจากฟัน|แต่ทั้งเด็กและผู้ใหญ่หลีกเลี่ยงเขาด้วยเหตุผลบางอย่าง ดังนั้นแจ็คจึงต้องเดินทางไปในดินแดนแห่งนี้เพื่อหาคนที่ทำให้เขามีความสุข"
"Mask_Xmas2017_bundle_name"	"Jack Frost"
"MASS_TOOLTIP"	"กรุณาใช้รถที่มีน้ำหนักไม่เกินขีดจำกัด น้ำหนักที่เกิดขีดจำกัดจะทำให้ไม่สามารถเข้าร่วมการต่อสู้ได้"
"MAX_LIMIT_TOOLTIP"	"จำนวนไอเทมที่ใช้ประกอบรถนั้นมีจำกัด สามารถขยายจำนวนจำกัดได้โดยการอัพเลเวลชื่อเสียงของฝ่าย Engineers ไอเทมต่างๆสามารถหาได้จากชัยชนะในการต่อสู้"
"MBPQuest_desc"	"ชนะ Battle Royale {$required_value$;battle;ครั้ง}"
"MBP_Info_Containers"	"Containers"
"MBP_Info_Factory"	"Abandoned factory"
"MBP_Info_GasStation"	"Gaz station"
"MBP_Info_Highway"	"Highway"
"MBP_Info_Junkyard"	"Junkyard"
"MBP_Info_Meteo"	"Weather station"
"MBP_Info_Military"	"Military base"
"MBP_Info_Mines"	"Mines"
"MBP_Info_Monorail"	"Monorail"
"MBP_Info_Plant"	"Purifying station"
"MBP_Info_Village"	"Settlement"
"MBP_RatKing_caption"	"The Rat King"
"MBP_RatKing_doubleKill_text"	"เยี่ยมมากๆ เก็บได้ทีเดียวสองคนเลย!"
"MBP_RatKing_doubleKill_text2"	"ดับเบิ้ลคิล!"
"MBP_RatKing_doubleKill_text3"	"เห็นเขาจัดการทั้งสองคนนั่นมั้ย? สุดยอดไปเลย!"
"MBP_RatKing_firstBlood_text"	"เราได้คิลแรกกกกก!"
"MBP_RatKing_firstBlood_text2"	"เฟิร์สบลัดดดดด!"
"MBP_RatKing_firstBlood_text3"	"แจ๋ว! ปล่อยให้มันเข้ามา!"
"MBP_RatKing_firstBlood_text4"	"เริ่มต้นได้ดี!"
"MBP_RatKing_firstGift_text"	"นี่ไง ของขวัญสำหรับแก เจ้าหนูน้อย!"
"MBP_RatKing_firstGift_text2"	"กล่องที่มีของสุดยอดบางอย่าง!"
"MBP_RatKing_firstGift_text3"	"อะไรอยู่ในกล่อง? ของที่ระลึก?"
"MBP_RatKing_firstWall_text"	"อู้ววว! สภาพอากาศมันเลวร้ายลงทุกทีๆ แย่หน่อยนะ!"
"MBP_RatKing_firstWall_text2"	"พายุมาได้แล้ว! ความมันส์จงบังเกิดดดด!"
"MBP_RatKing_firstWall_text3"	"พายุมาแล้ววว! เตรียมตัวปลิวเป็นมดปลวกได้เลย!"
"MBP_RatKing_revenge_text"	"เขาจัดการคนอื่นได้! ทำดีมาก!"
"MBP_RatKing_revenge_text2"	"ชอบจริงๆ เวลาเห็นคนแก้แค้นให้ตัวเอง!"
"MBP_RatKing_revenge_text3"	"มุมนั้นมันอันตรายสุดๆไปเลย"
"MBP_RatKing_spree3_text"	"โดนเข้าให้แล้ว!"
"MBP_RatKing_spree3_text2"	"โว้ว! เขาเพิ่งเก็บคนที่สามไป! ระวังไว้!"
"MBP_RatKing_spree3_text3"	"โว้ว! นั่นมันนักขับในดวงใจคนใหม่เลยนะหน่ะ!"
"MBP_RatKing_spree5_text"	"ฮ่า ฮ่า ฮ่า! มีคนหยุดเขาไว้ได้อย่างสวยงาม! บ้าไปแล้ว!"
"MBP_RatKing_spree5_text2"	"ลองดูที่เขาเซ่! นั่นมันฆาตกรบ้าคลั่งชัดๆ! สุดยอดไปเลย!"
"MBP_RatKing_spree5_text3"	"เท่าไหร่แล้ว? ห้าแล้ว? ไม่อยากจะเชื่อ!"
"MBP_RatKing_start_text"	"ปาร์ตี้เริ่มแล้ว ลุยได้!"
"MBP_RatKing_start_text2"	"Battle Royale! นี่สำหรับผู้รอดชีวิตที่มีสมองเท่านั้น"
"MBP_RatKing_start_text3"	"ดี ดี ดีมากก ... แสดงให้เห็นหน่อยว่าพวกนายมีดียังไง!"
"MBP_RatKing_tenPlayers_text"	"พวกขี้แพ้กระจุยไปหมดแล้ว เหลือแต่ผู้ที่สุดยอด!"
"MBP_RatKing_tenPlayers_text2"	"พวกอ่อนแอโดนเขี่ยไปหมดแล้ว เริ่มความมันส์กันได้แล้ว!"
"MBP_RatKing_tenPlayers_text3"	"เยี่ยม อุ่นเครื่องเสร็จแล้ว เกมที่แท้จริงเพิ่งเริ่มต่างหาก!"
"MBP_RatKing_tripleKill_text"	"ทริเปิลคิล"
"MBP_RatKing_tripleKill_text2"	"แค่สองมันไม่พอ! ต้องสาม!"
"MBP_RatKing_tripleKill_text3"	"จัดการไปสามเลยเหรอ? โหดเป็นบ้า!"
"MBP_RatKing_twoPlayers_text"	"เหลือแค่สองคนเท่านั้น!"
"MBP_RatKing_twoPlayers_text2"	"นี่มันคือการดวลของลูกผู้ชาย!"
"MBP_RatKing_twoPlayers_text3"	"มีผู้ชนะได้เพียงคนเดียวเท่านั้น! ตัดสินกันไปเลย!"
"MBP_RatKing_wallKill_text"	"มีคนโดนพายุเล่นงานไปแล้ว!"
"MBP_RatKing_wallKill_text2"	"เหมือนจะมีบางคนพยายามหนีออกจากพายุ! แต่มันไม่มีทางหนีพ้นหรอก!"
"MBP_RatKing_wallKill_text3"	"ฮ่าๆๆๆ พายุเล่นงานเจ้านั่นซะแล้ว!"
"MBP_RatKing_win_text"	"เราได้แชมป์เปี้ยนนนนนนน!"
"MBP_RatKing_win_text2"	"ฮ่าๆๆๆๆๆๆๆๆๆ เป็นชัยชนะที่สุดยอดมาก"
"MBP_RatKing_win_text3"	"ผู้ชนะถือกำเนิดแล้ว!"
"MBP_RatKing_win_text4"	"ชนะแล้ว! ชนะแล้ว! ผู้ทำลายทุกสิ่ง!"
"metal_Yellow03_name"	"El Dorado"
"military_7_Vehicle_Desc"	"รถที่เปี่ยมด้วยประสิทธิภาพ มีหน้าที่สนับสนุนกองกำลังภาคพื้นด้วยมิสไซล์นำวิถี มันถูกติดตั้งปืนกลอัตโนมัติ Caucasus ไว้เพื่อชดเชยจุดอ่อน"
"MissionMap_from_Coop_to_PvP"	"ยินดีด้วย การต่อสู้กับผู้เล่นอื่นสามารถใช้งานได้แล้ว พิสูจน์ตัวเองว่าไม่ได้ไร้ค่าในสนามรบและรางวัลจะมาหาแน่นอน แต่ถ้าต้องการฝึกฝนทักษะ รีบเข้าร่วม Patrol ซะเดี๊ยวนี้เลย"
"MissionWnd_Brawl_reward_completed_tooltip"	"คุณได้รับรางวัลไปแล้ว||รางวัลต่อไปจะรับได้ในสัปดาห์หน้า"
"MissionWnd_Brawl_reward_tooltip"	"ชนะ หรือ ยึดครองตำแหน่งที่ 1 ถึง $max_place$ เพื่อรับรางวัล||รางวัล — $item$||ความคืบหน้าจะถูกรีเซ็ตเมื่อสิ้นสุดสัปดาห์"
"MissionWnd_group_CUSTOM_GAME_tooltip"	"สร้างการต่อสู้ของตัวเอง เลือกโหมดและเชิญเพื่อนเข้ามา การเล่นในโหมดสร้างห้องจะไม่มีรางวัลหลังจบการต่อสู้"
"MissionWnd_map_desc_freeplay"	"ไม่มีกฏ ไม่มีรางวัล"
"MissionWnd_map_desc_leviathan"	"การต่อสู้กับ Monster"
"MissionWnd_map_desc_MBP"	"ไม่มีกฏเกณฑ์ใดๆทั้งสิ้น"
"MissionWnd_map_desc_vs_ai"	"ต่อสู้กับรถ AI"
"MissionWnd_MBP_reward_completed_tooltip"	"คุณได้รับรางวัลไปแล้ว"
"MissionWnd_MBP_reward_tooltip"	"ชนะการต่อสู้ Battle Royale เพื่อรับรางวัล"
"MissionWnd_resource_UR_matter"	"รางวัลขึ้นอยู่กับพลังรวม"
"Mission_Accumulators_Desc"	"ต่อสู้กับผู้รอดชีวิตคนอื่นๆ เป็นการต่อสู้ที่ยุติธรรมเพื่อทรัพยากรอันมีค่า ผู้ชนะจะได้รับแบตเตอรี่หลายอัน"
"Mission_Accumulators_Name"	"Get the Batteries!"
"Mission_Brawl_April1st_Desc"	"ผู้เล่น 8 คนพร้อมสำหรับโหมด Brawls แล้วแต่บางอย่างเกิดผิดพลาด รถพวกเขาทั้งหมดถูกแทนที่โดยอะไรที่มันแปลกประหลาด เพื่อน.. นายไปเอารถนั่นมาจากไหน?"
"Mission_Brawl_April1st_Name"	"Dude, where'd you get the car?"
"Mission_Brawl_Football_Desc"	"Scar AB และ Scavengers เป็นเจ้าภาพจัดการแข่งขันฟุตบอลชิงแชมป์แห่งปีหลังภัยพิบัติ แต่กฎของโลกเก่าไม่มีผลบังคับใช้ ฟื้นขึ้นรถหุ้มเกราะของคุณคว้าฉมวกและไป!"
"Mission_Brawl_Football_Name"	"Steel championship"
"Mission_Brawl_Newyear_Desc"	"Wretched Gronch เกลียดวันหยุดและเทศกาล เขาขโมยของขวัญไปมากมายและต้นคริสต์มาสด้วย เป้าหมายของคุณคือค้นหาที่ซ่อนตัวของเขาและปกป้องต้นคริสต์มาส จากนั้นก็นำของขวัญกลับมาและสั่งสอนเจ้า Gronch ซะ"
"Mission_Brawl_Tanks_9May_Desc"	"กองทัพเกราะเหล็กทั้งสองกองจะต้องห้ำหั่นกันเพื่อพิสูจน์ตัวเอง"
"Mission_Brawl_Tanks_Desc"	"กองทัพเกราะเหล็กสองกองทัพจะต้องห้ำหั่นกันเพื่อพิสูจน์ตัวเองให้ Scar AB พึงพอใจ"
"Mission_Brawl_Tanks_Name"	"Face-off"
"Mission_ClanWar_Levi_Desc"	"สงครามแคลนเพื่อแร่ยูเรเนียมได้เริ่มขึ้นและมีเพียงผู้ที่แข็งแกร่งเท่านั้นจึงจะสามารถควบคุมทรัพยากรเอาไว้ได้ รวมสมาชิกแคลนและจัดการศัตรูซะ! หัวหน้าทีมจะทำหน้าที่เป็นคนบังคับมอนสเตอร์เข้าสู่สนามรบ!|จบการต่อสู้ให้ได้อย่างน้อย 10 ครั้งเพื่อจะได้มีสิทธิ์ไปยืนบนแท่นรางวัลการแข่งขัน "
"Mission_ClanWar_Levi_Name"	"Clan battle: Leviathans"
"Mission_CoopVsAi_Desc"	"บางครั้งฐานเราก็ถูกโจมตีจากพวกศัตรูแปลกหน้าแปลกตา เช่นรถหุ้มเกราะไร้คนขับ จนถึงตอนนี้เราไม่ได้เรียนรู้เลยว่าใครเป็นคนควบคุมจากระยะไกล ดังนั้นสิ่งที่เราทำได้คือการขับไล่การโจมตีและรอเวลา"
"Mission_Domination_Desc"	"ต่อสู้กับคนอื่นๆภายใต้กฏใหม่!||ทีมที่ยึดฐานได้ 2 ใน 3 จะเป็นผู้ชนะ"
"Mission_Firestarters_Pvp_Desc"	"คุณจะได้รับไฟแช็คจากภารกิจนี้เท่านั้น"
"Mission_German_Pvp_Desc"	"สามารถหา Talers ได้จากที่นี่เท่านั้น"
"Mission_map_no_fuel_conditions"	"เชื้อเพลิงไม่ได้รับรางวัลหลังจากการสู้รบแม้ว่าถังน้ำมันจะติดตั้งอยู่ในรถของคุณ"
"Mission_map_premade_car_conditions"	"คุณจะได้รับยานเกราะแบบพิเศษแบบไม่ติดตั้งถังน้ำมัน เนื่องจากจะไม่ได้น้ำมันเป็นรางวัลในการต่อสู้นี้"
"Mission_map_rotation"	"แผนที่จะเปลี่ยนในอีก: $time$"
"Mission_MBP_Desc"	"The Rat King คือคนที่ตามล่าหาปีศาจบ้าคลั่งในสนามประลอง Battle Royale ทุกๆคนจะเริ่มโดยมีสภาพรถที่เหมือนกันหมดและต้องตามเก็บอาวุธ ยุทโธปกรณ์ภายในแผนที่ นอกจากนี้ยังมีพายุมาคอยกวนใจอีก แต่ผู้ชนะจะมีเพียงหนึ่งเดียวเท่านั้น"
"Mission_MBP_Name"	"Battle Royale"
"Mission_NewYear_Pvp_Desc"	"คุณสามารถหาสกุลเงินพิเศษสำหรับงานเทศกาลได้ที่โหมดนี้เท่านั้น"
"Mission_Scrap_Rare_Desc"	"ต่อสู้กับผู้รอดชีวิตคนอื่นเพื่อทรัพยากรอันมีค่า||ผู้ชนะจะได้รับ Wires จำนวนหนึ่ง"
"nomads_Boss_hard_name"	"Nomad"
"Notifications_REQUEST_TO_CLAN_ACCEPTED_white_text"	"คุณได้เข้าร่วมแคลน '$name$' แล้ว"
"Oilevac_Boss_nomads_text"	"เรียกจักรกลหนักออกมาได้ ถึงเวลากำจัดเชื้อโรคแล้ว!"
"Oilevac_Boss_nomads_text2"	"ได้จบเรื่องกันสักที เอาจักรกลหนักออกมา!!!"
"Oilevac_Boss_nomads_text3"	"จะเผา หรือ ฝังดี? แกอยากให้ข้าทำศพแกแบบไหนดีหล่ะ ตัดสินใจมา!"
"Oilevac_Boss_psycho_text"	"หมดเวลาคุยโม้แล้ว เรียกเจ้าปีศาจออกมา!!!"
"Oilevac_Boss_psycho_text2"	"ไฟของข้าจะผลาญทุกชีวิตให้ราบ อย่ามาร้องขอความเมตตาละกัน!"
"Oilevac_Boss_psycho_text3"	"ถึงเวลาโชว์เพลิงพิฆาตแล้ว แกอย่ามาขอให้ข้าจัดการแกไวๆละกัน ข้าชอบทรมาน!"
"Oilevac_Boss_scavengers_text"	"แกรู้มั้ยว่าอะไรคือการโต้แย้งกันระหว่างคนมีการศึกษา? ปืนไงเล่าาาา!"
"Oilevac_Boss_scavengers_text2"	"แกอยู่ได้อีกไม่นานหรอก! เจอกับหัวหน้าข้าหน่อยเป็นไง!"
"Oilevac_Boss_scavengers_text3"	"ทั้งขู่ ทั้งคำราม ... อะไรหน่ะเหรอ? ม่าย ไม่ใช่ Cerberus หรอก! หัวหน้าข้านี่แหล่ะ!"
"Oilevac_CargoSpawn_nomads_text"	"ทิ้งแบตเตอรี่ไว้แล้วไปซะ! ไม่งั้นข้าจะส่งยมทูตไปไล่ล่าแก!"
"Oilevac_CargoSpawn_nomads_text2"	"ชิ! ระบบรักษาความปลอดภัยล่มเหรอ ไม่คิดว่ามันจะต้องใช้แบตเตอรี่สินะ ข้าจะไปเอามาเดี๊ยวนี้แหล่ะ ฮี่ ฮี่ ฮี่"
"Oilevac_CargoSpawn_nomads_text3"	"ระบบรักษาความปลอดภัยล่ม? หึหึ ไม่ต้องห่วง มันอยู่ได้ไม่นานหรอก"
"Oilevac_CargoSpawn_psycho_text"	"เวลาเข้าข้างเราแล้ว!! โจมตีมันเข้าไประหว่างมันกำลังวิ่งหาแบตเตอรี่นี่แหล่ะ"
"Oilevac_CargoSpawn_psycho_text2"	"หยุดพวกมัน ทุกสิ่งจะต้องเป็นข้าพวกเราเท่านั้น!"
"Oilevac_CargoSpawn_psycho_text3"	"แกคิดว่าแกเปลี่ยนอะไรๆได้งั้นเหรอ? ข้ามองเห็นอนาคต...นั่นคือแกไม่มีทางได้แบตเตอรี่แน่!!!"
"Oilevac_CargoSpawn_scavengers_text"	"พวกแกมาพร้อมกับปืน แต่พวกเราฉลาดกว่าแกเยอะ! แท่นขุดมันทำงานไม่ได้ถ้าไม่มีแบต และแกก็จะไม่ได้รางวัลแน่นอน!"
"Oilevac_CargoSpawn_scavengers_text2"	"พวกข้าพร้อมลุย!!! แกไม่มีทางทำให้มันทำงานและขโมยน้ำมันของพวกข้าได้แน่นอน"
"Oilevac_CargoSpawn_scavengers_text3"	"ไม่มีแบต ไม่มีน้ำมัน แกคิดว่าแค่เข้ามาที่นี่ก็ปล้นได้สินะ?"
"Oilevac_Defeat_nomads_text"	"ยินดีต้อนรับสู่ความพ่ายแพ้!"
"Oilevac_Defeat_nomads_text2"	"ข้าชนะ มันง่ายยังกะปลอกกล้วย"
