"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"CarPart_Gun_SmartMachinegun_name"	"Caucasus"
"CarPart_Gun_SniperCrossbow_desc"	"Presume de gran precisión, ideal para cualquier alcance."
"CarPart_Gun_SniperCrossbow_name"	"Scorpion"
"CarPart_Gun_SniperCrossbow_Piece_desc"	"Fragmento para montar un potente acelerador de impulsos «Escorpión»."
"CarPart_Gun_SniperCrossbow_Piece_name"	"Fragmento de AI «Escorpión»"
"CarPart_Gun_Syfy_FusionRifle_legend_Desc"	"Según los rumores, los primeros prototipos de este emisor eran muy inestables y se cobraban la vida de, al menos, tantos aliados como enemigos. Pero, ¿todo esto realmente importa si es capaz de lanzar una descarga de 5 haces de plasma, infligiendo un gran daño y cuenta con una precisión increíble?"
"CarPart_Gun_Syfy_FusionRifle_legend_Name"	"Helios"
"CarPart_Gun_Syfy_FusionRifle_Name"	"Synthesis"
"CarPart_Gun_Syfy_ParticleBeam_Name"	"Aurora"
"CarPart_Gun_Syfy_Plazma_Name"	"Quasar"
"CarPart_Gun_Syfy_Tesla_Name"	"Spark III"
"CarPart_harvester_legend_Desc"	"Inflige daño adicional mientras esté en contacto con el blanco."
"CarPart_harvester_legend_Name"	"Harvester"
"CarPart_Headlights2_desc"	"No es fácil encontrar faros de repuesto, pero muchos están dispuestos a hacer sacrificios para decorar sus coches."
"CarPart_Headlights2_name"	"Faros"
"CarPart_Headlights3_Desc"	"No es fácil encontrar faros de repuesto, pero muchos están dispuestos a hacer sacrificios para decorar sus coches."
"CarPart_Headlights3_Name"	"Lámpara fluorescente"
"CarPart_Headlights4_Desc"	"No es fácil encontrar faros de repuesto, pero muchos están dispuestos a hacer sacrificios para decorar sus coches."
"CarPart_Headlights4_Name"	"Juego de faros"
"CarPart_Headlights5_Desc"	"No es fácil encontrar faros de repuesto, pero muchos están dispuestos a hacer sacrificios para decorar sus coches."
"CarPart_Headlights5_Name"	"Faro infernal"
"CarPart_Headlights_desc"	"No es fácil encontrar faros de repuesto, pero muchos están dispuestos a hacer sacrificios para decorar sus coches."
"CarPart_Headlights_name"	"Faro"
"CarPart_HolderArc_rare_Desc"	"Vigas de raíl soldadas de forma práctica."
"CarPart_HolderArc_rare_Name"	"Medio arco"
"CarPart_Holder_2x2_Desc"	"Vigas de raíl soldadas de forma práctica."
"CarPart_Holder_2x2_Name"	"Puntal pequeño"
"CarPart_Holder_2x2_practice_Desc"	"Pieza de práctica destructible. No se puede vender ni reparar.|Aumenta la durabilidad del vehículo en @ff00ff00$cabin_health$."
"CarPart_Holder_2x2_practice_Name"	"Puntal de práctica"
"CarPart_Holder_2x4_Reverse_Desc"	"Vigas de raíl soldadas de forma práctica."
"CarPart_Holder_2x4_Reverse_Name"	"Puntal gemelo"
"CarPart_Holder_4x2_Desc"	"Vigas de raíl soldadas de forma práctica."
"CarPart_Holder_4x2_Name"	"Puntal ancho"
"CarPart_Holder_4x3_rare_Desc"	"Vigas de raíl soldadas de forma práctica."
"CarPart_Holder_4x3_rare_Name"	"Puntal mediano"
"CarPart_HomingMissileLauncherBurstR_legend_Desc"	"Ráfaga de 4 misiles teledirigidos por infrarrojos."
"CarPart_HomingMissileLauncherBurstR_legend_Name"	"Hurricane"
"CarPart_HomingMissileLauncher_epic_Desc"	"Potente misil teledirigido por infrarrojos."
"CarPart_HomingMissileLauncher_epic_Name"	"Pyre"
"CarPart_Horns01_Desc"	"Pretende sugerir y evocar respeto."
"CarPart_Horns01_Name"	"Bocinas"
"CarPart_hotrod_fender_left_Desc"	"Protección robusta para un elegante vehículo acorazado."
"CarPart_hotrod_fender_left_name"	"Guardabarros izquierdo «Bólido»"
"CarPart_hotrod_fender_right_Desc"	"Protección robusta para un elegante vehículo acorazado."
"CarPart_hotrod_fender_right_name"	"Guardabarros derecho «Bólido»"
"CarPart_hotrod_grilles_Desc"	"Protección robusta para un elegante vehículo acorazado."
"CarPart_hotrod_grilles_name"	"Rejilla «Bólido»"
"CarPart_hotrod_hood_Desc"	"Protección robusta para un elegante vehículo acorazado."
"CarPart_hotrod_hood_name"	"Capó «Bólido»"
"CarPart_hotrod_rear_fender_left_Desc"	"Protección robusta para un elegante vehículo acorazado."
"CarPart_hotrod_rear_fender_left_name"	"Guardabarros trasero «Bólido»"
"CarPart_hotrod_rear_fender_right_Desc"	"Protección robusta para un elegante vehículo acorazado."
"CarPart_hotrod_rear_fender_right_name"	"Guardabarros derecho trasero «Bólido»"
"CarPart_hotrod_trunk_Desc"	"Protección robusta para un elegante vehículo acorazado."
"CarPart_hotrod_trunk_name"	"Maletero «Bólido»"
"CarPart_Hover_epic_Desc"	"El motor de cohetes alineado verticalmente proporciona un impulso constante y permite que el vehículo planee sobre tierra."
"CarPart_Hover_epic_Name"	"Aerodeslizador «Ascent»"
"CarPart_Hover_legend_Desc"	"El motor de cohetes alineado verticalmente proporciona un impulso constante y permite que el vehículo planee sobre tierra."
"CarPart_Hover_legend_Name"	"Aerodeslizador «Rebel B2»"
"CarPart_Hover_rare_bundle_Name"	"Icarus IV"
"CarPart_Hover_rare_Desc"	"El motor de cohetes alineado verticalmente proporciona un impulso constante y permite que el vehículo planee sobre tierra."
"CarPart_Hover_rare_Name"	"Icarus VII"
"CarPart_JunkBumper_Desc"	"Un parachoques robusto, perfecto para maquinaria pesada."
"CarPart_JunkBumper_Name"	"Barra imponente"
"CarPart_kamikazeDroneDeployer_Name"	"Fuze"
"CarPart_Knobstick_Desc"	"Una maza pesada para decorar vehículos acorazados Knechte."
"CarPart_Knobstick_Name"	"Maza"
"CarPart_lambo_bumper_desc"	"Un parachoques hecho en casa ligero y duradero que protege un vehículo rápido de arbustos, rocas y otros obstáculos pequeños."
"CarPart_LanceExplosive_Desc"	"Un arma civilizada para una era más civilizada."
"CarPart_LanceExplosive_Name"	"Lancelot"
"CarPart_LeatherBag_Desc"	"No contiene nada, pero es bonito."
"CarPart_LeatherBag_Name"	"Bolsa de borrén trasero"
"CarPart_Lifter_Desc"	"Este dispositivo puede voltear tu vehículo sin ayuda de otros jugadores."
"CarPart_Lifter_Name"	"Gato de coche"
"CarPart_LightsRear1_desc"	"Parece que ya no hay más reglas y no hay nadie para notificar de tu frenada. Pero es tan difícil resistirse a las luces rojas parpadeantes..."
"CarPart_LightsRear1_name"	"Luz de freno redonda"
"CarPart_MBP_Sign_desc"	"Este prestigioso premio solo puede conseguirse al ganar en Battle Royale."
"CarPart_MechaLeg_desc"	"La pata mecánica tiene baja velocidad pero enorme durabilidad. Además resiste el retroceso y el impulso de las explosiones y proyectiles enemigos."
"CarPart_MechaLeg_name"	"ML 200"
"CarPart_MilitaryArmorPlate1_Desc"	"Copiar pieza"
"CarPart_MilitaryArmorPlate1_Name"	"Aparador militar"
"CarPart_MilitaryArmorPlate2_Desc"	"Copiar pieza"
"CarPart_MilitaryArmorPlate2_Name"	"Ariete militar"
"CarPart_MilitaryArmorPlate3_Desc"	"Copiar pieza"
"CarPart_MilitaryArmorPlate3_Name"	"Pincho militar"
"CarPart_MilitaryFender_Desc"	"Copiar pieza"
"CarPart_MilitaryFender_Name"	"Guardabarros militar"
"CarPart_Military_box_1x2x8_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_box_4x1x8_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_box_slope_2x1x4_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_box_slope_2x1x8_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_box_slope_2x1x8_name"	"Pendiente militar 2"
"CarPart_Military_box_slope_4x1x8_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_door_slope_4x1x4_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_door_slope_4x1x6_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_door_slope_4x1x6_name"	"Placa de impacto 1"
"CarPart_Military_slope_2x1x8_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_slope_3ple_1x1x8_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_slope_dble_2x1x2_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_slope_dble_2x1x2_name"	"Pendiente gemela militar"
"CarPart_Military_slope_dble_2x1x4_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_Military_slope_dble_2x1x4_name"	"Pendiente ventilada militar"
"CarPart_Military_slope_thin_1x1x4_desc"	"Una pieza estructural ligera de diseño militar, cortada de un vehículo blindado abandonado."
"CarPart_Military_slope_thin_1x1x4_name"	"Placa de impacto fina"
"CarPart_Military_tower_slope_4x3x2_desc"	"Ventanilla del vehículo militar bien protegido."
"CarPart_Military_tower_slope_4x3x2_name"	"Módulo dura militar"
"CarPart_Military_tower_slope_6x1x6_desc"	"Una pieza militar estructural muy pesada y duradera arrancada de un viejo vehículo acorazado."
"CarPart_ModuleAmmoBig_epic_Desc"	"Aumenta las reservas de munición y misiles en un @ff00ff00$ammo_mul$%@ffffffff.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio de $death_blast_radius$ m."
"CarPart_ModuleAmmoBig_epic_Name"	"Caja con munición extra"
"CarPart_ModuleAmmo_rare_Desc"	"Aumenta las reservas de munición y misiles en un @ff00ff00$ammo_mul$%@ffffffff.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio de $death_blast_radius$ m."
"CarPart_ModuleAmmo_rare_name"	"Caja con munición"
"CarPart_ModuleRadio_desc"	"Incrementa el radio de transmisión de información a aliados a $radio_radius$ m."
"CarPart_ModuleRadio_name"	"Radio"
"CarPart_ModuleTank_rare_Desc"	"Te permite conseguir combustible en las misiones. Te da 10 unidades de combustible. El efecto no se suma al usar varios tanques.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio @ffff0000$death_blast_radius$@ffffffff m."
"CarPart_ModuleTank_rare_Name"	"Tanque de combustible"
"CarPart_Muscle_back_Desc"	"Cuando la potencia y la velocidad son lo único que importa."
"CarPart_Muscle_cap_Desc"	"Cuando la potencia y la velocidad son lo único que importa."
"CarPart_Muscle_cap_Name"	"Capó Torino"
"CarPart_Muscle_fender_Desc"	"Cuando la potencia y la velocidad son lo único que importa."
"CarPart_Muscle_fender_Name"	"Guardabarros Torino"
"CarPart_Muscle_front_Desc"	"Cuando la potencia y la velocidad son lo único que importa."
"CarPart_Nyear_Horn_Desc"	"El cuerno de una criatura mítica que bebe gasolina y ruge por la noche, asustando a los niños."
"CarPart_Nyear_Neon_Desc"	"Un letrero de neón que funciona milagrosamente conservado, separado del soporte de un motel al borde de la carretera."
"CarPart_Nyear_Robotsanta_Desc"	"La nieve solía ser más blanca, y el Padre más amable. ¡Pero todo cambia cuando llega el apocalipsis!"
"CarPart_PoliceLights_Desc"	"En un mundo en el que la ley se ha convertido en un concepto abstracto, un intermitente solo puede servir como fuente de luz curiosa."
"CarPart_PoliceLights_Name"	"Halógeno"
"CarPart_PoliceLights_Piece_desc"	"Fragmento para montar «Light bar»"
"CarPart_PoliceLights_Piece_name"	"Fragmento «Light bar»"
"CarPart_PowerGiverExplosive_epic_Desc"	"Añade {@ff00ff00$power$@ffffffff;'unidad de energía';'unidades de energía'}.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio de @ffff0000$death_blast_radius$@ffffffff m.|Solo se puede instalar un generador en el vehículo."
"CarPart_PowerGiverExplosive_epic_Name"	"Generador Hazardous"
"CarPart_PowerGiverExplosive_legend_Desc"	"Añade @ff00ff00$power$@ffffffff unidades de energía.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio de @ffff0000$death_blast_radius$@ffffffff m.|Solo se puede instalar un generador en el vehículo."
"CarPart_PowerGiverExplosive_legend_Name"	"Generador de gasolina"
"CarPart_PowerGiver_epic_Desc"	"Añade @ff00ff00$power$@ffffffff unidades de energía.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio de @ffff0000$death_blast_radius$@ffffffff m.|Solo se puede instalar un generador en el vehículo."
"CarPart_PowerGiver_epic_Name"	"Generador pesado"
"CarPart_PowerGiver_legend_Desc"	"Añade @ff00ff00$power$@ffffffff unidades de energía.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio de @ffff0000$death_blast_radius$@ffffffff m.|Solo se puede instalar un generador en el vehículo."
"CarPart_PowerGiver_legend_Name"	"Apollo IV"
"CarPart_PowerGiver_rare_Desc"	"Añade {@ff00ff00$power$@ffffffff;'unidad de energía';'unidades de energía'}.|Cuando se destruye, explota e inflige @ffff0000$death_blast_damage$@ffffffff de daño en un radio de @ffff0000$death_blast_radius$@ffffffff m.|Solo se puede instalar un generador en el vehículo."
"CarPart_PowerGiver_rare_Name"	"Generador ligero"
"CarPart_Pumpkin_Desc"	"El espíritu festivo sobrevive a cualquier desastre. E incluso en un mundo en ruinas, hay lugar para una vieja Jack-o'-lantern."
"CarPart_Quadrocopter_epic_Desc"	"Lanza un dron de combate móvil que ataca a todos los objetivos dentro del radio.|Equipado con una ametralladora básica."
"CarPart_Quadrocopter_epic_Name"	"MD-3 Owl"
"CarPart_Quadrocopter_rare_Desc"	"Lanza un dron de combate móvil que ataca a todos los objetivos dentro del radio.|Equipado con una ametralladora básica."
"CarPart_Quadrocopter_rare_Name"	"AD-12 Falcon"
"CarPart_RadarBig_epic_desc"	"Radio de detección del enemigo de @ff00ff00$radar_radius$@ffffffff m.|Detecta enemigo a cubierto a @ff00ff00$infravision_radius$@ffffffff m.|Radio de ubicación de transmisión de información de @ff00ff00$radio_radius$@ffffffff m."
"CarPart_RadarBig_epic_name"	"Potente radar-detector"
"CarPart_RadarBig_rare_desc"	"Radio de detección del enemigo de @ff00ff00$radar_radius$@ffffffff m.|Detecta enemigo a cubierto a @ff00ff00$infravision_radius$@ffffffff m.|Radio de ubicación de transmisión de información de @ff00ff00$radio_radius$@ffffffff m."
"CarPart_RadarBig_rare_name"	"Radar-detector"
"CarPart_RadarSmall_desc"	"Incrementa el radio de detección de enemigos a @ff00ff00$radar_radius$@ffffffff m."
"CarPart_RadarSmall_epic_desc"	"Incrementa el radio de detección de enemigos a @ff00ff00$radar_radius$@ffffffff m."
"CarPart_RadarSmall_epic_name"	"Radar potente"
"CarPart_RadarSmall_name"	"Radar"
"CarPart_RadarSmall_rare_desc"	"Incrementa el radio de detección de enemigos a @ff00ff00$radar_radius$@ffffffff m."
"CarPart_RadarSmall_rare_name"	"Radar mejorado"
"CarPart_Radiator_Desc"	"Reduce la velocidad de sobrecalentamiento del arma en un @FF00FF00 $heat_inc_mul$%@FFFFFFFF.|El efecto se acumula."
"CarPart_Radiator_epic_Desc"	"Reduce la velocidad de sobrecalentamiento del arma en un @FF00FF00 $heat_inc_mul$%@FFFFFFFF.|El efecto se acumula."
"CarPart_Radiator_epic_Name"	"Radiador cargado"
"CarPart_Radiator_Name"	"Radiador de armas"
"CarPart_Radiator_rare_Desc"	"Reduce la velocidad de sobrecalentamiento del arma en un @FF00FF00 $heat_inc_mul$%@FFFFFFFF.|El efecto se acumula."
"CarPart_Radiator_rare_Name"	"Radiador mejorado"
"CarPart_Ratchet_CarHorn_Desc"	"Este instrumento musical hecho de materiales improvisados podría hacer sonreír a los supervivientes si solo no fuera mucho más parecido a las serpientes de cascabel que a una obra de artesanía."
"CarPart_RedNose_Desc"	"La naríz de una criatura mítica que bebe gasolina y ruge por la noche, asustando a los niños."
"CarPart_RoadsignCircle_01_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_RoadsignCircle_01_Name"	"Señal «Prohibida la entrada»"
"CarPart_RoadsignSquare_01_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_RoadsignSquare_01_Name"	"Señal de mantenimiento"
"CarPart_Roadsign_01_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_01_Name"	"«¡Para!»"
"CarPart_Roadsign_01_Piece_desc"	"Fragmento para montar «Stop»"
"CarPart_Roadsign_01_Piece_name"	"Fragmento «¡Para!»"
"CarPart_Roadsign_02_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_02_Name"	"«Todo está permitido»"
"CarPart_Roadsign_03_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_03_Name"	"«¡Eres basura!»"
"CarPart_Roadsign_04_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_04_Name"	"«No hay salida»"
"CarPart_Roadsign_04_Piece_desc"	"Fragmento para montar «No escape»"
"CarPart_Roadsign_04_Piece_name"	"Fragmento «No escape»"
"CarPart_Roadsign_05_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_05_Name"	"«¡Corred, estúpidos!»"
"CarPart_Roadsign_06_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_06_Name"	"«Párate a pensar»"
"CarPart_Roadsign_06_Piece_desc"	"Fragmento para montar «Para y piensa»"
"CarPart_Roadsign_06_Piece_name"	"Fragmento «Parar y pensar»"
"CarPart_Roadsign_09_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_10_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roadsign_11_Desc"	"Hace un tiempo, millones de conductores obedecían estas señales. Ahora no es más que un adorno elegante."
"CarPart_Roundsaw_rare_desc"	"Inflige daño adicional mientras esté en contacto con el blanco."
"CarPart_Roundsaw_rare_name"	"Sierra circular"
"CarPart_Shnekohod_name"	"Meat Grinder"
"CarPart_Skull01_Desc"	"Pretende infundir sorpresa y asombro."
"CarPart_Skull01_Name"	"Cráneo"
"CarPart_SlopeFrame2x1_rare_desc"	"Pieza de coche hecha de tuberías de metal."
"CarPart_SlopeFrame2x1_rare_name"	"Guardabarros de tubo pequeño"
"CarPart_SlopeFrame2x2_rare_desc"	"Pieza de coche hecha de tuberías de metal."
"CarPart_SlopeFrame2x2_rare_name"	"Guardabarros de tubo"
"CarPart_SlopeSolid2x1_rare_desc"	"Pieza estructural metálica"
"CarPart_SlopeSolid2x1_rare_name"	"Guardabarros pequeño"
"CarPart_SlopeSolid2x2_practice_Desc"	"Pieza de práctica destructible. No se puede vender ni reparar.|Aumenta la durabilidad del vehículo en @ff00ff00$cabin_health$."
"CarPart_SlopeSolid2x2_practice_Name"	"Guardabarros de práctica"
"CarPart_SlopeSolid2x2_rare_desc"	"Pieza estructural metálica"
"CarPart_SlopeSolid2x2_rare_name"	"Guardabarros"
"CarPart_Sniper_mouse_Desc"	"Permite acercarse a los enemigos y asestar disparos más precisos.|Radio de detección de enemigos incrementado a @ff00ff00$radar_radius$ @ffffffff m."
"CarPart_Sniper_Rare_Desc"	"Permite acercarse a los enemigos y asestar disparos más precisos.|Radio de detección de enemigos incrementado a @ff00ff00$radar_radius$ @ffffffff m."
"CarPart_Sniper_Rare_mouse_Desc"	"TT Keyboard and Mouse limited"
"CarPart_Sniper_Rare_mouse_Name"	"Francotirador láser táctico"
"CarPart_Sniper_Rare_Name"	"Mira"
"CarPart_Snowman_Desc"	"Otro ejemplo de arte popular post-apocalíptica."
"CarPart_SpareTire_Desc"	"Cuando un viejo neumático ya no puede cumplir su función puedes crear muchos adornos originales con él. Y luego puedes montarlo en la máquina."
"CarPart_SpareTire_Heavy2_Desc"	"Cuando un viejo neumático ya no puede cumplir su propósito original, puedes usarlo para construir muchas decoraciones originales. O simplemente colgarlo en alguna parte de tu vehículo."
"CarPart_SpareTire_Heavy_Desc"	"Cuando un viejo neumático ya no puede cumplir su propósito original, puedes usarlo para construir muchas decoraciones originales. O simplemente colgarlo en alguna parte de tu vehículo."
"CarPart_SpareTire_Name"	"Neumático de repuesto"
"CarPart_SpareTire_Spike_Desc"	"Cuando un viejo neumático ya no puede cumplir su propósito original, puedes usarlo para construir muchas decoraciones originales. O simplemente colgarlo en alguna parte de tu vehículo."
"CarPart_SpareTire_Tractor_Desc"	"Cuando un viejo neumático ya no puede cumplir su propósito original, puedes usarlo para construir muchas decoraciones originales. O simplemente colgarlo en alguna parte de tu vehículo."
"CarPart_SpareTire_Truck_Desc"	"Cuando un viejo neumático ya no puede cumplir su propósito original, puedes usarlo para construir muchas decoraciones originales. O simplemente colgarlo en alguna parte de tu vehículo."
"CarPart_Speakers_Big_Desc"	"No influye en las características del vehículo, ¡pero es chulísimo!"
"CarPart_Speakers_Big_Name"	"Altavoz grande"
"CarPart_Speakers_Small_Desc"	"No influye en las características del vehículo, ¡pero es chulísimo!"
"CarPart_Speakers_Small_Name"	"Altavoz pequeño"
"CarPart_Speakers_Small_Piece_desc"	"Fragmento para montar «Altavoz pequeño»"
"CarPart_Speakers_Small_Piece_name"	"Fragmento «Pequeño altavoz»"
"CarPart_SpearExplosive_Desc"	"Inflige daño al blanco al impactar."
"CarPart_SpearExplosive_Name"	"Lanza explosiva"
"CarPart_Stealth_epic_Desc"	"Vuelve completamente invisible al vehículo por @FF00FF00$work_time$@FFFFFFFF s. Se cancela el efecto al atacar o recibir daño.||Solo se puede instalar un módulo de invisibilidad por vehículo."
"CarPart_Stealth_epic_Name"	"Chameleon"
"CarPart_Stealth_legend_Desc"	"Vuelve completamente invisible al vehículo por @FF00FF00$work_time$@FFFFFFFF s. Se cancela el efecto al atacar o recibir daño.||Solo se puede instalar un módulo de invisibilidad por vehículo."
"CarPart_Stealth_legend_Name"	"Chameleon Mk2"
"CarPart_Stealth_Seeker_rare_Desc"	"Este prototipo de los Hijos del Amanecer fue \"prestado\" por los Carroñeros. El módulo se gira hacia el enemigo oculto, parpadea y emite un pitido. ¡Con este invento nadie podrá pillarte por sorpresa!|Radio de detección de invisibilidad hasta @ff00ff00$detection_radius$@ffffffff m.|Radio de detección de enemigos hasta @ff00ff00$radar_radius$@ffffffff m."
"CarPart_Stealth_Seeker_rare_Name"	"Oculus VI"
"CarPart_Structure_boxslope_1x2x6_Desc"	"Parte de la estructura de un hot-rod, recubierto con planchas de metal."
"CarPart_Structure_fender2_l_Desc"	"Guardabarros trasero de un hot-rod, hecho a medida para los habitantes del Valle. Se coloca a la derecha. No, a la otra derecha."
"CarPart_TankTrackBig_epic_Desc"	"Plataforma de vías cortas para los vehículos más ágiles.|Limita ligeramente la velocidad máxima del vehículo."
"CarPart_TankTrackBig_epic_Name"	"Oruga pequeña"
"CarPart_TankTrackBig_legend_Desc"	"Orugas de tanque, casi sin oxidar. Pesadas, pero fiables.|Limitan notablemente la velocidad máxima del vehículo."
"CarPart_TankTrackBig_legend_Name"	"Oruga blindada"
"CarPart_TankTrackRomb_Name"	"Goliat"
"CarPart_TankTrack_rare_desc"	"Plataforma de vías estándar endurecidas para las necesidades del nuevo mundo.|Limita la velocidad máxima del vehículo."
"CarPart_TankTrack_rare_name"	"Oruga reforzada"
"CarPart_TaxiLight_desc"	"La forma más fácil de hacer algo de dinero rápido en el duro Wasteland."
"CarPart_TaxiLight_name"	"Señal de taxi"
"CarPart_TaxiLight_Piece_desc"	"Fragmento para montar «Señal de taxi»"
"CarPart_TaxiLight_Piece_name"	"Fragmento «Taxi vista'»"
"CarPart_Torch_Desc"	"No influye en las características del vehículo, ¡pero es chulísimo!"
"CarPart_Torch_Name"	"Faro"
"CarPart_TrafficLight_Desc"	"Un potente artefacto que podía controlar a todos los conductores sin hacer ruido. Por desgracia ya no funciona."
"CarPart_TrafficLight_Name"	"Semáforo"
"CarPart_TrafficLight_Piece_desc"	"Fragmento para montar «Semáforo»"
"CarPart_TrafficLight_Piece_name"	"Fragmento «Semáforo»"
"CarPart_TruckBarrelHalf_Desc"	"Dos cuartos de un barril de 200 litros, soldado y reforzado con un armazón."
"CarPart_TruckBarrelHalf_Name"	"Medio barril"
"CarPart_TruckBarrel_Desc"	"Un cuarto de armazón de barril de 200 litros."
"CarPart_TruckBarrel_Name"	"Barrio de barriles"
"CarPart_TruckBox_Desc"	"Una caja vacía soldada con piezas de un contenedor metálico."
"CarPart_TruckBox_Name"	"Caja metálica"
"CarPart_TruckDoor_Desc"	"Puerta de contenedor de cargamento."
"CarPart_TruckDoor_Name"	"Puerta de camión"
"CarPart_TruckPipe1x2x1_Desc"	"Un fragmento de tubería de alcantarilla de metal."
"CarPart_TruckPipe1x2x1_Name"	"Unión T"
"CarPart_TruckPipe1x2x2_Desc"	"Un fragmento de tubería de alcantarilla de metal."
"CarPart_TruckPipe1x2x2_Name"	"Tubería curva"
"CarPart_TruckPipe4x1x1_Desc"	"Un fragmento de tubería de alcantarilla de metal."
"CarPart_TruckPipe4x1x1_Name"	"Tubo recto"
"CarPart_TruckPipeBig2x4_Desc"	"Un fragmento de tubería de alcantarilla de metal."
"CarPart_TruckPipeBig2x4_Name"	"Protección de tubo"
"CarPart_TruckPipeBig2x6_Desc"	"Un fragmento de tubería de alcantarilla de metal."
"CarPart_TruckPipeBig2x6_Name"	"Protección de tubo largo"
"CarPart_TruckPipeBigSlope2x4_Desc"	"Un fragmento de tubería de alcantarilla de metal."
"CarPart_TruckPipeBigSlope2x4_Name"	"Guardabarros de tubo grueso"
"CarPart_TruckSide2_Desc"	"Pieza de contenedor."
"CarPart_TruckSide2_Name"	"Media pared"
"CarPart_TruckSide4_Desc"	"Pieza de contenedor."
"CarPart_TruckSide4_Name"	"Pared de contenedor"
"CarPart_TruckSideSquare_Desc"	"Lateral metálico de un contenedor de basura."
"CarPart_TruckSideSquare_Name"	"Aparador de camión"
"CarPart_TruckSide_Desc"	"Pieza de contenedor."
"CarPart_TruckSide_Name"	"Pared de sector"
"CarPart_TruckSlope2_Desc"	"Pendiente gemela del fondo de un contenedor de basura."
"CarPart_TruckSlope2_Name"	"Pendiente ancha"
"CarPart_TruckSlope4_Desc"	"Un puntal grande soldado a partir de piezas de contenedor."
"CarPart_TruckSlope4_Name"	"Pendiente grande"
"CarPart_TruckSlopeReverse_Desc"	"Una gran pendiente hecha de paredes de contenedores."
"CarPart_TruckSlopeReverse_Name"	"Pendiente gemela"
"CarPart_TruckSlope_Desc"	"Pendiente trasera de camión."
"CarPart_TruckSlope_Fender_Desc"	"Guardabarros soldado a partir de piezas de contenedor."
"CarPart_TruckSlope_Fender_Name"	"Guardabarros grande"
"CarPart_TruckSlope_Name"	"Pendiente de camión"
"CarPart_TurretDeployerMissile_epic_Desc"	"Construye una torreta de combate que defiende el perímetro durante un tiempo limitado."
"CarPart_TurretDeployerMissile_epic_Name"	"RT Anaconda"
"CarPart_TurretDeployer_rare_Desc"	"Construye una torreta de combate que defiende el perímetro durante un tiempo limitado."
"CarPart_TurretDeployer_rare_Name"	"DT Cobra"
"CarPart_VanBack_epic_Desc"	"Pieza metálica cortada de una furgoneta."
"CarPart_VanBack_epic_Name"	"Puerta trasera"
"CarPart_VanBodySide_epic_Desc"	"Pieza metálica cortada de una furgoneta."
"CarPart_VanBodySide_epic_Name"	"Aparador de furgoneta"
