"2STEP_AUTHORIZATION_ENABLED"	"您的帳號受到保護"
"Mask_scientists_bundle_1_name"	"伊德"
"Mask_Soldier_1_Desc"	"在這輛令人印象深刻的裝甲車中，米切爾中尉幾十年來一直救助平民于水火之中。他從未主動攻擊，但卻總能迅速壓制任何企圖妨礙他的人。像他的祖父，一位博物館館長，米切爾中尉妙地利用技術從一個瀕臨滅絕的大都市搬家到舊坦克中，並且維持生人類活品質"
"Mask_Soldier_1_Name"	"米切爾中尉"
"Mask_Starter_pack_Desc"	"著名土匪的女兒，她是在大災難後出生的，從小就對武器和戰鬥表現出濃厚的興趣，目睹父親被叛徒謀殺之後，她逃到廢土，在那裡花了幾年時間磨練自己的戰鬥技巧，當她準備好後，她回來親自消滅了她父親的所有敵人，當沒有復仇的對象後，她變成了一個沒有恐懼和良心的僱傭軍，能夠讓她保持理智的只有一個古老的音樂播放器，她生活中的一大部分就是不斷的對播放器進行修復以及充電"
"Mask_Starter_pack_name"	"薇琪"
"Mask_Steam_Desc"	"當他聽到這個訊息時，有一抹寒光在他手中閃過，他開始在戰場上收集各類部件，並用雙手打造了一台戰車，並稱之為血色獵犬，此時的他的眼睛在黑暗中發光，並且駕駛著它進入了廢土"
"Mask_Steam_name"	"阿列夫"
"Mask_Traders_1_Desc"	"傑夫|有些人認為他的面具下面隱藏著一張怪物一般的臉。"
"Mask_Traders_1_name"	"傑夫"
"Mask_Traders_2_Desc"	"零|他在災變之初就被安置在醫院，他認為自己是最早開始變異的人。"
"Mask_Traders_2_name"	"零"
"Mask_Traders_3_Desc"	"女巫|這些年來，她一直在施展著自己的魔法．"
"Mask_Traders_3_name"	"女巫"
"Mask_Uncle_Sam_Desc"	"來自海洋的旅行推銷員，在災難中，他被從家鄉丟下，但他並沒有失去精神， 他到很多地方旅行，並與所有陣營進行交易"
"Mask_Uncle_Sam_name"	"好人"
"Mask_Valentine2018_Desc"	"人們正在試圖抓捕這對在廢土作惡無數的的亡命愛侶。漫漫逃亡路上，邦妮知道她與她的戀人永遠不會分開，只有在他身邊，她才真正活著……"
"Mask_Valentine2018_name"	"邦妮"
"Mask_XBOX_Exclusive_pack_name"	"卡利班"
"Mask_Xmas2017_1_Desc"	"\"霜寒\"尼克|尼克是霜寒教派的成員之一，在家鄉的一場神秘火災後倖存下來。火災的唯一線索是一棵聖誕樹，在找到縱火犯之前，尼克不會把它從車頂拿下來"
"Mask_Xmas2017_1_name"	"\"寒霜\"尼克"
"Mask_Xmas2017_bundle_Desc"	"傑克是霜寒教派的成員之一，為了彌補之前的罪行，傑克傾盡全力幫助廢土上的人們。但是他的長相太過可怕，所以無論大人小孩都很害怕他。因此，他只能繼續四處遊蕩。"
"Mask_Xmas2017_bundle_name"	"傑克佛斯特"
"MASS_TOOLTIP"	"顯示車輛當前載重量期載重限制|超過載重限制禁止參與戰鬥"
"MAX_LIMIT_TOOLTIP"	"載具可裝配的部件數量有限。|可通過提升\"工程師\"陣營聲望提升部件裝配上限，贏得戰鬥可製造更大更複雜的載具。"
"MBPQuest_desc"	"在大逃殺中贏得{$required_value$;戰鬥;戰鬥}勝利"
"MBP_Info_Containers"	"貨物基地"
"MBP_Info_Factory"	"廢棄工廠"
"MBP_Info_GasStation"	"燃氣站"
"MBP_Info_Highway"	"高速公路"
"MBP_Info_Junkyard"	"垃圾場"
"MBP_Info_Meteo"	"氣象台"
"MBP_Info_Military"	"軍事基地"
"MBP_Info_Mines"	"礦山"
"MBP_Info_Monorail"	"單軌鐵路"
"MBP_Info_Plant"	"淨化站"
"MBP_Info_Village"	"定居點"
"MBP_RatKing_caption"	"鼠王"
"MBP_RatKing_doubleKill_text"	"很好，真的很好，一起摧毀他們"
"MBP_RatKing_doubleKill_text2"	"雙殺，幹得漂亮！"
"MBP_RatKing_doubleKill_text3"	"你有看見他殺了他們嗎？我可以一直看下去！"
"MBP_RatKing_firstBlood_text"	"哇喔！第一滴血！"
"MBP_RatKing_firstBlood_text2"	"第一滴血"
"MBP_RatKing_firstBlood_text3"	"非常好，繼續繼續！"
"MBP_RatKing_firstBlood_text4"	"這是個好的開始！"
"MBP_RatKing_firstGift_text"	"這是給你的禮物，我的小老鼠"
"MBP_RatKing_firstGift_text2"	"這盒子裡有很棒的東西"
"MBP_RatKing_firstGift_text3"	"箱子裡有什麼？紀念品！"
"MBP_RatKing_firstWall_text"	"哇喔，看看天氣，開始變壞了，是個壞天氣！"
"MBP_RatKing_firstWall_text2"	"風暴來襲了！ 開始狂歡吧！"
"MBP_RatKing_firstWall_text3"	"風暴來襲了！ 準備被吹走吧！"
"MBP_RatKing_revenge_text"	"他們開始互相攻擊了，做得好"
"MBP_RatKing_revenge_text2"	"我喜歡這種復仇的感覺"
"MBP_RatKing_revenge_text3"	"困獸之鬥的人是最危險的"
"MBP_RatKing_spree3_text"	"on fire"
"MBP_RatKing_spree3_text2"	"當心點！"
"MBP_RatKing_spree3_text3"	"哇！ 看看我最喜歡的司機！"
"MBP_RatKing_spree5_text"	"哈哈哈，有人阻止了這個瘋子！"
"MBP_RatKing_spree5_text2"	"看看他！看看那個殺人犯！不可思議！"
"MBP_RatKing_spree5_text3"	"多少？已經5個了！真是不敢相信！"
"MBP_RatKing_start_text"	"派對開始了！"
"MBP_RatKing_start_text2"	"只有最聰明的人才能在我的大逃殺活動中生存下來"
"MBP_RatKing_start_text3"	"好吧！好吧！讓我們看看你有什麼收穫"
"MBP_RatKing_tenPlayers_text"	"失敗者會離開，只有最厲害的會留下來！"
"MBP_RatKing_tenPlayers_text2"	"弱者離開！讓有趣的部分開始吧！"
"MBP_RatKing_tenPlayers_text3"	"好吧，熱身已經結束，現在才是真正的開始！"
"MBP_RatKing_tripleKill_text"	"三殺！"
"MBP_RatKing_tripleKill_text2"	"2個還不夠，他擊殺了第三個了！"
"MBP_RatKing_tripleKill_text3"	"三殺？怪物！"
"MBP_RatKing_twoPlayers_text"	"只剩下2人！"
"MBP_RatKing_twoPlayers_text2"	"這是一場公正的決鬥，不知道誰是下一個冠軍呢？"
"MBP_RatKing_twoPlayers_text3"	"只能有一個勝利者，我們看看是誰吧！"
"MBP_RatKing_wallKill_text"	"又一個人被風暴吞噬了！"
"MBP_RatKing_wallKill_text2"	"好像有人試圖從風暴中逃脫！但是無處可逃！"
"MBP_RatKing_wallKill_text3"	"哇哈哈！風暴吞噬了他！"
"MBP_RatKing_win_text"	"一個新的冠軍！"
"MBP_RatKing_win_text2"	"哈哈哈，這是個偉大的勝利！"
"MBP_RatKing_win_text3"	"為勝利歡呼吧！"
"MBP_RatKing_win_text4"	"勝利！勝利！"
"metal_Yellow03_name"	"黃金國度"
"military_7_Vehicle_Desc"	"一台適合全地形的戰車，擁有自動尋的導彈，非常適合支援軍隊。為了保證在導彈發射期間的安全，它還裝備了一台'高加索'機槍。"
"MissionMap_from_Coop_to_PvP"	"恭喜！你現在可以和其他玩家一較高下了！通過戰鬥證明你的價值吧！當然，你也可以隨時回來重新訓練！"
"MissionWnd_Brawl_reward_completed_tooltip"	"你已領取本周獎勵。|下周可再次參與。"
"MissionWnd_Brawl_reward_tooltip"	"贏得比賽或者排名前$max_place$的玩家將獲得獎勵。|獎勵 — $item$|任務進度每週重置"
"MissionWnd_group_CUSTOM_GAME_tooltip"	"創造一個屬於你自己的戰鬥，選擇一個模式並邀請你的好友吧！注意，該模式下沒有獎勵。"
"MissionWnd_map_desc_freeplay"	"沒有條件限制及獎勵"
"MissionWnd_map_desc_leviathan"	"對抗鋼鐵巨獸之戰"
"MissionWnd_map_desc_MBP"	"毫不留情"
"MissionWnd_map_desc_vs_ai"	"與電腦 AI 車輛進行戰鬥"
"MissionWnd_MBP_reward_completed_tooltip"	"你已經獲得了獎勵"
"MissionWnd_MBP_reward_tooltip"	"繼續贏得大逃殺勝利獲得獎勵"
"MissionWnd_resource_UR_matter"	"依照積分獲得獎勵"
"Mission_Accumulators_Desc"	"與其他倖存者爭奪寶貴的資源，越熟練的司機可以獲得更多的電池"
"Mission_Accumulators_Name"	"獲得電池"
"Mission_Brawl_April1st_Desc"	"一如往常，8名倖存者準備開始戰鬥，但好像有什麼不對勁。每個人的戰車都換成了奇怪的東西，兄弟，你在那理弄來的車？"
"Mission_Brawl_April1st_Name"	"兄弟，你在那理弄來的車？"
"Mission_Brawl_Football_Desc"	"三等兵\"刀疤\"和傭兵陣營舉辦了第一次災後足球錦標賽，但舊世界的規則不再有效，啟動你的裝甲車，抓取魚叉然後出發！"
"Mission_Brawl_Football_Name"	"鋼鐵錦標賽"
"Mission_Brawl_Newyear_Desc"	"卑鄙的格朗痛恨節日。他偷走了聖誕樹和所有禮物，妄圖毀掉大家的節日。你的目標是潛入他的老巢，奪回聖誕樹和禮物，給他一個教訓。"
"Mission_Brawl_Tanks_9May_Desc"	"為了取悅\"刀疤\"，兩隊戰車將通過戰鬥來證明他們自己。"
"Mission_Brawl_Tanks_Desc"	"為了取悅\"刀疤\"，兩隊戰車將通過戰鬥來證明他們自己。"
"Mission_Brawl_Tanks_Name"	"對峙戰"
"Mission_ClanWar_Levi_Desc"	"一場全面的鈾礦戰爭已經開始，只有最強大的部隊才能控制這個資源，組建一戰鬥團隊並擊潰敵人！這個組織的領導人可以將他的鋼鐵巨獸投入戰鬥！|完成至少10場戰鬥並在比賽中獲得領獎資格才能獲得獎勵"
"Mission_ClanWar_Levi_Name"	"戰隊之戰：鋼鐵巨獸們"
"Mission_CoopVsAi_Desc"	"實戰訓練，倖存者們在這裡可以通過與改裝後的報廢車輛進行戰鬥訓練。"
"Mission_Domination_Desc"	"根據新規則與其他倖存者戰鬥！||在三個基地中同時控制兩個基地的團隊勝利"
"Mission_Firestarters_Pvp_Desc"	"只能在這個任務中獲得打火機"
"Mission_German_Pvp_Desc"	"只能在這個任務中獲得泰勒幣"
"Mission_map_no_fuel_conditions"	"戰鬥結束後，即使在車量上安裝了油桶，也不會獲得燃料"
"Mission_map_premade_car_conditions"	"這場戰鬥中，你將獲得一輛沒有燃油桶的特種裝甲車，戰鬥結束後不會獲得燃料"
"Mission_map_rotation"	"地圖更換剩餘時間: $time$"
"Mission_MBP_Desc"	"這裡聚集了敢於在大逃殺中戰鬥的瘋狂魔鬼們。 每位玩家開始都是相同的條件，需要駕駛汽車收集散佈在地圖上的武器裝備，摧毀敵方及躲避狂沙風暴， 最後只能有一個贏家！|"
"Mission_MBP_Name"	"大逃殺"
"Mission_NewYear_Pvp_Desc"	"此模式中僅可獲得節日活動兌換幣"
"Mission_Scrap_Rare_Desc"	"獲得勝利後，將獲得一箱鋼纜。"
"nomads_Boss_hard_name"	"博派頭目"
"Notifications_REQUEST_TO_CLAN_ACCEPTED_white_text"	"你已經被允許加入了戰隊'$name$'"
"Oilevac_Boss_nomads_text"	"請求重型裝甲加入戰鬥，該告一段落了！"
"Oilevac_Boss_nomads_text2"	"是時候結束一切了，把重型裝甲放出來！"
"Oilevac_Boss_nomads_text3"	"火葬還是土葬？快決定吧，在你和你的卡車還沒有被我們的裝甲車砸碎之前！"
"Oilevac_Boss_psycho_text"	"我們不能阻止入侵者，現在讓我們點燃火焰！談話的時間已經過了，釋放惡魔！"
"Oilevac_Boss_psycho_text2"	"見識一下我的怒火吧！它會把你活活吃掉，就像火焰吞噬整片森林！"
"Oilevac_Boss_psycho_text3"	"是時候展現火焰之怒了！入侵者可能會迅速滅亡，他們是無法從我們這偷走火焰的！"
"Oilevac_Boss_scavengers_text"	"你知道成年人之間爭吵最好的解決方式是什麼嗎？大炮！"
"Oilevac_Boss_scavengers_text2"	"你就不能好好待在你的垃圾堆嗎？現在準備見我們的主人吧！"
"Oilevac_Boss_scavengers_text3"	"另一個：它吠叫，它咆哮，讓每個人都不敢靠近 這是誰？ 不，不是地獄犬，而是我們的領導者！"
"Oilevac_CargoSpawn_nomads_text"	"將這些電池放回原位！否則這片土地上會再多出四個鬼魂！"
"Oilevac_CargoSpawn_nomads_text2"	"可惡，防衛部隊居然輸了，都不知道該怎樣安置這些躺在地上的人，該放那呢？也許我該在你找電池的時候想想"
"Oilevac_CargoSpawn_nomads_text3"	"防衛力量變弱了嗎？別擔心，它們看起來狀況也沒這麼好"
"Oilevac_CargoSpawn_psycho_text"	"時間還很充裕，當他們在尋找電池時，我們可以集中精力攻擊他們！"
"Oilevac_CargoSpawn_psycho_text2"	"星星之火可以燎原！全力阻止他們！不能讓他們拿到一絲一毫的好處！"
"Oilevac_CargoSpawn_psycho_text3"	"你以為改變了什麼嗎？可預見的是你拿不到電池的！"
"Oilevac_CargoSpawn_scavengers_text"	"你居然帶著槍來了，但我們更聰明！沒有電池，信號塔就不能啟動，你也拿不到獎勵！"
"Oilevac_CargoSpawn_scavengers_text2"	"我們做好進攻的準備了，你無法得逞的！"
"Oilevac_CargoSpawn_scavengers_text3"	"沒有電池也沒有油，你不覺的你就是來打劫的嗎？"
"Oilevac_Defeat_nomads_text"	"祝福你，歡迎你"
"Oilevac_Defeat_nomads_text2"	"我們贏了，真是太簡單了！"
"Oilevac_Defeat_nomads_text3"	"你能感覺到嗎？我們太幸運了！就像不會生病一樣"
"Oilevac_Defeat_psycho_text"	"哈哈哈，敵人被消滅的一乾二淨！"
"Oilevac_Defeat_psycho_text2"	"你無法擊敗火焰的！ 火焰將永遠燃燒！"
"Oilevac_Defeat_psycho_text3"	"我再次證明了火焰的勝利！ 我燒了所有的東西來展現榮耀！"
"Oilevac_Defeat_scavengers_text"	"你真以為你可以入侵領土搶奪油料嗎？你選錯目標了！"
"Oilevac_Defeat_scavengers_text2"	"耶，這是個乾淨俐落的勝利，滾回去吧！"
"Oilevac_Defeat_scavengers_text3"	"耶，不要讓我再看到你的臉！"
"Oilevac_Evac_nomads_text"	"計畫失敗了，沒什麼好說的，準備受死吧！"
"Oilevac_Evac_nomads_text2"	"我要氣炸了！你怎麼找到所有的電池的！我要打到你跪地求饒！"
"Oilevac_Evac_nomads_text3"	"禁止使用塔樓，真幸運，我們只剩下油也可以粉碎你"
"Oilevac_Evac_psycho_text"	"消滅所有的人！"
"Oilevac_Evac_psycho_text2"	"火焰不熄，光芒不止！他們帶著一顆炙熱的心，由地獄而來！"
"Oilevac_Evac_psycho_text3"	"真相真是可怕！那個黑影偷走了火焰！對陌生人不能有任何憐憫！"
"Oilevac_Evac_scavengers_text"	"你啟動了信號塔？你死定了！"
"Oilevac_Evac_scavengers_text2"	"我不會讓你們在這放肆掠奪的！"
"Oilevac_Evac_scavengers_text3"	"所以他們找到了電池，告訴過你要把電池藏起來的，你真是沒用"
"Oilevac_nomads_caption"	"零"
"Oilevac_psycho_caption"	"皮提亞"
"Oilevac_scavengers_caption"	"短髮"
"Oilevac_Start_nomads_text"	"今天這麼安靜，就好像一個墓地，等我搞定了你，我會繼續享受這裡的安寧跟美麗的景色"
"Oilevac_Start_nomads_text2"	"保護信號塔，否則我們將失去這片地區的控制力！"
"Oilevac_Start_nomads_text3"	"好吧，這些天你只能在墳墓裡休息，嘿，集中精神！敵人蠢蠢欲動了！"
"Oilevac_Start_psycho_text"	"我感覺得到黑暗的存在，不管你是誰，你都拿不到這些油！"
"Oilevac_Start_psycho_text2"	"將注意力放在樓塔上！"
"Oilevac_Start_psycho_text3"	"我昨晚看到了一個奇怪的現象——一個黑影撲滅了我們的火焰。集中精神！盯緊了！"
"Oilevac_Start_scavengers_text"	"我就知道，只要我找到什麼有價值的東西，總會有人試圖要拿走！但是這次不行！這座塔樓是我的！"
"Oilevac_Start_scavengers_text2"	"這些毛茸茸的狗是誰？滾開，信號塔是我們的！"
"Oilevac_Start_scavengers_text3"	"這些是我們的！我們會為它奮戰至死！"
"Oilevac_Win_nomads_text"	"鼠疫來了！撤退！撤退！"
"Oilevac_Win_nomads_text2"	"不，我們輸了，真是令人心碎！"
"Oilevac_Win_nomads_text3"	"詛咒你！詛咒你一直發燒！"
"Oilevac_Win_psycho_text"	"可惡，我們輸了！"
"Oilevac_Win_psycho_text2"	"哎呀！ 我召喚地獄火焰來焚燒侵略者！"
"Oilevac_Win_psycho_text3"	"該死，黑影熄滅了我們的火焰！"
"Oilevac_Win_scavengers_text"	"我們被擊敗了！ 石油消失了！ 天啊..."
"Oilevac_Win_scavengers_text2"	"誰在乎呢，至少我們不用再去守護那座脆弱的塔樓了！"
"Oilevac_Win_scavengers_text3"	"他們把油料帶走了，可惡！"
"PARTINFO_NOT_FUSABLE"	"不可分解"
"PARTINFO_TEMPORARY_INACTIVE"	"臨時部件$time$－待用"
"PARTS_ACTIVATE_PREMIUM"	"開始掃描"
"PARTS_THROW_OUT_ALL_TITLE"	"摧毀所有的"
"PARTS_THROW_OUT_TITLE"	"摧毀"
"PARTS_THROW_OUT_WITHSKIN_WARNING"	"你真的想銷毀@ffff0000$count$$restore$@ffffffff個 '@ffff0000$name$$restore$@ffffffff'？應用的CK將會丟失！"
"PARTTYPE_20_44_Harpoon"	"魚叉大炮"
"PARTTYPE_20_54_Catapult"	"燃燒彈發射器"
"PARTTYPE_35_15_ActiveModule_SelfCalc"	"武器助推器"
"PARTTYPE_70_20_Decals"	"塗鴉"
"PARTTYPE_car_part_npc"	"不適合玩家！ 敵人的部分"
"PARTTYPE_decoration_banner"	"戰旗"
"PARTTYPE_decoration_flare"	"信號彈"
"PARTTYPE_structure_armorplate"	"裝甲板"
"PARTTYPE_structure_mechanics_angle"	"結構部件"
"PARTTYPE_structure_military_apc"	"裝甲運兵車部件"
"PARTY_NO_CAR"	"沒有車輛"
"PART_ITEM_CHEST_CONTINUE_OPEN_REQUEST"	"尚有一個補給箱未打開。$name$正等著你！現在就領取獎勵嗎？"
"PERK_Ambusher_DESC"	"當汽車處於隱形狀態時，武器傷害每秒增加$perk_damage_mul$％，效果在$perk_time$ sec後重置"
"perk_BoltStickyBomb_desc"	"擊中地面或戰車後需要短暫間隔，然後爆炸。"
"PERK_Chassis_MonsterTruck_DESC"	"為武器和功能組件增加 $odometer_mul$%里程計算。"
"PERK_Collision_DESC"	"戰車每前進$perk_param$米，座艙的碰撞傷害提升$perk_damage_mul$%。最多可疊加 {$max_stack$;次;次}。"
"perk_DropSpawn_Cabin_desc"	"被摧毀時剩餘的無人機會在$nested_car_work_time$秒內引爆。"
"PERK_Dynamo_Cooler_DESC"	"戰車每行進100米，武器及功能模組剩餘冷卻時間降低$perk_param$%。"
"PERK_ENRAGE_DESC"	"受到的傷害將被暫時轉化為自身的傷害加成。每$max_stack$點傷害的最大提升效果是$perk_damage_mul$%。"
"perk_Harpoon_desc"	"能作用於地面和戰車，隊友可以剪斷繩子。"
"perk_InnateMelee_Cabin_desc"	"內建近戰武器在近距離中持續傷害敵人。"
"perk_Mine_trap_desc"	"放置範圍內的敵人發射魚叉的地雷"
"perk_Never_Heat_desc"	"射擊時武器不會過熱"
"perk_Plazma_NoRecoil_desc"	"直接向前發射子彈並且沒有後坐力"
"perk_SpreadCabin_desc"	"所有安裝的武器精確度提高$spread_mul$％"
"perk_WheelRocket_desc"	"撞擊地面物體時不會爆炸。"
"pic_AmbulanceWhite_Name"	"鼠疫"
"pic_BoarFur_name"	"野獸皮"
"Pic_CamouflageMark_Name"	"所羅門圖像"
"pic_CamouflageRacecar01"	"鋼鐵狂熱"
"pic_CamouflageSlave1_Name"	"薄霧沼澤"
"pic_chameleon_BlackGreen_Desc"	"獎勵噴霧罐|可以著色大部分零件"
"pic_chameleon_BlackGreen_Name"	"黑暗的海藍寶石"
"Pic_chameleon_RedDemon_desc"	"METAL MAX Xeno合作的有限噴漆。 紅色再現了傳說中的'紅魔狼的顏色。"
"Pic_chameleon_RedDemon_name"	"Red from R Wolf"
"pic_Football01_Name"	"鋼鐵錦標賽"
"pic_metal_black01_Name"	"暗光"
"Pic_Wood01_desc"	"木材材質賦予每一個表面豐富而溫和的外觀！ 即使是一顆子彈穿越也能呈現"
"Pic_Wood01_name"	"合板"
"PlayButton_leader_waiting"	"等待領導者"
"PremiumQuest_Desc"	"完成2場戰鬥，PVP、PVE皆可"
"Premium_1d_Desc"	"它能檢測出肉眼無法看到的寶貝，從而幫你獲得更多聲望。但它的內置電池只夠支撐30天且不能手動關閉。"
"Premium_1d_Name"	"掃描器（1天）"
"Premium_30d_Desc"	"它能檢測出肉眼無法看到的寶貝，從而幫你獲得更多聲望。但它的內置電池只夠支撐30天且不能手動關閉。"
"Premium_30d_Name"	"掃描器（30天）"
"Premium_7d_Desc"	"它能檢測出肉眼無法看到的寶貝，從而幫你獲得更多聲望。但它的內置電池只夠支撐30天且不能手動關閉。"
"Premium_7d_Name"	"掃描器（7天）"
"privacy_policy_text_1"	"最後更新日2018年5月24日||本隱私政策說明了Gaijin Network Ltd收集和處理哪些關於您的資料，當您使用我們的線上遊戲，如「戰爭雷霆」、「創世戰車」、「星際衝突」以及由Gaijin Network Ltd發表的其他遊戲（以下稱為「遊戲」）。這同樣適用於官方線上商店的遊戲 - $url href=\"https://store.gaijin.net\" text=\"store.gaijin.net\"$ - 以及遊戲的官方網站 - $url href=\"https://warthunder.ru\" text=\"warthunder.ru\"$， $url href=\"https://warthunder.com\" text=\"warthunder.com\"$ ， $url href=\"https://crossout.net\" text=\"crossout.net\"$ 和 $url href=\"http://star-conflict.com\" text=\"star-conflict.com\"$ - 以及公告本隱私政策的其他網站（這些網站以下稱為「網站」）以及與遊戲或與Gaijin Network Ltd.（以下稱為Gaijin）相關的其他服務（例如支援服務、遊戲內聊天、論壇等）。代名詞「我們」、「我們的」和「他們的」也是指Gaijin Network Ltd。||在繼續使用遊戲或網站之前，請先閱讀本隱私政策。藉由繼續使用遊戲或網站，您將被視為已接受本隱私政策。||如果在檢閱本隱私政策之後，您仍然有任何疑問或隱私考量，請透過privacy#@gaijin.net與我們聯繫。請注意，基於安全理由，更正或刪除您個人資料的要求，應發送至$url href=\"https://support.gaijin.net\" text=\"support.gaijin.net\"$給我們的支援服務。"
"privacy_policy_text_5"	"|3.處理您的使用者資料的目的||我們使用所收集關於您和您的裝置的資料以提供您我們的遊戲和服務，並能引導我們的業務。當處理您的使用者資料，我們追求下列目標：||(1)履行責任並提供作為合約一部分的服務，並使您能夠玩我們的遊戲，及使用這些網站和相關服務。為此目的，我們實行下列事項：||(a)運作、管理和支援我們的遊戲和網站；||(b)建立使用者基本資料，增大及維護使用者資料庫；||(c)收到錯誤報告，改善您的遊戲體驗，改善我們的服務品質，並發展和改進我們的遊戲、網站和相關服務；||(d)使您能夠與其他玩家在聊天室和論壇溝通（如果可用）；||(e)並以匿名方式進行調查和研究，並分析和整合使用從這些調查和研究中得到的結果；||(f)為您個人化我們的遊戲和網站（即透過儲存您的偏好和設定）；||(g)透過您提供的行動電話號碼和／或電郵信箱向您發送訊息以確認您完成特定動作；||(h)發送您技術訊息、服務通知、法律聲明（包括法規文件的變更），透過我們的支援服務回覆您的請求，我們根據本隱私政策考慮您的請求的結果以及透過電子郵件向您發送的其他必要訊息。"
"privacy_policy_text_6"	"(2)顯示個人化廣告並發送直接行銷訊息給您。為此目的，我們的分析合作夥伴（見第5.2條）和一些其他合作夥伴可能會追踪您的線上行為，然後在遊戲以及其他遊戲和其他網站上向您顯示個人化廣告。此外，我們可能會依據您使用我們遊戲的資料，為您產生特殊，個人化的遊戲中優惠。我們也可能透過您的電子郵箱發送資料，其中包含有關遊戲修補和更新、新聞、即將到來的發表、特別促銷和優惠、折扣、比賽等的訊息。有關您退出個人化廣告和直接行銷訊息權利的細節，請參閱第6.2條。||(3)為了確保安全，打擊欺騙和不公平的使用方式，我們可以監控和分析玩家在遊戲中的行為，對違反公平遊戲規則的玩家採取行動，並採取必要的預防措施。||(4)分析已收集的所有資料，並分段和圖表化資料。||(5)遵守所適用的法律要求，並能夠履行我們的法律責任，執行或保護我們的權利，並保護您極其重要的利益或其他人的利益。"
"PROFILE_STATS_ACTIVITY_TITLE"	"統計資訊"
"PROFILE_STATS_CARS_TITLE"	"車庫中的車輛"
"PROFILE_STATS_CRAFT_TOTAL"	"部件製造"
"PROFILE_STATS_FACTION_TITLE"	"陣營聲望"
"PROFILE_STATS_FUSE_TOTAL"	"部件升級"
"PROFILE_STATS_KILLS_AVG_TITLE"	"每場戰鬥平均擊殺數"
"PROFILE_STATS_KILLS_TITLE"	"擊敗敵人"
"PROFILE_STATS_PURCHASES_TOTAL"	"市場購買"
"PROFILE_STATS_PVE_TITLE"	"PVE戰鬥"
"PROFILE_STATS_PVP_TITLE"	"PVP戰鬥"
"PROFILE_STATS_RARITY_COMMON"	"普通"
"PROFILE_STATS_RARITY_EPIC"	"史詩"
"PROFILE_STATS_RARITY_EXOTIC"	"神話"
"PROFILE_STATS_RARITY_LEGENDARY"	"傳奇"
"PROFILE_STATS_RARITY_RARE"	"稀有"
"PROFILE_STATS_SOLD_TOTAL"	"市場販售"
"PROFILE_STATS_SUBTITLE"	"配置"
"promo_1000_gold_Desc"	"包含遊戲內1000金幣"
"promo_1000_gold_Name"	"1000金幣禮包"
"promo_100_gold_Desc"	"包含遊戲內100金幣"
"promo_100_gold_Name"	"100金幣禮包"
"promo_10_gold_Desc"	"包含遊戲內10金幣"
"promo_10_gold_Name"	"10金幣禮包"
"promo_2000_gold_Desc"	"包含遊戲中的2000金幣"
"promo_2000_gold_Name"	"2000金幣禮包"
"promo_200_gold_Desc"	"包含遊戲中200金幣"
"promo_200_gold_Name"	"200金幣禮包"
"promo_3000_gold_Desc"	"包含遊戲內3000金幣"
"promo_3000_gold_Name"	"3000金幣禮包"
"promo_30_gold_Desc"	"包含遊戲內30金幣"
"promo_30_gold_Name"	"30金幣禮包"
"promo_4000_gold_Desc"	"包含遊戲內4000金幣"
"promo_4000_gold_Name"	"4000金幣禮包"
"promo_400_gold_Desc"	"包含遊戲內400金幣"
"promo_400_gold_Name"	"400金幣禮包"
"promo_50_gold_Desc"	"包含遊戲內50金幣"
"promo_50_gold_Name"	"50金幣禮包"
"promo_600_gold_Desc"	"包含遊戲內600金幣"
"promo_600_gold_Name"	"600金幣禮包"
"promo_60_gold_Desc"	"包含遊戲內60金幣"
"promo_60_gold_Name"	"60金幣禮包"
"promo_70_gold_Desc"	"包含遊戲中的70金幣"
"promo_70_gold_Name"	"70金幣禮包"
"promo_80_gold_Desc"	"包含遊戲中的80金幣"
"promo_80_gold_Name"	"80金幣禮包"
"promo_90_gold_Desc"	"包含遊戲內90金幣"
"promo_90_gold_Name"	"90金幣禮包"
"Promo_boar_Desc"	"非賣品貼紙\"野豬\""
"Promo_boar_Name"	"野豬"
"Promo_decals_firestarters_Name"	"Firestarter 貼紙"
"Promo_Decal_coverme_Desc"	"我以火力掩護你"
"Promo_Decal_coverme_Name"	"請鄰兵以火力掩護我"
"Promo_Decal_eathand_Desc"	"嚇到吃手了呀"
"Promo_Decal_eathand_Name"	"嚇到吃手手"
"Promo_Decal_jaws01_Desc"	"不可交易的貼紙'Maw'"
"Promo_Decal_jaws02_Desc"	"不可交易的貼紙'Grin'"
"Promo_Decal_jaws03_Desc"	"不可交易的貼紙'Bared teeth'"
"Promo_Decal_jaws04_Desc"	"不可交易的貼紙'Smirk'"
"Promo_Decal_jaws05_Desc"	"不可交易的貼紙 'Scoffer'"
"Promo_Decal_loner_Desc"	"一個孤獨的人"
"Promo_Decal_loner_Name"	"邊緣人"
"Promo_Decal_noheart_Desc"	"你說說，你的良心到那裡去了"
"Promo_Decal_noheart_Name"	"你的良心不會痛嗎"
"Promo_decorum_1_Desc"	"- 凍傷;|-\"奧利芬特\""
"Promo_decorum_1_Name"	"傳奇裝飾"
"Promo_decorum_2_Desc"	"-大喇叭|- \"蟑螂\""
"Promo_decorum_2_Name"	"傳奇裝飾2"
"Promo_energo_ded_Desc"	"強化貼紙"
"Promo_energo_ded_Name"	"強化獎金"
"Promo_entack_Desc"	"ENTAK 貼紙"
"Promo_entack_Name"	"ENTAK獎金"
